# Zeldovich correlation function.
# Using f=0.9799 and P(k) from pklin_z300.txt
# Density functions smoothed with tophat R=0
# r[Mpc/h]     r^2.xiL       xir:1      xir:b1      xir:b2    xir:b1^2   xir:b1.b2    xir:b2^2    xir:Aeft     xir:n2L      xir:bs   xir:b1.bs   xir:b2.bs    xir:bs^2       xi0:1      xi0:b1      xi0:b2    xi0:b1^2   xi0:b1.b2    xi0:b2^2    xi0:Aeft     xi0:n2L      xi0:bs   xi0:b1.bs   xi0:b2.bs    xi0:bs^2       xi2:1      xi2:b1      xi2:b2    xi2:b1^2   xi2:b1.b2    xi2:b2^2    xi2:Aeft     xi2:n2L      xi2:bs   xi2:b1.bs   xi2:b2.bs    xi2:bs^2       xi4:1      xi4:b1      xi4:b2    xi4:b1^2   xi4:b1.b2    xi4:b2^2    xi4:Aeft     xi4:n2L      xi4:bs   xi4:b1.bs   xi4:b2.bs    xi4:bs^2
      0.00   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000
      0.50   0.2384670   0.3216777   0.7772533   0.1899305   0.5293149   0.3437641   0.1228005  -0.1415944   0.0589330  -0.0271809  -0.0493132   0.0317157   0.0529493   0.4800306   0.8900450   0.1608378   0.5136429   0.3560147   0.1193718  -0.5054547   0.0600480  -0.0561683  -0.0513465   0.0319609   0.0518675   0.0270577   0.1598407   0.1043710   0.1554637   0.1514959   0.0357118  -0.5633631   0.0051812   0.0123175  -0.0181640   0.0059140   0.0143284   0.0095015   0.0531245   0.0430564   0.0560985   0.0591654   0.0096198  -0.4385127   0.0012984  -0.0010566  -0.0067089   0.0015027   0.0038326
      1.00   0.5549685   0.6310005   1.4007541   0.1889044   0.8416150   0.3658058   0.1525201   0.0048201   0.1295683  -0.0300168  -0.0601263   0.0538639   0.0705369   1.1108354   1.8937525   0.2532036   0.9515237   0.4555465   0.1523314  -0.2315909   0.1285486  -0.0689802  -0.0747648   0.0558457   0.0711989  -0.1229368   0.0613103   0.1426472   0.1624541   0.0961294   0.0273612   0.3989399   0.0004068   0.0739610  -0.0120977   0.0037521   0.0106913  -0.0072716   0.0599081   0.0791477   0.0803667   0.0461707   0.0037988   0.0955831  -0.0008447   0.0044091  -0.0058454   0.0003418   0.0014317
      1.50   0.8700431   0.9231602   1.9748052   0.1676463   1.1191915   0.3505938   0.1631272  -0.0016845   0.1823665  -0.0340049  -0.0632347   0.0716796   0.0802308   1.6879935   2.7427878   0.2729269   1.2740278   0.4562185   0.1621060  -0.1022260   0.1727535  -0.0705742  -0.0817481   0.0733740   0.0805514  -0.4525572  -0.3312710   0.0621143   0.0208785  -0.0250245   0.0179523   0.7702625  -0.0044589   0.1199271   0.0055843  -0.0002016   0.0060748  -0.0413026  -0.0054680   0.0601683   0.0440506   0.0043554  -0.0006762   0.2484024  -0.0051707  -0.0023876  -0.0004184  -0.0011164  -0.0005971
      2.00   1.1688038   1.1992155   2.5143836   0.1458477   1.3779844   0.3232194   0.1647692  -0.0037571   0.2037760  -0.0364573  -0.0627633   0.0861243   0.0858409   2.2028938   3.4692417   0.2569844   1.5312471   0.4239831   0.1628896  -0.0378583   0.1887421  -0.0694455  -0.0814724   0.0870215   0.0856245  -0.8569633  -0.8154580  -0.0516308  -0.1454442  -0.1276816   0.0127488   0.8317218  -0.0002023   0.1443972   0.0221753  -0.0030943   0.0032465  -0.0552299  -0.0608773   0.0286164   0.0040540  -0.0238953  -0.0021073   0.1892405  -0.0079360  -0.0171677   0.0035903  -0.0017499  -0.0013026
      2.50   1.4470153   1.4572238   3.0171115   0.1245653   1.6175410   0.2911755   0.1617072  -0.0027270   0.1953091  -0.0375900  -0.0602119   0.0978378   0.0890197   2.6670055   4.1104417   0.2266547   1.7511541   0.3819435   0.1594462  -0.0075376   0.1810201  -0.0678024  -0.0779067   0.0979534   0.0884213  -1.2710752  -1.2806766  -0.1541479  -0.2841303  -0.1989017   0.0104517   0.7727096   0.0112481   0.1547909   0.0346234  -0.0046778   0.0018525  -0.0370516  -0.0723136   0.0085863  -0.0157069  -0.0351942  -0.0019223   0.0805560  -0.0082786  -0.0323876   0.0052279  -0.0017130  -0.0012269
      3.00   1.7040685   1.6968664   3.4832308   0.1044997   1.8387076   0.2582016   0.1561165  -0.0010364   0.1669146  -0.0377681  -0.0564597   0.1073143   0.0906570   3.0906516   4.6904802   0.1927943   1.9478862   0.3386464   0.1538383   0.0056731   0.1577717  -0.0660288  -0.0728359   0.1068009   0.0898417  -1.6667885  -1.6882284  -0.2318589  -0.3833989  -0.2442783   0.0096683   0.6793417   0.0242673   0.1576122   0.0431749  -0.0052797   0.0013107   0.0076309  -0.0437621   0.0034921  -0.0154895  -0.0359679  -0.0011751  -0.0124238  -0.0066648  -0.0444029   0.0052547  -0.0013388  -0.0008429
      3.50   1.9402401   1.9186048   3.9141731   0.0860564   2.0426707   0.2261786   0.1492003   0.0006503   0.1300579  -0.0372629  -0.0520654   0.1149380   0.0912763   3.4805168   5.2226847   0.1601897   2.1280662   0.2972095   0.1471135   0.0109388   0.1273816  -0.0640865  -0.0671040   0.1139616   0.0903623  -2.0363441  -2.0344024  -0.2850907  -0.4473277  -0.2716956   0.0095580   0.5866481   0.0342888   0.1568558   0.0488158  -0.0052504   0.0012184   0.0682044   0.0089385   0.0089552  -0.0027390  -0.0320119  -0.0003667  -0.0748427  -0.0039137  -0.0524751   0.0045131  -0.0008573  -0.0004003
      4.00   2.1565837   2.1232362   4.3117821   0.0693840   2.2306055   0.1960236   0.1416582   0.0021568   0.0935753  -0.0362716  -0.0473846   0.1210233   0.0912046   3.8406695   5.7141681   0.1305668   2.2947004   0.2586878   0.1398618   0.0128365   0.0963360  -0.0619141  -0.0611372   0.1197226   0.0902671  -2.3808601  -2.3284656  -0.3187324  -0.4841622  -0.2873936   0.0096849   0.5063924   0.0392795   0.1546429   0.0524577  -0.0048536   0.0013403   0.1352976   0.0710381   0.0197425   0.0154992  -0.0267700   0.0003182  -0.1102630  -0.0008667  -0.0571511   0.0035577  -0.0003855  -0.0000034
      4.50   2.3543604   2.3116932   4.6780200   0.0544816   2.4036154   0.1681416   0.1339088   0.0034481   0.0624237  -0.0349386  -0.0426311   0.1258263   0.0906559   4.1737253   6.1689630   0.1042895   2.4492271   0.2233496   0.1324365   0.0134683   0.0685647  -0.0595010  -0.0551627   0.1243073   0.0897400  -2.7042939  -2.5822378  -0.3381180  -0.5017286  -0.2956005   0.0098434   0.4405198   0.0393871   0.1519865   0.0547581  -0.0042630   0.0015491   0.2025413   0.1325842   0.0320431   0.0345563  -0.0218752   0.0008386  -0.1265398   0.0017960  -0.0593133   0.0026738   0.0000277   0.0003168
