# Zeldovich correlation function.
# Using f=0.9888 and P(k) from pklin_z396.txt
# Density functions smoothed with tophat R=0
# r[Mpc/h]     r^2.xiL       xir:1      xir:b1      xir:b2    xir:b1^2   xir:b1.b2    xir:b2^2    xir:Aeft     xir:n2L      xir:bs   xir:b1.bs   xir:b2.bs    xir:bs^2       xi0:1      xi0:b1      xi0:b2    xi0:b1^2   xi0:b1.b2    xi0:b2^2    xi0:Aeft     xi0:n2L      xi0:bs   xi0:b1.bs   xi0:b2.bs    xi0:bs^2       xi2:1      xi2:b1      xi2:b2    xi2:b1^2   xi2:b1.b2    xi2:b2^2    xi2:Aeft     xi2:n2L      xi2:bs   xi2:b1.bs   xi2:b2.bs    xi2:bs^2       xi4:1      xi4:b1      xi4:b2    xi4:b1^2   xi4:b1.b2    xi4:b2^2    xi4:Aeft     xi4:n2L      xi4:bs   xi4:b1.bs   xi4:b2.bs    xi4:bs^2
      0.00   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000
      0.50   0.1561105   0.1956655   0.4475369   0.0803951   0.2804383   0.1424946   0.0512486  -0.0192360   0.0336151  -0.0086305  -0.0201461   0.0126007   0.0218859   0.3488957   0.6105349   0.0995038   0.3196501   0.1741531   0.0518099  -0.3054427   0.0376224  -0.0223743  -0.0248853   0.0133962   0.0223480  -0.0300380   0.0258648   0.0484416   0.0524384   0.0325658   0.0070381   0.3407943  -0.0014888   0.0218916  -0.0035907   0.0006327   0.0026527  -0.0016730   0.0180600   0.0240088   0.0241713   0.0142408   0.0008269   0.0780174  -0.0001593   0.0010993  -0.0015964   0.0000451   0.0003031
      1.00   0.3633056   0.3975279   0.8540721   0.0801459   0.4864533   0.1572925   0.0654308  -0.0158743   0.0830283  -0.0121245  -0.0256166   0.0224109   0.0300149   0.7526704   1.2213332   0.1320903   0.5662832   0.2056288   0.0654258  -0.0978409   0.0842267  -0.0262349  -0.0336431   0.0232761   0.0303223  -0.2414343  -0.2307477  -0.0019451  -0.0394487  -0.0390481   0.0020360   0.8997236  -0.0109281   0.0493202   0.0062741  -0.0013517   0.0002588  -0.0181019  -0.0161818   0.0138939   0.0053357  -0.0061529  -0.0012009   0.2397780  -0.0020253  -0.0051095   0.0008427  -0.0004900  -0.0005742
      1.50   0.5695665   0.5937359   1.2436272   0.0734300   0.6791866   0.1531950   0.0705044  -0.0132890   0.1229816  -0.0144505  -0.0274834   0.0303490   0.0344428   1.1168723   1.7426472   0.1284474   0.7587742   0.1999291   0.0698298  -0.0285047   0.1175693  -0.0276415  -0.0358725   0.0308721   0.0344190  -0.5150418  -0.5569095  -0.0761334  -0.1464617  -0.0944341   0.0003083   0.8464564  -0.0149193   0.0600434   0.0150543  -0.0025911  -0.0007692  -0.0083601  -0.0245886   0.0015426  -0.0074206  -0.0137928  -0.0011586   0.0551318  -0.0030894  -0.0157844   0.0018173  -0.0005141  -0.0005661
      2.00   0.7651480   0.7791133   1.6093335   0.0645376   0.8578585   0.1418334   0.0713555  -0.0094885   0.1402362  -0.0157968  -0.0274752   0.0367638   0.0369675   1.4494166   2.2090616   0.1136685   0.9259319   0.1840765   0.0704037  -0.0066505   0.1308698  -0.0285261  -0.0355364   0.0369560   0.0367454  -0.7822269  -0.8418019  -0.1310666  -0.2200362  -0.1255966   0.0002533   0.6919412  -0.0103708   0.0628969   0.0206099  -0.0030605  -0.0009694   0.0284094   0.0065713   0.0028367  -0.0015830  -0.0117989  -0.0005656  -0.0862518  -0.0033897  -0.0235704   0.0014296  -0.0002899  -0.0002858
      2.50   0.9472769   0.9521001   1.9495086   0.0552062   1.0229132   0.1277948   0.0700392  -0.0062970   0.1345554  -0.0164556  -0.0264251   0.0419520   0.0383816   1.7567896   2.6372400   0.0969699   1.0780011   0.1655522   0.0690473  -0.0000605   0.1255984  -0.0289707  -0.0340102   0.0418862   0.0380632  -1.0286428  -1.0732786  -0.1642555  -0.2620298  -0.1417109   0.0007305   0.5550902  -0.0006861   0.0630676   0.0238871  -0.0030925  -0.0008399   0.0771005   0.0549267   0.0117866   0.0128291  -0.0074117  -0.0000282  -0.1506517  -0.0031898  -0.0276463   0.0006686  -0.0000372  -0.0000153
      3.00   1.1155547   1.1124745   2.2643747   0.0462126   1.1751009   0.1131448   0.0675761  -0.0037704   0.1134973  -0.0166293  -0.0247801   0.0461349   0.0391005   2.0418528   3.0334271   0.0811220   1.2182796   0.1468043   0.0666579   0.0022134   0.1079310  -0.0289619  -0.0318626   0.0458821   0.0387449  -1.2567750  -1.2641551  -0.1821405  -0.2827553  -0.1496218   0.0012867   0.4527043   0.0095430   0.0625538   0.0258136  -0.0029037  -0.0006081   0.1266708   0.1032491   0.0221543   0.0279256  -0.0036397   0.0003432  -0.1675413  -0.0024522  -0.0291542   0.0000047   0.0001672   0.0001827
      3.50   1.2701622   1.2605620   2.5549154   0.0378912   1.3152318   0.0988659   0.0645214  -0.0017536   0.0863194  -0.0164595  -0.0228298   0.0494848   0.0393649   2.3060431   3.4002842   0.0667750   1.3479870   0.1287797   0.0637240   0.0034577   0.0848969  -0.0285536  -0.0293946   0.0491042   0.0390043  -1.4716492  -1.4279759  -0.1905988  -0.2905091  -0.1530915   0.0017713   0.3785214   0.0170503   0.0619787   0.0269693  -0.0026109  -0.0003647   0.1720831   0.1440709   0.0310161   0.0404351  -0.0011276   0.0005733  -0.1621189  -0.0012565  -0.0292157  -0.0004496   0.0003160   0.0003135
      4.00   1.4117894   1.3969350   2.8224182   0.0303619   1.4441063   0.0854225   0.0611936  -0.0001558   0.0600758  -0.0160479  -0.0207495   0.0521491   0.0393236   2.5504437   3.7395300   0.0539749   1.4678232   0.1118841   0.0605309   0.0044861   0.0619311  -0.0278282  -0.0267852   0.0516825   0.0389754  -1.6771823  -1.5742026  -0.1934523  -0.2905267  -0.1540525   0.0021479   0.3240676   0.0206149   0.0614835   0.0276652  -0.0022809  -0.0001425   0.2119726   0.1757997   0.0376374   0.0497424   0.0002910   0.0007048  -0.1483883   0.0001010  -0.0285563  -0.0007082   0.0004215   0.0003949
      4.50   1.5412622   1.5222614   3.0682717   0.0236447   1.5624959   0.0730146   0.0577812   0.0011203   0.0384506  -0.0154678  -0.0186345   0.0542457   0.0390730   2.7761009   4.0527067   0.0426224   1.5783850   0.0962833   0.0572506   0.0054422   0.0421177  -0.0268657  -0.0241419   0.0537227   0.0387461  -1.8758704  -1.7087158  -0.1929460  -0.2858862  -0.1535058   0.0024196   0.2829302   0.0206515   0.0610673   0.0280590  -0.0019472   0.0000493   0.2466103   0.1993093   0.0422182   0.0562655   0.0009402   0.0007721  -0.1328482   0.0012715  -0.0275794  -0.0008190   0.0004944   0.0004428
