# Zeldovich correlation function.
# Using f=0.993 and P(k) from pklin_z502.txt
# Density functions smoothed with tophat R=0
# r[Mpc/h]     r^2.xiL       xir:1      xir:b1      xir:b2    xir:b1^2   xir:b1.b2    xir:b2^2    xir:Aeft     xir:n2L      xir:bs   xir:b1.bs   xir:b2.bs    xir:bs^2       xi0:1      xi0:b1      xi0:b2    xi0:b1^2   xi0:b1.b2    xi0:b2^2    xi0:Aeft     xi0:n2L      xi0:bs   xi0:b1.bs   xi0:b2.bs    xi0:bs^2       xi2:1      xi2:b1      xi2:b2    xi2:b1^2   xi2:b1.b2    xi2:b2^2    xi2:Aeft     xi2:n2L      xi2:bs   xi2:b1.bs   xi2:b2.bs    xi2:bs^2       xi4:1      xi4:b1      xi4:b2    xi4:b1^2   xi4:b1.b2    xi4:b2^2    xi4:Aeft     xi4:n2L      xi4:bs   xi4:b1.bs   xi4:b2.bs    xi4:bs^2
      5.00   1.1304508   1.1198708   2.2488023   0.0082476   1.1357935   0.0288240   0.0253362   0.0011002   0.0139495  -0.0069986  -0.0077676   0.0260270   0.0180093   2.0552607   2.9723097   0.0147026   1.1391867   0.0382447   0.0251888   0.0031870   0.0162698  -0.0124000  -0.0101528   0.0258318   0.0179021  -1.4176924  -1.1971316  -0.0998328  -0.1466487  -0.0770488   0.0007823   0.1705672   0.0096533   0.0267491   0.0141777  -0.0006450   0.0000059   0.2013234   0.1446025   0.0282698   0.0389448   0.0022612   0.0003751  -0.0806345   0.0011395  -0.0109701  -0.0006742   0.0002715   0.0002242
      5.50   1.2038732   1.1921196   2.3914374   0.0057576   1.2052954   0.0239757   0.0237874   0.0017687   0.0065364  -0.0066324  -0.0068044   0.0265938   0.0177736   2.1876994   3.1577060   0.0104606   1.2058626   0.0320461   0.0236797   0.0040542   0.0085577  -0.0117960  -0.0089340   0.0263951   0.0176770  -1.5491849  -1.2811211  -0.0969500  -0.1406544  -0.0756162   0.0008392   0.1540667   0.0076155   0.0268988   0.0141563  -0.0005261   0.0000626   0.2149425   0.1459033   0.0281168   0.0389082   0.0018376   0.0003536  -0.0706011   0.0011761  -0.0105166  -0.0005883   0.0002691   0.0002164
      6.00   1.2706898   1.2580988   2.5217430   0.0035930   1.2688057   0.0196282   0.0223040   0.0023077   0.0017085  -0.0062441  -0.0058890   0.0269984   0.0175063   2.3090506   3.3275950   0.0067488   1.2669527   0.0264612   0.0222303   0.0047710   0.0032769  -0.0111526  -0.0077704   0.0268014   0.0174198  -1.6785730  -1.3631297  -0.0938323  -0.1343774  -0.0740178   0.0008708   0.1403384   0.0056477   0.0270005   0.0140837  -0.0004166   0.0001080   0.2276111   0.1459979   0.0278153   0.0386532   0.0014412   0.0003313  -0.0624533   0.0010484  -0.0101045  -0.0005050   0.0002649   0.0002077
      6.50   1.3314053   1.3182550   2.6405977   0.0017203   1.3267531   0.0157466   0.0208956   0.0027422  -0.0014292  -0.0058450  -0.0050283   0.0272666   0.0172178   2.4200567   3.4830244   0.0035162   1.3228418   0.0214509   0.0208507   0.0053622  -0.0002884  -0.0104876  -0.0066714   0.0270745   0.0171409  -1.8058051  -1.4433585  -0.0905697  -0.1279660  -0.0723005   0.0008835   0.1287188   0.0040356   0.0270547   0.0139686  -0.0003173   0.0001442   0.2395448   0.1451973   0.0274247   0.0382585   0.0010810   0.0003091  -0.0557529   0.0008396  -0.0097289  -0.0004259   0.0002599   0.0001987
      7.00   1.3865146   1.3730078   2.7488198   0.0001076   1.3795358   0.0122925   0.0195663   0.0030896  -0.0035142  -0.0054433  -0.0042251   0.0274193   0.0169157   2.5214192   3.6249765   0.0007133   1.3738870   0.0169713   0.0195455   0.0058464  -0.0027062  -0.0098145  -0.0056416   0.0272344   0.0168476  -1.9308243  -1.5219371  -0.0872272  -0.1215259  -0.0704997   0.0008820   0.1187454   0.0028385   0.0270632   0.0138175  -0.0002278   0.0001730   0.2509004   0.1437226   0.0269819   0.0377738   0.0007598   0.0002876  -0.0501777   0.0006196  -0.0093853  -0.0003519   0.0002542   0.0001896
      7.50   1.4364377   1.4227477   2.8471699  -0.0012745   1.4275226   0.0092271   0.0183168   0.0033647  -0.0049487  -0.0050452  -0.0034798   0.0274744   0.0166055   2.6137959   3.7543688  -0.0017058   1.4204198   0.0129772   0.0183161   0.0062398  -0.0043742  -0.0091434  -0.0046826   0.0272983   0.0165456  -2.0535749  -1.5989498  -0.0838527  -0.1151334  -0.0686429   0.0008701   0.1100826   0.0020005   0.0270286   0.0136358  -0.0001478   0.0001956   0.2617935   0.1417353   0.0265102   0.0372314   0.0004770   0.0002670  -0.0454870   0.0004291  -0.0090696  -0.0002839   0.0002480   0.0001806
      8.00   1.4815410   1.4678353   2.9363543  -0.0024528   1.4710553   0.0065133   0.0171458   0.0035831  -0.0059705  -0.0046552  -0.0027916   0.0274466   0.0162912   2.6978008   3.8720571  -0.0037834   1.4627478   0.0094248   0.0171614   0.0065574  -0.0055512  -0.0084819  -0.0037939   0.0272804   0.0162387  -2.1740061  -1.6744522  -0.0804820  -0.1088440  -0.0667520   0.0008505   0.1024788   0.0014308   0.0269537   0.0134288  -0.0000764   0.0002132   0.2723105   0.1393566   0.0260241   0.0366521   0.0002306   0.0002476  -0.0414992   0.0002826  -0.0087783  -0.0002222   0.0002414   0.0001719
      8.50   1.5222000   1.5086043   3.0170278  -0.0034516   1.5104495   0.0041161   0.0160506   0.0037560  -0.0067174  -0.0042763  -0.0021590   0.0273485   0.0159758   2.7740062   3.9788385  -0.0055580   1.5011561   0.0062723   0.0160795   0.0068118  -0.0063998  -0.0078356  -0.0029738   0.0271929   0.0159301  -2.2920744  -1.7484817  -0.0771420  -0.1026976  -0.0648441   0.0008255   0.0957441   0.0010449   0.0268416   0.0132007  -0.0000129   0.0002268   0.2825177   0.1366788   0.0255328   0.0360499   0.0000176   0.0002294  -0.0380772   0.0001782  -0.0085084  -0.0001666   0.0002345   0.0001635
      9.00   1.5587559   1.5453638   3.0897969  -0.0042926   1.5459969   0.0020031   0.0150277   0.0038915  -0.0072712  -0.0039108  -0.0015794   0.0271911   0.0156615   2.8429449   4.0754545  -0.0070644   1.5359093   0.0034809   0.0150673   0.0070126  -0.0070212  -0.0072085  -0.0022198   0.0270463   0.0156219  -2.4077457  -1.8210628  -0.0738528  -0.0967228  -0.0629333   0.0007968   0.0897336   0.0007791   0.0266954   0.0129553   0.0000433   0.0002370   0.2924663   0.1337731   0.0250419   0.0354342  -0.0001650   0.0002123  -0.0351166   0.0001072  -0.0082575  -0.0001170   0.0002275   0.0001555
      9.50   1.5915207   1.5784006   3.1552214  -0.0049954   1.5779672   0.0001449   0.0140733   0.0039950  -0.0076828  -0.0035602  -0.0010503   0.0269833   0.0153498   2.9051128   4.1625943  -0.0083340   1.5672529   0.0010147   0.0141213   0.0071672  -0.0074796  -0.0066037  -0.0015290   0.0268496   0.0153157  -2.5209943  -1.8922111  -0.0706292  -0.0909391  -0.0610307   0.0007656   0.0843343   0.0005904   0.0265182   0.0126959   0.0000930   0.0002444   0.3021968   0.1306956   0.0245552   0.0348113  -0.0003205   0.0001965  -0.0325361   0.0000600  -0.0080232  -0.0000728   0.0002204   0.0001478
     10.00   1.6207639   1.6079796   3.2138187  -0.0055773   1.6066096  -0.0014855   0.0131833   0.0040693  -0.0079859  -0.0032254  -0.0005687   0.0267332   0.0150419   2.9609709   4.2408977  -0.0093947   1.5954146  -0.0011590   0.0132378   0.0072816  -0.0078168  -0.0060230  -0.0008979   0.0266104   0.0150128  -2.6318024  -1.9619364  -0.0674827  -0.0853597  -0.0591452   0.0007330   0.0794570   0.0004515   0.0263129   0.0124253   0.0001367   0.0002496   0.3117405   0.1274907   0.0240747   0.0341856  -0.0004519   0.0001817  -0.0302719   0.0000287  -0.0078038  -0.0000336   0.0002133   0.0001405
     10.50   1.6467325   1.6343450   3.2660663  -0.0060536   1.6321549  -0.0029123   0.0123538   0.0041188  -0.0082045  -0.0029069  -0.0001315   0.0264476   0.0147387   3.0109473   4.3109595  -0.0102716   1.6206062  -0.0030703   0.0124131   0.0073616  -0.0080614  -0.0054677  -0.0003231   0.0263355   0.0147141  -2.7401589  -2.0302452  -0.0644212  -0.0799927  -0.0572838   0.0006997   0.0750278   0.0003458   0.0260825   0.0121458   0.0001749   0.0002529   0.3211220   0.1241941   0.0236019   0.0335602  -0.0005620   0.0001681  -0.0282721   0.0000076  -0.0075977   0.0000009   0.0002063   0.0001336
     11.00   1.6696692   1.6577218   3.3124069  -0.0064374   1.6548168  -0.0041572   0.0115806   0.0041514  -0.0083560  -0.0026050   0.0002642   0.0261323   0.0144408   3.0554394   4.3733326  -0.0109868   1.6430246  -0.0047459   0.0116435   0.0074132  -0.0082335  -0.0049384   0.0001990   0.0260305   0.0144202  -2.8460589  -2.0971426  -0.0614510  -0.0748426  -0.0554524   0.0006663   0.0709846   0.0002631   0.0258294   0.0118597   0.0002083   0.0002547   0.3303608   0.1208352   0.0231374   0.0329371  -0.0006535   0.0001555  -0.0264936  -0.0000069  -0.0074036   0.0000312   0.0001994   0.0001271
     11.50   1.6898227   1.6783186   3.3532513  -0.0067405   1.6747933  -0.0052398   0.0108600   0.0041707  -0.0084538  -0.0023195   0.0006214   0.0257923   0.0141485   3.0948171   4.4285316  -0.0115599   1.6628530  -0.0062103   0.0109254   0.0074410  -0.0083481  -0.0044354   0.0006718   0.0257006   0.0141316  -2.9495039  -2.1626338  -0.0585758  -0.0699105  -0.0536555   0.0006332   0.0672780   0.0001969   0.0255564   0.0115686   0.0002372   0.0002552   0.3394725   0.1174383   0.0226816   0.0323179  -0.0007285   0.0001438  -0.0249039  -0.0000170  -0.0072201   0.0000577   0.0001925   0.0001209
     12.00   1.7073659   1.6963301   3.3889795  -0.0069735   1.6922681  -0.0061774   0.0101883   0.0041741  -0.0085080  -0.0020501   0.0009427   0.0254321   0.0138622   3.1294247   4.4770355  -0.0120085   1.6802621  -0.0074855   0.0102552   0.0074473  -0.0084165  -0.0039585   0.0010988   0.0253499   0.0138486  -3.0505014  -2.2267235  -0.0557980  -0.0651956  -0.0518967   0.0006008   0.0638696   0.0001431   0.0252658   0.0112743   0.0002621   0.0002546   0.3484704   0.1140230   0.0222343   0.0317036  -0.0007892   0.0001330  -0.0234783  -0.0000243  -0.0070463   0.0000807   0.0001858   0.0001151
     12.50   1.7224755   1.7119354   3.4199436  -0.0071454   1.7074119  -0.0069858   0.0095621   0.0041630  -0.0085268  -0.0017965   0.0012310   0.0250555   0.0135820   3.1595822   4.5192902  -0.0123480   1.6954110  -0.0085911   0.0096298   0.0074352  -0.0084472  -0.0035074   0.0014833   0.0249823   0.0135713  -3.1490631  -2.2894169  -0.0531191  -0.0606951  -0.0501785   0.0005692   0.0607248   0.0000989   0.0249597   0.0109782   0.0002834   0.0002532   0.3573638   0.1106053   0.0217958   0.0310951  -0.0008374   0.0001231  -0.0221936  -0.0000295  -0.0068813   0.0001005   0.0001793   0.0001095
     13.00   1.7353290   1.7252994   3.4464716  -0.0072640   1.7203833  -0.0076789   0.0089781   0.0041463  -0.0085165  -0.0015583   0.0014889   0.0246657   0.0133081   3.1855877   4.5557114  -0.0125921   1.7084479  -0.0095449   0.0090460   0.0074089  -0.0084473  -0.0030816   0.0018283   0.0246011   0.0133001  -3.2452047  -2.3507207  -0.0505392  -0.0564054  -0.0485031   0.0005387   0.0578107   0.0000622   0.0246402   0.0106813   0.0003015   0.0002511   0.3661600   0.1071991   0.0213658   0.0304931  -0.0008748   0.0001139  -0.0210270  -0.0000333  -0.0067242   0.0001176   0.0001729   0.0001043
     13.50   1.7461226   1.7365775   3.4688689  -0.0073364   1.7313297  -0.0082692   0.0084334   0.0041276  -0.0084825  -0.0013348   0.0017186   0.0242656   0.0130404   3.2077192   4.5866867  -0.0127530   1.7195112  -0.0103630   0.0085008   0.0073707  -0.0084223  -0.0026803   0.0021369   0.0242090   0.0130347  -3.3389467  -2.4106428  -0.0480579  -0.0523215  -0.0468718   0.0005094   0.0551019   0.0000316   0.0243091   0.0103849   0.0003168   0.0002485   0.3748656   0.1038163   0.0209441   0.0298981  -0.0009027   0.0001054  -0.0199628  -0.0000359  -0.0065744   0.0001321   0.0001666   0.0000994
     14.00   1.7549737   1.7459158   3.4874181  -0.0073694   1.7403877  -0.0087680   0.0079250   0.0040989  -0.0084288  -0.0011254   0.0019225   0.0238576   0.0127789   3.2262368   4.6125772  -0.0128417   1.7287299  -0.0110596   0.0079917   0.0073196  -0.0083765  -0.0023027   0.0024118   0.0238086   0.0127754  -3.4303141  -2.4691913  -0.0456738  -0.0484374  -0.0452855   0.0004813   0.0525830   0.0000060   0.0239683   0.0100898   0.0003294   0.0002454   0.3834872   0.1004660   0.0205304   0.0293103  -0.0009226   0.0000976  -0.0189937  -0.0000377  -0.0064312   0.0001443   0.0001606   0.0000947
