##  Fig. 6 of 1511.01983v2
##
##  Aw      beta    Comment
##
    0.45    0.60    Baron-Nugent 14, All
    0.80    0.60    Baron-Nugent 14, Bright
    0.25    0.60    Baron-Nugent 14, Faint
    0.26    0.51    Mmax:  -16.5
    0.30    0.53    -17.5, -16.5
    0.35    0.55    -18.5, -17.5
    0.45    0.59    -19.5, -18.5
    0.55    0.62    -20.5, -19.5
    1.175   0.69    -20.5
