# Matter power spectra at z=2.500000.
# D(z)=0.363363, f(z)=0.970838.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     5.88143e+01     5.88142e+01
    1.03177e-04     6.06252e+01     6.06252e+01
    1.06455e-04     6.24917e+01     6.24917e+01
    1.09837e-04     6.44155e+01     6.44156e+01
    1.13327e-04     6.63985e+01     6.63986e+01
    1.16928e-04     6.84427e+01     6.84428e+01
    1.20643e-04     7.05498e+01     7.05499e+01
    1.24476e-04     7.27218e+01     7.27218e+01
    1.28430e-04     7.49604e+01     7.49604e+01
    1.32511e-04     7.72677e+01     7.72676e+01
    1.36721e-04     7.96457e+01     7.96455e+01
    1.41065e-04     8.20969e+01     8.20965e+01
    1.45546e-04     8.46235e+01     8.46229e+01
    1.50171e-04     8.72278e+01     8.72270e+01
    1.54942e-04     8.99122e+01     8.99113e+01
    1.59865e-04     9.26791e+01     9.26779e+01
    1.64944e-04     9.55307e+01     9.55294e+01
    1.70184e-04     9.84696e+01     9.84681e+01
    1.75591e-04     1.01499e+02     1.01497e+02
    1.81170e-04     1.04621e+02     1.04619e+02
    1.86926e-04     1.07839e+02     1.07837e+02
    1.92865e-04     1.11156e+02     1.11154e+02
    1.98992e-04     1.14574e+02     1.14572e+02
    2.05315e-04     1.18097e+02     1.18095e+02
    2.11838e-04     1.21728e+02     1.21726e+02
    2.18568e-04     1.25470e+02     1.25468e+02
    2.25512e-04     1.29327e+02     1.29324e+02
    2.32677e-04     1.33301e+02     1.33299e+02
    2.40070e-04     1.37398e+02     1.37395e+02
    2.47697e-04     1.41620e+02     1.41617e+02
    2.55567e-04     1.45970e+02     1.45967e+02
    2.63686e-04     1.50454e+02     1.50450e+02
    2.72064e-04     1.55074e+02     1.55070e+02
    2.80708e-04     1.59834e+02     1.59831e+02
    2.89626e-04     1.64741e+02     1.64737e+02
    2.98828e-04     1.69797e+02     1.69792e+02
    3.08322e-04     1.75007e+02     1.75002e+02
    3.18118e-04     1.80375e+02     1.80371e+02
    3.28225e-04     1.85907e+02     1.85902e+02
    3.38653e-04     1.91606e+02     1.91601e+02
    3.49413e-04     1.97478e+02     1.97473e+02
    3.60514e-04     2.03529e+02     2.03523e+02
    3.71968e-04     2.09762e+02     2.09756e+02
    3.83786e-04     2.16185e+02     2.16179e+02
    3.95979e-04     2.22802e+02     2.22795e+02
    4.08560e-04     2.29619e+02     2.29612e+02
    4.21541e-04     2.36641e+02     2.36633e+02
    4.34934e-04     2.43874e+02     2.43865e+02
    4.48752e-04     2.51325e+02     2.51316e+02
    4.63010e-04     2.59000e+02     2.58990e+02
    4.77720e-04     2.66905e+02     2.66895e+02
    4.92898e-04     2.75047e+02     2.75036e+02
    5.08558e-04     2.83433e+02     2.83421e+02
    5.24715e-04     2.92068e+02     2.92055e+02
    5.41386e-04     3.00960e+02     3.00947e+02
    5.58587e-04     3.10116e+02     3.10102e+02
    5.76334e-04     3.19544e+02     3.19529e+02
    5.94645e-04     3.29252e+02     3.29236e+02
    6.13538e-04     3.39246e+02     3.39229e+02
    6.33031e-04     3.49535e+02     3.49517e+02
    6.53143e-04     3.60126e+02     3.60106e+02
    6.73894e-04     3.71026e+02     3.71006e+02
    6.95305e-04     3.82245e+02     3.82223e+02
    7.17395e-04     3.93791e+02     3.93768e+02
    7.40188e-04     4.05672e+02     4.05648e+02
    7.63705e-04     4.17898e+02     4.17872e+02
    7.87969e-04     4.30477e+02     4.30449e+02
    8.13004e-04     4.43417e+02     4.43388e+02
