# Matter power spectra at z=4.300000.
# D(z)=0.241693, f(z)=0.990512.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.59488e+01     2.59488e+01
    1.04729e-04     2.71377e+01     2.71377e+01
    1.09682e-04     2.83810e+01     2.83810e+01
    1.14868e-04     2.96813e+01     2.96813e+01
    1.20301e-04     3.10412e+01     3.10412e+01
    1.25990e-04     3.24634e+01     3.24634e+01
    1.31948e-04     3.39505e+01     3.39505e+01
    1.38187e-04     3.55055e+01     3.55055e+01
    1.44722e-04     3.71317e+01     3.71316e+01
    1.51566e-04     3.88324e+01     3.88323e+01
    1.58734e-04     4.06109e+01     4.06107e+01
    1.66240e-04     4.24705e+01     4.24704e+01
    1.74102e-04     4.44150e+01     4.44148e+01
    1.82335e-04     4.64483e+01     4.64481e+01
    1.90957e-04     4.85747e+01     4.85744e+01
    1.99988e-04     5.07981e+01     5.07979e+01
    2.09445e-04     5.31229e+01     5.31226e+01
    2.19350e-04     5.55534e+01     5.55531e+01
    2.29723e-04     5.80948e+01     5.80945e+01
    2.40586e-04     6.07522e+01     6.07519e+01
    2.51964e-04     6.35307e+01     6.35303e+01
    2.63879e-04     6.64354e+01     6.64349e+01
    2.76358e-04     6.94718e+01     6.94713e+01
    2.89427e-04     7.26464e+01     7.26458e+01
    3.03114e-04     7.59652e+01     7.59647e+01
    3.17448e-04     7.94347e+01     7.94341e+01
    3.32460e-04     8.30611e+01     8.30604e+01
    3.48182e-04     8.68512e+01     8.68505e+01
    3.64647e-04     9.08128e+01     9.08120e+01
    3.81891e-04     9.49535e+01     9.49526e+01
    3.99951e-04     9.92809e+01     9.92799e+01
    4.18865e-04     1.03803e+02     1.03802e+02
    4.38673e-04     1.08527e+02     1.08526e+02
    4.59417e-04     1.13464e+02     1.13463e+02
    4.81143e-04     1.18622e+02     1.18620e+02
    5.03896e-04     1.24010e+02     1.24008e+02
    5.27725e-04     1.29637e+02     1.29636e+02
    5.52681e-04     1.35515e+02     1.35513e+02
    5.78818e-04     1.41652e+02     1.41650e+02
    6.06190e-04     1.48061e+02     1.48059e+02
    6.34857e-04     1.54753e+02     1.54750e+02
    6.64879e-04     1.61737e+02     1.61734e+02
    6.96321e-04     1.69025e+02     1.69022e+02
    7.29250e-04     1.76631e+02     1.76628e+02
    7.63736e-04     1.84566e+02     1.84563e+02
    7.99853e-04     1.92843e+02     1.92839e+02
    8.37678e-04     2.01475e+02     2.01470e+02
    8.77291e-04     2.10473e+02     2.10469e+02
    9.18778e-04     2.19853e+02     2.19848e+02
    9.62227e-04     2.29627e+02     2.29622e+02
    1.00773e-03     2.39810e+02     2.39804e+02
    1.05539e-03     2.50415e+02     2.50409e+02
    1.10530e-03     2.61456e+02     2.61449e+02
    1.15756e-03     2.72948e+02     2.72940e+02
    1.21231e-03     2.84904e+02     2.84895e+02
    1.26964e-03     2.97338e+02     2.97329e+02
    1.32968e-03     3.10265e+02     3.10255e+02
    1.39256e-03     3.23699e+02     3.23688e+02
    1.45841e-03     3.37654e+02     3.37642e+02
    1.52738e-03     3.52145e+02     3.52131e+02
    1.59961e-03     3.67184e+02     3.67169e+02
    1.67525e-03     3.82786e+02     3.82770e+02
    1.75447e-03     3.98964e+02     3.98946e+02
    1.83744e-03     4.15729e+02     4.15710e+02
    1.92434e-03     4.33094e+02     4.33073e+02
    2.01534e-03     4.51069e+02     4.51046e+02
    2.11064e-03     4.69667e+02     4.69642e+02
    2.21045e-03     4.88896e+02     4.88869e+02
    2.31499e-03     5.08761e+02     5.08731e+02
    2.42446e-03     5.29269e+02     5.29237e+02
    2.53911e-03     5.50425e+02     5.50390e+02
    2.65919e-03     5.72235e+02     5.72197e+02
    2.78494e-03     5.94699e+02     5.94657e+02
    2.91664e-03     6.17811e+02     6.17766e+02
    3.05457e-03     6.41569e+02     6.41520e+02
    3.19902e-03     6.65967e+02     6.65914e+02
    3.35030e-03     6.91000e+02     6.90942e+02
    3.50873e-03     7.16655e+02     7.16592e+02
