# Matter power spectra at z=2.700000.
# D(z)=0.344238, f(z)=0.975024.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     5.27699e+01     5.27698e+01
    1.04729e-04     5.51877e+01     5.51877e+01
    1.09682e-04     5.77160e+01     5.77160e+01
    1.14868e-04     6.03601e+01     6.03601e+01
    1.20301e-04     6.31254e+01     6.31255e+01
    1.25990e-04     6.60173e+01     6.60174e+01
    1.31948e-04     6.90413e+01     6.90413e+01
    1.38187e-04     7.22034e+01     7.22031e+01
    1.44722e-04     7.55101e+01     7.55097e+01
    1.51566e-04     7.89683e+01     7.89676e+01
    1.58734e-04     8.25847e+01     8.25838e+01
    1.66240e-04     8.63659e+01     8.63649e+01
    1.74102e-04     9.03196e+01     9.03184e+01
    1.82335e-04     9.44540e+01     9.44527e+01
    1.90957e-04     9.87773e+01     9.87760e+01
    1.99988e-04     1.03298e+02     1.03297e+02
    2.09445e-04     1.08025e+02     1.08023e+02
    2.19350e-04     1.12966e+02     1.12965e+02
    2.29723e-04     1.18133e+02     1.18131e+02
    2.40586e-04     1.23536e+02     1.23534e+02
    2.51964e-04     1.29184e+02     1.29182e+02
    2.63879e-04     1.35089e+02     1.35086e+02
    2.76358e-04     1.41262e+02     1.41259e+02
    2.89427e-04     1.47715e+02     1.47712e+02
    3.03114e-04     1.54461e+02     1.54457e+02
    3.17448e-04     1.61513e+02     1.61509e+02
    3.32460e-04     1.68883e+02     1.68879e+02
    3.48182e-04     1.76586e+02     1.76582e+02
    3.64647e-04     1.84637e+02     1.84632e+02
    3.81891e-04     1.93052e+02     1.93046e+02
    3.99951e-04     2.01845e+02     2.01839e+02
    4.18865e-04     2.11032e+02     2.11026e+02
    4.38673e-04     2.20631e+02     2.20625e+02
    4.59417e-04     2.30660e+02     2.30653e+02
    4.81143e-04     2.41138e+02     2.41129e+02
    5.03896e-04     2.52082e+02     2.52073e+02
    5.27725e-04     2.63511e+02     2.63502e+02
    5.52681e-04     2.75447e+02     2.75436e+02
    5.78818e-04     2.87910e+02     2.87898e+02
    6.06190e-04     3.00922e+02     3.00909e+02
    6.34857e-04     3.14506e+02     3.14492e+02
    6.64879e-04     3.28683e+02     3.28667e+02
