# Matter power spectra at z=1.700000.
# D(z)=0.465831, f(z)=0.940176.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     9.67797e+01     9.67797e+01
    1.03177e-04     9.97596e+01     9.97596e+01
    1.06455e-04     1.02831e+02     1.02831e+02
    1.09837e-04     1.05996e+02     1.05997e+02
    1.13327e-04     1.09259e+02     1.09260e+02
    1.16928e-04     1.12623e+02     1.12623e+02
    1.20643e-04     1.16090e+02     1.16090e+02
    1.24476e-04     1.19664e+02     1.19664e+02
    1.28430e-04     1.23347e+02     1.23347e+02
    1.32511e-04     1.27144e+02     1.27144e+02
    1.36721e-04     1.31057e+02     1.31056e+02
    1.41065e-04     1.35090e+02     1.35089e+02
    1.45546e-04     1.39247e+02     1.39245e+02
    1.50171e-04     1.43532e+02     1.43530e+02
    1.54942e-04     1.47949e+02     1.47946e+02
    1.59865e-04     1.52502e+02     1.52498e+02
    1.64944e-04     1.57194e+02     1.57190e+02
    1.70184e-04     1.62029e+02     1.62025e+02
    1.75591e-04     1.67013e+02     1.67008e+02
    1.81170e-04     1.72150e+02     1.72145e+02
    1.86926e-04     1.77444e+02     1.77439e+02
    1.92865e-04     1.82902e+02     1.82896e+02
    1.98992e-04     1.88526e+02     1.88521e+02
    2.05315e-04     1.94323e+02     1.94317e+02
    2.11838e-04     2.00296e+02     2.00290e+02
    2.18568e-04     2.06453e+02     2.06446e+02
    2.25512e-04     2.12797e+02     2.12790e+02
    2.32677e-04     2.19336e+02     2.19329e+02
    2.40070e-04     2.26076e+02     2.26068e+02
    2.47697e-04     2.33021e+02     2.33013e+02
    2.55567e-04     2.40179e+02     2.40170e+02
    2.63686e-04     2.47554e+02     2.47545e+02
    2.72064e-04     2.55155e+02     2.55144e+02
    2.80708e-04     2.62986e+02     2.62975e+02
    2.89626e-04     2.71057e+02     2.71046e+02
    2.98828e-04     2.79374e+02     2.79362e+02
    3.08322e-04     2.87945e+02     2.87932e+02
    3.18118e-04     2.96776e+02     2.96762e+02
    3.28225e-04     3.05875e+02     3.05860e+02
    3.38653e-04     3.15249e+02     3.15233e+02
    3.49413e-04     3.24907e+02     3.24891e+02
    3.60514e-04     3.34859e+02     3.34841e+02
    3.71968e-04     3.45112e+02     3.45093e+02
    3.83786e-04     3.55676e+02     3.55655e+02
    3.95979e-04     3.66558e+02     3.66537e+02
    4.08560e-04     3.77769e+02     3.77746e+02
    4.21541e-04     3.89317e+02     3.89292e+02
    4.34934e-04     4.01211e+02     4.01186e+02
    4.48752e-04     4.13464e+02     4.13436e+02
    4.63010e-04     4.26084e+02     4.26055e+02
    4.77720e-04     4.39083e+02     4.39052e+02
    4.92898e-04     4.52471e+02     4.52438e+02
    5.08558e-04     4.66258e+02     4.66223e+02
    5.24715e-04     4.80455e+02     4.80418e+02
    5.41386e-04     4.95075e+02     4.95035e+02
    5.58587e-04     5.10127e+02     5.10085e+02
    5.76334e-04     5.25627e+02     5.25582e+02
    5.94645e-04     5.41584e+02     5.41537e+02
    6.13538e-04     5.58013e+02     5.57963e+02
    6.33031e-04     5.74925e+02     5.74871e+02
    6.53143e-04     5.92333e+02     5.92276e+02
    6.73894e-04     6.10249e+02     6.10188e+02
    6.95305e-04     6.28687e+02     6.28623e+02
    7.17395e-04     6.47662e+02     6.47594e+02
    7.40188e-04     6.67188e+02     6.67116e+02
    7.63705e-04     6.87279e+02     6.87202e+02
    7.87969e-04     7.07949e+02     7.07867e+02
    8.13004e-04     7.29212e+02     7.29125e+02
    8.38834e-04     7.51083e+02     7.50991e+02
    8.65485e-04     7.73577e+02     7.73479e+02
    8.92982e-04     7.96710e+02     7.96605e+02
    9.21354e-04     8.20497e+02     8.20386e+02
    9.50626e-04     8.44955e+02     8.44837e+02
    9.80829e-04     8.70098e+02     8.69973e+02
    1.01199e-03     8.95944e+02     8.95811e+02
    1.04414e-03     9.22508e+02     9.22367e+02
    1.07732e-03     9.49806e+02     9.49656e+02
    1.11155e-03     9.77855e+02     9.77696e+02
    1.14686e-03     1.00667e+03     1.00650e+03
    1.18330e-03     1.03627e+03     1.03609e+03
    1.22089e-03     1.06667e+03     1.06648e+03
    1.25968e-03     1.09789e+03     1.09769e+03
    1.29970e-03     1.12994e+03     1.12973e+03
    1.34100e-03     1.16285e+03     1.16262e+03
    1.38360e-03     1.19662e+03     1.19637e+03
    1.42756e-03     1.23127e+03     1.23101e+03
    1.47292e-03     1.26682e+03     1.26655e+03
    1.51971e-03     1.30330e+03     1.30301e+03
    1.56800e-03     1.34070e+03     1.34039e+03
    1.61781e-03     1.37905e+03     1.37873e+03
    1.66921e-03     1.41837e+03     1.41803e+03
    1.72225e-03     1.45867e+03     1.45830e+03
    1.77697e-03     1.49996e+03     1.49957e+03
    1.83342e-03     1.54226e+03     1.54185e+03
    1.89167e-03     1.58558e+03     1.58515e+03
    1.95177e-03     1.62994e+03     1.62947e+03
    2.01378e-03     1.67533e+03     1.67484e+03
    2.07777e-03     1.72179e+03     1.72127e+03
    2.14378e-03     1.76932e+03     1.76877e+03
    2.21189e-03     1.81793e+03     1.81734e+03
    2.28216e-03     1.86762e+03     1.86700e+03
    2.35467e-03     1.91840e+03     1.91774e+03
    2.42948e-03     1.97028e+03     1.96958e+03
    2.50667e-03     2.02326e+03     2.02252e+03
    2.58631e-03     2.07735e+03     2.07657e+03
    2.66848e-03     2.13256e+03     2.13173e+03
    2.75326e-03     2.18888e+03     2.18801e+03
    2.84074e-03     2.24631e+03     2.24538e+03
    2.93099e-03     2.30484e+03     2.30386e+03
    3.02411e-03     2.36447e+03     2.36343e+03
    3.12019e-03     2.42519e+03     2.42409e+03
    3.21933e-03     2.48700e+03     2.48584e+03
    3.32161e-03     2.54988e+03     2.54866e+03
    3.42714e-03     2.61384e+03     2.61254e+03
    3.53603e-03     2.67883e+03     2.67746e+03
    3.64837e-03     2.74484e+03     2.74340e+03
    3.76428e-03     2.81185e+03     2.81032e+03
    3.88388e-03     2.87982e+03     2.87821e+03
    4.00728e-03     2.94874e+03     2.94704e+03
    4.13459e-03     3.01859e+03     3.01679e+03
    4.26596e-03     3.08932e+03     3.08743e+03
    4.40149e-03     3.16090e+03     3.15890e+03
    4.54133e-03     3.23326e+03     3.23115e+03
    4.68562e-03     3.30636e+03     3.30414e+03
    4.83448e-03     3.38016e+03     3.37781e+03
    4.98808e-03     3.45459e+03     3.45212e+03
    5.14656e-03     3.52960e+03     3.52700e+03
    5.31007e-03     3.60515e+03     3.60241e+03
    5.47878e-03     3.68115e+03     3.67827e+03
    5.65285e-03     3.75752e+03     3.75449e+03
    5.83245e-03     3.83417e+03     3.83098e+03
    6.01775e-03     3.91102e+03     3.90767e+03
    6.20895e-03     3.98797e+03     3.98445e+03
    6.40621e-03     4.06496e+03     4.06126e+03
    6.60975e-03     4.14188e+03     4.13799e+03
    6.81975e-03     4.21862e+03     4.21454e+03
    7.03642e-03     4.29506e+03     4.29078e+03
    7.25998e-03     4.37106e+03     4.36657e+03
    7.49064e-03     4.44648e+03     4.44178e+03
    7.72863e-03     4.52120e+03     4.51627e+03
    7.97417e-03     4.59508e+03     4.58992e+03
    8.22752e-03     4.66798e+03     4.66258e+03
    8.48892e-03     4.73977e+03     4.73412e+03
    8.75863e-03     4.81025e+03     4.80435e+03
    9.03690e-03     4.87926e+03     4.87309e+03
    9.32402e-03     4.94661e+03     4.94016e+03
    9.62025e-03     5.01211e+03     5.00538e+03
    9.92590e-03     5.07558e+03     5.06856e+03
    1.02413e-02     5.13684e+03     5.12953e+03
    1.05666e-02     5.19571e+03     5.18809e+03
    1.09024e-02     5.25197e+03     5.24403e+03
    1.12487e-02     5.30538e+03     5.29713e+03
    1.16061e-02     5.35572e+03     5.34714e+03
    1.19749e-02     5.40275e+03     5.39384e+03
    1.23553e-02     5.44625e+03     5.43700e+03
    1.27479e-02     5.48598e+03     5.47639e+03
    1.31529e-02     5.52172e+03     5.51179e+03
    1.35708e-02     5.55323e+03     5.54295e+03
    1.40019e-02     5.58027e+03     5.56964e+03
    1.44468e-02     5.60261e+03     5.59163e+03
    1.49058e-02     5.62001e+03     5.60868e+03
    1.53794e-02     5.63224e+03     5.62055e+03
    1.58680e-02     5.63905e+03     5.62702e+03
