# Matter power spectra at z=3.600000.
# D(z)=0.278020, f(z)=0.986266.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     3.43730e+01     3.43730e+01
    1.04729e-04     3.59479e+01     3.59480e+01
    1.09682e-04     3.75949e+01     3.75949e+01
    1.14868e-04     3.93172e+01     3.93172e+01
    1.20301e-04     4.11185e+01     4.11186e+01
    1.25990e-04     4.30024e+01     4.30024e+01
    1.31948e-04     4.49722e+01     4.49722e+01
    1.38187e-04     4.70320e+01     4.70319e+01
    1.44722e-04     4.91861e+01     4.91859e+01
    1.51566e-04     5.14388e+01     5.14385e+01
    1.58734e-04     5.37946e+01     5.37943e+01
    1.66240e-04     5.62578e+01     5.62574e+01
    1.74102e-04     5.88334e+01     5.88329e+01
    1.82335e-04     6.15266e+01     6.15262e+01
    1.90957e-04     6.43431e+01     6.43426e+01
    1.99988e-04     6.72882e+01     6.72876e+01
    2.09445e-04     7.03674e+01     7.03668e+01
    2.19350e-04     7.35867e+01     7.35860e+01
    2.29723e-04     7.69528e+01     7.69521e+01
    2.40586e-04     8.04725e+01     8.04717e+01
    2.51964e-04     8.41525e+01     8.41517e+01
    2.63879e-04     8.79996e+01     8.79987e+01
    2.76358e-04     9.20212e+01     9.20202e+01
    2.89427e-04     9.62257e+01     9.62246e+01
    3.03114e-04     1.00621e+02     1.00620e+02
    3.17448e-04     1.05216e+02     1.05215e+02
    3.32460e-04     1.10019e+02     1.10017e+02
    3.48182e-04     1.15038e+02     1.15036e+02
    3.64647e-04     1.20284e+02     1.20283e+02
    3.81891e-04     1.25768e+02     1.25766e+02
    3.99951e-04     1.31498e+02     1.31496e+02
    4.18865e-04     1.37486e+02     1.37484e+02
    4.38673e-04     1.43742e+02     1.43740e+02
    4.59417e-04     1.50279e+02     1.50276e+02
    4.81143e-04     1.57108e+02     1.57105e+02
    5.03896e-04     1.64242e+02     1.64238e+02
    5.27725e-04     1.71692e+02     1.71689e+02
    5.52681e-04     1.79473e+02     1.79469e+02
    5.78818e-04     1.87599e+02     1.87594e+02
    6.06190e-04     1.96083e+02     1.96078e+02
    6.34857e-04     2.04940e+02     2.04935e+02
    6.64879e-04     2.14184e+02     2.14179e+02
    6.96321e-04     2.23832e+02     2.23825e+02
    7.29250e-04     2.33898e+02     2.33891e+02
    7.63736e-04     2.44400e+02     2.44392e+02
    7.99853e-04     2.55353e+02     2.55345e+02
    8.37678e-04     2.66775e+02     2.66766e+02
    8.77291e-04     2.78682e+02     2.78672e+02
    9.18778e-04     2.91092e+02     2.91082e+02
    9.62227e-04     3.04024e+02     3.04013e+02
    1.00773e-03     3.17496e+02     3.17484e+02
    1.05539e-03     3.31526e+02     3.31512e+02
    1.10530e-03     3.46132e+02     3.46117e+02
    1.15756e-03     3.61333e+02     3.61317e+02
    1.21231e-03     3.77148e+02     3.77131e+02
    1.26964e-03     3.93596e+02     3.93577e+02
    1.32968e-03     4.10696e+02     4.10675e+02
    1.39256e-03     4.28466e+02     4.28442e+02
    1.45841e-03     4.46925e+02     4.46899e+02
    1.52738e-03     4.66092e+02     4.66064e+02
    1.59961e-03     4.85985e+02     4.85955e+02
    1.67525e-03     5.06624e+02     5.06591e+02
    1.75447e-03     5.28025e+02     5.27989e+02
    1.83744e-03     5.50204e+02     5.50164e+02
    1.92434e-03     5.73176e+02     5.73133e+02
    2.01534e-03     5.96956e+02     5.96910e+02
    2.11064e-03     6.21561e+02     6.21510e+02
    2.21045e-03     6.47001e+02     6.46945e+02
    2.31499e-03     6.73283e+02     6.73222e+02
    2.42446e-03     7.00415e+02     7.00349e+02
    2.53911e-03     7.28405e+02     7.28333e+02
    2.65919e-03     7.57260e+02     7.57182e+02
    2.78494e-03     7.86979e+02     7.86894e+02
    2.91664e-03     8.17558e+02     8.17466e+02
    3.05457e-03     8.48990e+02     8.48890e+02
    3.19902e-03     8.81270e+02     8.81160e+02
    3.35030e-03     9.14390e+02     9.14272e+02
    3.50873e-03     9.48333e+02     9.48204e+02
    3.67466e-03     9.83071e+02     9.82931e+02
    3.84844e-03     1.01858e+03     1.01843e+03
    4.03043e-03     1.05482e+03     1.05466e+03
    4.22103e-03     1.09178e+03     1.09161e+03
    4.42064e-03     1.12941e+03     1.12922e+03
    4.62969e-03     1.16764e+03     1.16743e+03
    4.84863e-03     1.20642e+03     1.20620e+03
    5.07792e-03     1.24570e+03     1.24546e+03
    5.31805e-03     1.28541e+03     1.28515e+03
    5.56954e-03     1.32547e+03     1.32519e+03
    5.83292e-03     1.36578e+03     1.36547e+03
    6.10876e-03     1.40624e+03     1.40591e+03
    6.39764e-03     1.44675e+03     1.44640e+03
    6.70019e-03     1.48720e+03     1.48683e+03
    7.01704e-03     1.52748e+03     1.52708e+03
    7.34887e-03     1.56742e+03     1.56699e+03
    7.69640e-03     1.60688e+03     1.60642e+03
    8.06036e-03     1.64570e+03     1.64521e+03
    8.44153e-03     1.68374e+03     1.68322e+03
    8.84073e-03     1.72079e+03     1.72024e+03
    9.25881e-03     1.75665e+03     1.75607e+03
    9.69666e-03     1.79111e+03     1.79049e+03
    1.01552e-02     1.82396e+03     1.82331e+03
    1.06354e-02     1.85498e+03     1.85429e+03
    1.11384e-02     1.88393e+03     1.88320e+03
    1.16651e-02     1.91054e+03     1.90978e+03
    1.22168e-02     1.93455e+03     1.93376e+03
    1.27945e-02     1.95571e+03     1.95488e+03
    1.33996e-02     1.97373e+03     1.97287e+03
    1.40332e-02     1.98836e+03     1.98747e+03
    1.46968e-02     1.99932e+03     1.99840e+03
    1.53919e-02     2.00634e+03     2.00539e+03
    1.61197e-02     2.00914e+03     2.00818e+03
    1.68820e-02     2.00747e+03     2.00649e+03
    1.76804e-02     2.00113e+03     2.00014e+03
    1.85165e-02     1.98997e+03     1.98897e+03
    1.93921e-02     1.97383e+03     1.97284e+03
    2.03092e-02     1.95257e+03     1.95159e+03
    2.12696e-02     1.92606e+03     1.92509e+03
    2.22754e-02     1.89438e+03     1.89344e+03
    2.33288e-02     1.85775e+03     1.85684e+03
    2.44320e-02     1.81634e+03     1.81547e+03
    2.55874e-02     1.77036e+03     1.76954e+03
    2.67975e-02     1.72005e+03     1.71929e+03
    2.80647e-02     1.66599e+03     1.66528e+03
    2.93919e-02     1.60889e+03     1.60825e+03
    3.07818e-02     1.54949e+03     1.54893e+03
    3.22375e-02     1.48851e+03     1.48803e+03
    3.37620e-02     1.42671e+03     1.42631e+03
    3.53586e-02     1.36492e+03     1.36462e+03
    3.70307e-02     1.30407e+03     1.30386e+03
    3.87819e-02     1.24504e+03     1.24494e+03
    4.06159e-02     1.18876e+03     1.18876e+03
    4.25366e-02     1.13597e+03     1.13609e+03
    4.45481e-02     1.08710e+03     1.08734e+03
    4.66548e-02     1.04247e+03     1.04285e+03
    4.88611e-02     1.00235e+03     1.00287e+03
    5.11717e-02     9.66516e+02     9.67196e+02
    5.35916e-02     9.34477e+02     9.35331e+02
    5.61260e-02     9.05414e+02     9.06459e+02
    5.87802e-02     8.78213e+02     8.79466e+02
    6.15599e-02     8.51472e+02     8.52948e+02
    6.44710e-02     8.23657e+02     8.25366e+02
    6.75198e-02     7.93247e+02     7.95191e+02
    7.07128e-02     7.58978e+02     7.61147e+02
    7.40568e-02     7.20109e+02     7.22482e+02
    7.75590e-02     6.76652e+02     6.79196e+02
    8.12267e-02     6.29519e+02     6.32197e+02
    8.50679e-02     5.80491e+02     5.83270e+02
    8.90908e-02     5.31994e+02     5.34851e+02
    9.33039e-02     4.86670e+02     4.89599e+02
    9.77162e-02     4.46856e+02     4.49871e+02
    1.02337e-01     4.14084e+02     4.17216e+02
    1.07177e-01     3.88693e+02     3.91984e+02
    1.12245e-01     3.69668e+02     3.73163e+02
    1.17553e-01     3.54691e+02     3.58427e+02
    1.23112e-01     3.40556e+02     3.44542e+02
    1.28934e-01     3.24023e+02     3.28223e+02
    1.35031e-01     3.03031e+02     3.07365e+02
    1.41417e-01     2.77712e+02     2.82081e+02
    1.48105e-01     2.50498e+02     2.54831e+02
    1.55108e-01     2.25044e+02     2.29330e+02
    1.62444e-01     2.04477e+02     2.08759e+02
    1.70125e-01     1.89862e+02     1.94216e+02
    1.78171e-01     1.79714e+02     1.84203e+02
    1.86596e-01     1.70805e+02     1.75441e+02
    1.95420e-01     1.59768e+02     1.64483e+02
    2.04662e-01     1.45620e+02     1.50305e+02
    2.14340e-01     1.30576e+02     1.35170e+02
    2.24476e-01     1.17702e+02     1.22225e+02
    2.35092e-01     1.08436e+02     1.12957e+02
    2.46209e-01     1.01599e+02     1.06166e+02
    2.57852e-01     9.45374e+01     9.91216e+01
    2.70046e-01     8.60231e+01     9.05479e+01
    2.82817e-01     7.73356e+01     8.17639e+01
    2.96191e-01     7.03824e+01     7.47488e+01
    3.10198e-01     6.50573e+01     6.93997e+01
    3.24867e-01     5.98570e+01     6.41586e+01
    3.40230e-01     5.42098e+01     5.84277e+01
    3.56319e-01     4.90574e+01     5.31895e+01
    3.73170e-01     4.48907e+01     4.89607e+01
    3.90817e-01     4.10246e+01     4.50271e+01
    4.09298e-01     3.71583e+01     4.10736e+01
    4.28654e-01     3.37109e+01     3.75420e+01
    4.48925e-01     3.07033e+01     3.44566e+01
    4.70155e-01     2.78475e+01     3.15152e+01
    4.92388e-01     2.52165e+01     2.87960e+01
    5.15673e-01     2.28859e+01     2.63809e+01
    5.40059e-01     2.07196e+01     2.41267e+01
    5.65599e-01     1.87494e+01     2.20684e+01
    5.92346e-01     1.69683e+01     2.02002e+01
    6.20358e-01     1.53361e+01     1.84801e+01
    6.49694e-01     1.38601e+01     1.69170e+01
    6.80418e-01     1.25154e+01     1.54854e+01
    7.12595e-01     1.12955e+01     1.41794e+01
    7.46294e-01     1.01905e+01     1.29893e+01
    7.81586e-01     9.18817e+00     1.19026e+01
    8.18547e-01     8.27983e+00     1.09110e+01
    8.57256e-01     7.45764e+00     1.00067e+01
    8.97795e-01     6.71399e+00     9.18217e+00
    9.40252e-01     6.04145e+00     8.43010e+00
    9.84716e-01     5.43378e+00     7.74428e+00
    1.03128e+00     4.88514e+00     7.11893e+00
    1.08005e+00     4.38974e+00     6.54831e+00
    1.13113e+00     3.94261e+00     6.02750e+00
    1.18462e+00     3.53967e+00     5.55243e+00
    1.24064e+00     3.17685e+00     5.11905e+00
    1.29931e+00     2.85008e+00     4.72333e+00
    1.36075e+00     2.55556e+00     4.36148e+00
    1.42510e+00     2.29047e+00     4.03068e+00
    1.49250e+00     2.05224e+00     3.72837e+00
    1.56308e+00     1.83830e+00     3.45197e+00
    1.63699e+00     1.64607e+00     3.19891e+00
    1.71441e+00     1.47318e+00     2.96680e+00
    1.79548e+00     1.31791e+00     2.75391e+00
    1.88039e+00     1.17869e+00     2.55867e+00
    1.96931e+00     1.05395e+00     2.37946e+00
    2.06244e+00     9.42096e-01     2.21471e+00
    2.15997e+00     8.41698e-01     2.06295e+00
    2.26212e+00     7.51719e-01     1.92312e+00
    2.36909e+00     6.71208e-01     1.79425e+00
    2.48113e+00     5.99213e-01     1.67536e+00
    2.59846e+00     5.34783e-01     1.56548e+00
    2.72134e+00     4.77051e-01     1.46371e+00
    2.85003e+00     4.25404e-01     1.36941e+00
    2.98481e+00     3.79277e-01     1.28199e+00
    3.12596e+00     3.38103e-01     1.20086e+00
    3.27379e+00     3.01319e-01     1.12542e+00
    3.42860e+00     2.68411e-01     1.05513e+00
    3.59074e+00     2.39020e-01     9.89610e-01
    3.76055e+00     2.12815e-01     9.28496e-01
    3.93838e+00     1.89463e-01     8.71427e-01
    4.12463e+00     1.68632e-01     8.18043e-01
    4.31968e+00     1.50023e-01     7.68020e-01
    4.52396e+00     1.33429e-01     7.21121e-01
    4.73789e+00     1.18655e-01     6.77129e-01
    4.96195e+00     1.05510e-01     6.35825e-01
    5.19660e+00     9.37987e-02     5.96989e-01
    5.44234e+00     8.33504e-02     5.60424e-01
    5.69971e+00     7.40452e-02     5.25987e-01
    5.96925e+00     6.57723e-02     4.93545e-01
    6.25153e+00     5.84209e-02     4.62965e-01
    6.54717e+00     5.18801e-02     4.34112e-01
    6.85678e+00     4.60515e-02     4.06866e-01
    7.18104e+00     4.08672e-02     3.81139e-01
    7.52063e+00     3.62640e-02     3.56847e-01
    7.87628e+00     3.21786e-02     3.33908e-01
    8.24875e+00     2.85477e-02     3.12237e-01
    8.63883e+00     2.53156e-02     2.91760e-01
    9.04736e+00     2.24440e-02     2.72420e-01
    9.47521e+00     1.98971e-02     2.54161e-01
    9.92329e+00     1.76392e-02     2.36930e-01
    1.03926e+01     1.56345e-02     2.20673e-01
    1.08840e+01     1.38518e-02     2.05338e-01
    1.13987e+01     1.22696e-02     1.90888e-01
    1.19378e+01     1.08679e-02     1.77281e-01
    1.25023e+01     9.62642e-03     1.64480e-01
    1.30935e+01     8.52523e-03     1.52446e-01
    1.37127e+01     7.54682e-03     1.41142e-01
    1.43612e+01     6.67926e-03     1.30536e-01
    1.50403e+01     5.91138e-03     1.20598e-01
    1.57516e+01     5.23195e-03     1.11295e-01
    1.64965e+01     4.62980e-03     1.02596e-01
    1.72766e+01     4.09523e-03     9.44729e-02
    1.80936e+01     3.62167e-03     8.68967e-02
    1.89492e+01     3.20289e-03     7.98407e-02
    1.98454e+01     2.83267e-03     7.32777e-02
    2.07838e+01     2.50481e-03     6.71808e-02
    2.17667e+01     2.21398e-03     6.15240e-02
    2.27960e+01     1.95653e-03     5.62834e-02
    2.38741e+01     1.72906e-03     5.14355e-02
    2.50031e+01     1.52813e-03     4.69567e-02
    2.61855e+01     1.35031e-03     4.28237e-02
    2.74238e+01     1.19269e-03     3.90140e-02
    2.87206e+01     1.05327e-03     3.55082e-02
    3.00788e+01     9.30187e-04     3.22867e-02
    3.15012e+01     8.21543e-04     2.93302e-02
    3.29909e+01     7.25460e-04     2.66194e-02
    3.45511e+01     6.40346e-04     2.41363e-02
    3.61850e+01     5.65118e-04     2.18656e-02
    3.78962e+01     4.98748e-04     1.97923e-02
    3.96883e+01     4.40205e-04     1.79015e-02
    4.15651e+01     3.88463e-04     1.61781e-02
    4.35307e+01     3.42657e-04     1.46086e-02
    4.55893e+01     3.02199e-04     1.31817e-02
    4.77452e+01     2.66529e-04     1.18864e-02
    5.00031e+01     2.35088e-04     1.07117e-02
    5.23677e+01     2.07315e-04     9.64664e-03
    5.48442e+01     1.82743e-04     8.68146e-03
    5.74377e+01     1.61055e-04     7.80833e-03
    6.01540e+01     1.41947e-04     7.01960e-03
    6.29986e+01     1.25113e-04     6.30766e-03
    6.59778e+01     1.10252e-04     5.66486e-03
    6.90979e+01     9.71105e-05     5.08459e-03
    7.23655e+01     8.55190e-05     4.56172e-03
    7.57877e+01     7.53136e-05     4.09129e-03
    7.93717e+01     6.63309e-05     3.66832e-03
