# Matter power spectra at z=4.200000.
# D(z)=0.246295, f(z)=0.990042.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.69506e+01     2.69506e+01
    1.03177e-04     2.77805e+01     2.77805e+01
    1.06455e-04     2.86358e+01     2.86358e+01
    1.09837e-04     2.95174e+01     2.95174e+01
    1.13327e-04     3.04262e+01     3.04262e+01
    1.16928e-04     3.13629e+01     3.13629e+01
    1.20643e-04     3.23285e+01     3.23286e+01
    1.24476e-04     3.33239e+01     3.33239e+01
    1.28430e-04     3.43498e+01     3.43498e+01
    1.32511e-04     3.54071e+01     3.54071e+01
    1.36721e-04     3.64969e+01     3.64969e+01
    1.41065e-04     3.76203e+01     3.76202e+01
    1.45546e-04     3.87782e+01     3.87781e+01
    1.50171e-04     3.99717e+01     3.99716e+01
    1.54942e-04     4.12019e+01     4.12018e+01
    1.59865e-04     4.24700e+01     4.24698e+01
    1.64944e-04     4.37769e+01     4.37767e+01
    1.70184e-04     4.51238e+01     4.51236e+01
    1.75591e-04     4.65120e+01     4.65118e+01
    1.81170e-04     4.79429e+01     4.79427e+01
    1.86926e-04     4.94178e+01     4.94176e+01
    1.92865e-04     5.09380e+01     5.09378e+01
    1.98992e-04     5.25049e+01     5.25046e+01
    2.05315e-04     5.41197e+01     5.41194e+01
    2.11838e-04     5.57839e+01     5.57836e+01
    2.18568e-04     5.74990e+01     5.74987e+01
    2.25512e-04     5.92667e+01     5.92663e+01
    2.32677e-04     6.10886e+01     6.10882e+01
    2.40070e-04     6.29664e+01     6.29659e+01
    2.47697e-04     6.49016e+01     6.49012e+01
    2.55567e-04     6.68960e+01     6.68956e+01
    2.63686e-04     6.89512e+01     6.89507e+01
    2.72064e-04     7.10691e+01     7.10686e+01
    2.80708e-04     7.32517e+01     7.32511e+01
    2.89626e-04     7.55010e+01     7.55004e+01
    2.98828e-04     7.78190e+01     7.78183e+01
    3.08322e-04     8.02077e+01     8.02070e+01
    3.18118e-04     8.26692e+01     8.26685e+01
    3.28225e-04     8.52055e+01     8.52048e+01
    3.38653e-04     8.78188e+01     8.78180e+01
    3.49413e-04     9.05114e+01     9.05106e+01
    3.60514e-04     9.32859e+01     9.32850e+01
    3.71968e-04     9.61447e+01     9.61437e+01
    3.83786e-04     9.90903e+01     9.90893e+01
    3.95979e-04     1.02125e+02     1.02124e+02
    4.08560e-04     1.05252e+02     1.05250e+02
    4.21541e-04     1.08472e+02     1.08471e+02
    4.34934e-04     1.11790e+02     1.11789e+02
    4.48752e-04     1.15208e+02     1.15207e+02
    4.63010e-04     1.18729e+02     1.18728e+02
    4.77720e-04     1.22356e+02     1.22354e+02
    4.92898e-04     1.26092e+02     1.26090e+02
    5.08558e-04     1.29939e+02     1.29938e+02
    5.24715e-04     1.33902e+02     1.33900e+02
    5.41386e-04     1.37983e+02     1.37981e+02
    5.58587e-04     1.42185e+02     1.42183e+02
    5.76334e-04     1.46512e+02     1.46510e+02
    5.94645e-04     1.50968e+02     1.50966e+02
    6.13538e-04     1.55556e+02     1.55554e+02
    6.33031e-04     1.60280e+02     1.60277e+02
    6.53143e-04     1.65143e+02     1.65140e+02
    6.73894e-04     1.70148e+02     1.70145e+02
    6.95305e-04     1.75300e+02     1.75297e+02
    7.17395e-04     1.80603e+02     1.80599e+02
    7.40188e-04     1.86060e+02     1.86056e+02
    7.63705e-04     1.91676e+02     1.91672e+02
    7.87969e-04     1.97454e+02     1.97450e+02
    8.13004e-04     2.03399e+02     2.03395e+02
    8.38834e-04     2.09515e+02     2.09510e+02
    8.65485e-04     2.15806e+02     2.15801e+02
    8.92982e-04     2.22276e+02     2.22271e+02
    9.21354e-04     2.28930e+02     2.28924e+02
    9.50626e-04     2.35772e+02     2.35766e+02
    9.80829e-04     2.42806e+02     2.42800e+02
    1.01199e-03     2.50038e+02     2.50031e+02
    1.04414e-03     2.57471e+02     2.57464e+02
    1.07732e-03     2.65110e+02     2.65102e+02
    1.11155e-03     2.72960e+02     2.72951e+02
    1.14686e-03     2.81024e+02     2.81015e+02
    1.18330e-03     2.89308e+02     2.89299e+02
    1.22089e-03     2.97816e+02     2.97807e+02
    1.25968e-03     3.06553e+02     3.06543e+02
    1.29970e-03     3.15524e+02     3.15513e+02
    1.34100e-03     3.24732e+02     3.24720e+02
    1.38360e-03     3.34182e+02     3.34170e+02
    1.42756e-03     3.43880e+02     3.43867e+02
    1.47292e-03     3.53829e+02     3.53815e+02
    1.51971e-03     3.64034e+02     3.64019e+02
    1.56800e-03     3.74499e+02     3.74483e+02
