# Matter power spectra at z=0.800000.
# D(z)=0.669238, f(z)=0.831382.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.00010e+02     2.00010e+02
    1.04729e-04     2.09173e+02     2.09173e+02
    1.09682e-04     2.18755e+02     2.18756e+02
    1.14868e-04     2.28776e+02     2.28777e+02
    1.20301e-04     2.39256e+02     2.39257e+02
    1.25990e-04     2.50215e+02     2.50216e+02
    1.31948e-04     2.61675e+02     2.61675e+02
    1.38187e-04     2.73658e+02     2.73655e+02
    1.44722e-04     2.86189e+02     2.86182e+02
    1.51566e-04     2.99294e+02     2.99283e+02
    1.58734e-04     3.12998e+02     3.12983e+02
    1.66240e-04     3.27326e+02     3.27308e+02
    1.74102e-04     3.42307e+02     3.42287e+02
    1.82335e-04     3.57973e+02     3.57950e+02
    1.90957e-04     3.74354e+02     3.74330e+02
    1.99988e-04     3.91482e+02     3.91456e+02
    2.09445e-04     4.09389e+02     4.09362e+02
    2.19350e-04     4.28111e+02     4.28081e+02
    2.29723e-04     4.47685e+02     4.47652e+02
    2.40586e-04     4.68150e+02     4.68114e+02
    2.51964e-04     4.89547e+02     4.89507e+02
    2.63879e-04     5.11913e+02     5.11869e+02
    2.76358e-04     5.35292e+02     5.35244e+02
    2.89427e-04     5.59731e+02     5.59679e+02
    3.03114e-04     5.85279e+02     5.85221e+02
    3.17448e-04     6.11982e+02     6.11920e+02
    3.32460e-04     6.39890e+02     6.39821e+02
    3.48182e-04     6.69055e+02     6.68979e+02
    3.64647e-04     6.99533e+02     6.99451e+02
    3.81891e-04     7.31385e+02     7.31295e+02
    3.99951e-04     7.64667e+02     7.64568e+02
    4.18865e-04     7.99438e+02     7.99330e+02
    4.38673e-04     8.35762e+02     8.35644e+02
    4.59417e-04     8.73708e+02     8.73578e+02
    4.81143e-04     9.13345e+02     9.13203e+02
    5.03896e-04     9.54743e+02     9.54588e+02
    5.27725e-04     9.97972e+02     9.97802e+02
    5.52681e-04     1.04311e+03     1.04292e+03
    5.78818e-04     1.09023e+03     1.09003e+03
    6.06190e-04     1.13943e+03     1.13920e+03
    6.34857e-04     1.19077e+03     1.19053e+03
    6.64879e-04     1.24435e+03     1.24409e+03
    6.96321e-04     1.30026e+03     1.29997e+03
    7.29250e-04     1.35858e+03     1.35826e+03
    7.63736e-04     1.41941e+03     1.41906e+03
    7.99853e-04     1.48285e+03     1.48247e+03
    8.37678e-04     1.54899e+03     1.54857e+03
    8.77291e-04     1.61792e+03     1.61747e+03
    9.18778e-04     1.68977e+03     1.68927e+03
    9.62227e-04     1.76463e+03     1.76408e+03
    1.00773e-03     1.84260e+03     1.84200e+03
    1.05539e-03     1.92380e+03     1.92315e+03
    1.10530e-03     2.00833e+03     2.00762e+03
    1.15756e-03     2.09631e+03     2.09553e+03
    1.21231e-03     2.18784e+03     2.18699e+03
    1.26964e-03     2.28304e+03     2.28211e+03
    1.32968e-03     2.38202e+03     2.38100e+03
    1.39256e-03     2.48488e+03     2.48377e+03
    1.45841e-03     2.59175e+03     2.59053e+03
    1.52738e-03     2.70271e+03     2.70139e+03
    1.59961e-03     2.81790e+03     2.81645e+03
    1.67525e-03     2.93740e+03     2.93583e+03
    1.75447e-03     3.06133e+03     3.05961e+03
    1.83744e-03     3.18977e+03     3.18790e+03
    1.92434e-03     3.32281e+03     3.32076e+03
    2.01534e-03     3.46053e+03     3.45830e+03
    2.11064e-03     3.60303e+03     3.60060e+03
    2.21045e-03     3.75037e+03     3.74772e+03
    2.31499e-03     3.90259e+03     3.89970e+03
    2.42446e-03     4.05973e+03     4.05659e+03
    2.53911e-03     4.22185e+03     4.21843e+03
    2.65919e-03     4.38898e+03     4.38526e+03
    2.78494e-03     4.56112e+03     4.55708e+03
    2.91664e-03     4.73825e+03     4.73385e+03
    3.05457e-03     4.92032e+03     4.91554e+03
    3.19902e-03     5.10730e+03     5.10211e+03
    3.35030e-03     5.29916e+03     5.29353e+03
    3.50873e-03     5.49579e+03     5.48967e+03
    3.67466e-03     5.69703e+03     5.69039e+03
    3.84844e-03     5.90271e+03     5.89552e+03
    4.03043e-03     6.11269e+03     6.10489e+03
    4.22103e-03     6.32679e+03     6.31834e+03
    4.42064e-03     6.54475e+03     6.53561e+03
    4.62969e-03     6.76624e+03     6.75635e+03
    4.84863e-03     6.99093e+03     6.98024e+03
    5.07792e-03     7.21849e+03     7.20693e+03
    5.31805e-03     7.44857e+03     7.43609e+03
    5.56954e-03     7.68068e+03     7.66722e+03
    5.83292e-03     7.91425e+03     7.89973e+03
    6.10876e-03     8.14868e+03     8.13305e+03
    6.39764e-03     8.38341e+03     8.36658e+03
    6.70019e-03     8.61782e+03     8.59972e+03
    7.01704e-03     8.85116e+03     8.83171e+03
    7.34887e-03     9.08256e+03     9.06167e+03
    7.69640e-03     9.31113e+03     9.28874e+03
    8.06036e-03     9.53603e+03     9.51203e+03
    8.44153e-03     9.75634e+03     9.73065e+03
    8.84073e-03     9.97098e+03     9.94351e+03
    9.25881e-03     1.01787e+04     1.01494e+04
    9.69666e-03     1.03784e+04     1.03471e+04
    1.01552e-02     1.05687e+04     1.05353e+04
    1.06354e-02     1.07484e+04     1.07129e+04
    1.11384e-02     1.09161e+04     1.08784e+04
    1.16651e-02     1.10703e+04     1.10303e+04
    1.22168e-02     1.12094e+04     1.11670e+04
    1.27945e-02     1.13320e+04     1.12871e+04
    1.33996e-02     1.14364e+04     1.13890e+04
    1.40332e-02     1.15211e+04     1.14712e+04
    1.46968e-02     1.15846e+04     1.15321e+04
    1.53919e-02     1.16252e+04     1.15702e+04
    1.61197e-02     1.16414e+04     1.15838e+04
    1.68820e-02     1.16317e+04     1.15715e+04
    1.76804e-02     1.15950e+04     1.15323e+04
    1.85165e-02     1.15303e+04     1.14652e+04
    1.93921e-02     1.14368e+04     1.13694e+04
    2.03092e-02     1.13136e+04     1.12440e+04
    2.12696e-02     1.11599e+04     1.10884e+04
    2.22754e-02     1.09764e+04     1.09032e+04
    2.33288e-02     1.07641e+04     1.06894e+04
    2.44320e-02     1.05242e+04     1.04484e+04
    2.55874e-02     1.02578e+04     1.01812e+04
    2.67975e-02     9.96626e+03     9.88941e+03
    2.80647e-02     9.65301e+03     9.57625e+03
    2.93919e-02     9.32219e+03     9.24597e+03
    3.07818e-02     8.97804e+03     8.90279e+03
    3.22375e-02     8.62475e+03     8.55092e+03
    3.37620e-02     8.26664e+03     8.19469e+03
    3.53586e-02     7.90867e+03     7.83898e+03
    3.70307e-02     7.55606e+03     7.48894e+03
    3.87819e-02     7.21406e+03     7.14974e+03
    4.06159e-02     6.88790e+03     6.82651e+03
    4.25366e-02     6.58206e+03     6.52365e+03
    4.45481e-02     6.29886e+03     6.24337e+03
    4.66548e-02     6.04024e+03     5.98748e+03
    4.88611e-02     5.80777e+03     5.75743e+03
    5.11717e-02     5.60011e+03     5.55183e+03
    5.35916e-02     5.41450e+03     5.36787e+03
    5.61260e-02     5.24612e+03     5.20079e+03
    5.87802e-02     5.08847e+03     5.04421e+03
    6.15599e-02     4.93361e+03     4.89037e+03
    6.44710e-02     4.77245e+03     4.73055e+03
    6.75198e-02     4.59622e+03     4.55634e+03
    7.07128e-02     4.39766e+03     4.36095e+03
    7.40568e-02     4.17247e+03     4.14044e+03
    7.75590e-02     3.92065e+03     3.89505e+03
    8.12267e-02     3.64756e+03     3.63010e+03
    8.50679e-02     3.36348e+03     3.35553e+03
    8.90908e-02     3.08244e+03     3.08476e+03
    9.33039e-02     2.81982e+03     2.83230e+03
    9.77162e-02     2.58914e+03     2.61077e+03
    1.02337e-01     2.39925e+03     2.42829e+03
    1.07177e-01     2.25213e+03     2.28641e+03
    1.12245e-01     2.14190e+03     2.17929e+03
    1.17553e-01     2.05514e+03     2.09411e+03
    1.23112e-01     1.97324e+03     2.01347e+03
    1.28934e-01     1.87740e+03     1.92004e+03
    1.35031e-01     1.75584e+03     1.80321e+03
    1.41417e-01     1.60911e+03     1.66380e+03
    1.48105e-01     1.45142e+03     1.51504e+03
    1.55108e-01     1.30392e+03     1.37625e+03
    1.62444e-01     1.18478e+03     1.26378e+03
    1.70125e-01     1.10009e+03     1.18286e+03
    1.78171e-01     1.04128e+03     1.12545e+03
    1.86596e-01     9.89676e+02     1.07459e+03
    1.95420e-01     9.25733e+02     1.01290e+03
    2.04662e-01     8.43743e+02     9.35521e+02
    2.14340e-01     7.56564e+02     8.54013e+02
    2.24476e-01     6.81984e+02     7.84022e+02
    2.35092e-01     6.28290e+02     7.32624e+02
    2.46209e-01     5.88673e+02     6.93668e+02
    2.57852e-01     5.47767e+02     6.53759e+02
    2.70046e-01     4.98433e+02     6.06834e+02
    2.82817e-01     4.48090e+02     5.59350e+02
    2.96191e-01     4.07802e+02     5.20695e+02
    3.10198e-01     3.76956e+02     4.90216e+02
    3.24867e-01     3.46823e+02     4.60501e+02
    3.40230e-01     3.14095e+02     4.28825e+02
    3.56319e-01     2.84244e+02     3.99748e+02
    3.73170e-01     2.60098e+02     3.75538e+02
    3.90817e-01     2.37703e+02     3.52914e+02
    4.09298e-01     2.15302e+02     3.30454e+02
    4.28654e-01     1.95327e+02     3.10105e+02
    4.48925e-01     1.77900e+02     2.91928e+02
    4.70155e-01     1.61354e+02     2.74588e+02
    4.92388e-01     1.46106e+02     2.58404e+02
    5.15673e-01     1.32607e+02     2.43702e+02
    5.40059e-01     1.20054e+02     2.29852e+02
    5.65599e-01     1.08638e+02     2.16987e+02
    5.92346e-01     9.83179e+01     2.05060e+02
    6.20358e-01     8.88602e+01     1.93886e+02
    6.49694e-01     8.03085e+01     1.83485e+02
    6.80418e-01     7.25173e+01     1.73742e+02
    7.12595e-01     6.54484e+01     1.64618e+02
    7.46294e-01     5.90456e+01     1.56066e+02
    7.81586e-01     5.32377e+01     1.48026e+02
    8.18547e-01     4.79748e+01     1.40456e+02
    8.57256e-01     4.32111e+01     1.33320e+02
    8.97795e-01     3.89022e+01     1.26580e+02
    9.40252e-01     3.50055e+01     1.20203e+02
    9.84716e-01     3.14845e+01     1.14161e+02
    1.03128e+00     2.83056e+01     1.08426e+02
    1.08005e+00     2.54350e+01     1.02975e+02
    1.13113e+00     2.28442e+01     9.77849e+01
    1.18462e+00     2.05093e+01     9.28396e+01
    1.24064e+00     1.84069e+01     8.81224e+01
    1.29931e+00     1.65135e+01     8.36168e+01
    1.36075e+00     1.48070e+01     7.93076e+01
    1.42510e+00     1.32711e+01     7.51843e+01
    1.49250e+00     1.18909e+01     7.12377e+01
    1.56308e+00     1.06514e+01     6.74584e+01
    1.63699e+00     9.53767e+00     6.38373e+01
    1.71441e+00     8.53592e+00     6.03658e+01
    1.79548e+00     7.63624e+00     5.70385e+01
    1.88039e+00     6.82953e+00     5.38500e+01
    1.96931e+00     6.10667e+00     5.07955e+01
    2.06244e+00     5.45855e+00     4.78698e+01
    2.15997e+00     4.87682e+00     4.50681e+01
    2.26212e+00     4.35550e+00     4.23871e+01
    2.36909e+00     3.88904e+00     3.98235e+01
    2.48113e+00     3.47193e+00     3.73740e+01
    2.59846e+00     3.09864e+00     3.50355e+01
    2.72134e+00     2.76414e+00     3.28048e+01
    2.85003e+00     2.46488e+00     3.06793e+01
    2.98481e+00     2.19759e+00     2.86564e+01
    3.12596e+00     1.95901e+00     2.67334e+01
    3.27379e+00     1.74586e+00     2.49079e+01
    3.42860e+00     1.55518e+00     2.31771e+01
    3.59074e+00     1.38489e+00     2.15385e+01
    3.76055e+00     1.23306e+00     1.99896e+01
    3.93838e+00     1.09777e+00     1.85278e+01
    4.12463e+00     9.77074e-01     1.71504e+01
    4.31968e+00     8.69249e-01     1.58549e+01
    4.52396e+00     7.73090e-01     1.46384e+01
