# Matter power spectra at z=4.400000.
# D(z)=0.237258, f(z)=0.990947.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.50013e+01     2.50013e+01
    1.03177e-04     2.57712e+01     2.57712e+01
    1.06455e-04     2.65646e+01     2.65646e+01
    1.09837e-04     2.73825e+01     2.73825e+01
    1.13327e-04     2.82255e+01     2.82255e+01
    1.16928e-04     2.90945e+01     2.90945e+01
    1.20643e-04     2.99903e+01     2.99903e+01
    1.24476e-04     3.09137e+01     3.09137e+01
    1.28430e-04     3.18654e+01     3.18654e+01
    1.32511e-04     3.28463e+01     3.28463e+01
    1.36721e-04     3.38573e+01     3.38572e+01
    1.41065e-04     3.48993e+01     3.48993e+01
    1.45546e-04     3.59735e+01     3.59734e+01
    1.50171e-04     3.70807e+01     3.70806e+01
    1.54942e-04     3.82220e+01     3.82219e+01
    1.59865e-04     3.93983e+01     3.93982e+01
    1.64944e-04     4.06107e+01     4.06106e+01
    1.70184e-04     4.18602e+01     4.18600e+01
    1.75591e-04     4.31481e+01     4.31479e+01
    1.81170e-04     4.44755e+01     4.44753e+01
    1.86926e-04     4.58438e+01     4.58436e+01
    1.92865e-04     4.72541e+01     4.72538e+01
    1.98992e-04     4.87076e+01     4.87074e+01
    2.05315e-04     5.02057e+01     5.02054e+01
    2.11838e-04     5.17495e+01     5.17493e+01
    2.18568e-04     5.33406e+01     5.33403e+01
    2.25512e-04     5.49805e+01     5.49802e+01
    2.32677e-04     5.66707e+01     5.66704e+01
    2.40070e-04     5.84127e+01     5.84123e+01
    2.47697e-04     6.02080e+01     6.02077e+01
    2.55567e-04     6.20583e+01     6.20579e+01
    2.63686e-04     6.39649e+01     6.39645e+01
    2.72064e-04     6.59297e+01     6.59292e+01
    2.80708e-04     6.79545e+01     6.79540e+01
    2.89626e-04     7.00412e+01     7.00407e+01
    2.98828e-04     7.21916e+01     7.21911e+01
    3.08322e-04     7.44077e+01     7.44072e+01
    3.18118e-04     7.66913e+01     7.66907e+01
    3.28225e-04     7.90443e+01     7.90437e+01
    3.38653e-04     8.14687e+01     8.14680e+01
    3.49413e-04     8.39667e+01     8.39660e+01
    3.60514e-04     8.65407e+01     8.65400e+01
    3.71968e-04     8.91930e+01     8.91922e+01
    3.83786e-04     9.19257e+01     9.19249e+01
    3.95979e-04     9.47413e+01     9.47404e+01
    4.08560e-04     9.76419e+01     9.76410e+01
    4.21541e-04     1.00630e+02     1.00629e+02
    4.34934e-04     1.03708e+02     1.03707e+02
    4.48752e-04     1.06879e+02     1.06878e+02
    4.63010e-04     1.10146e+02     1.10145e+02
    4.77720e-04     1.13511e+02     1.13509e+02
    4.92898e-04     1.16977e+02     1.16975e+02
    5.08558e-04     1.20547e+02     1.20545e+02
    5.24715e-04     1.24223e+02     1.24222e+02
    5.41386e-04     1.28009e+02     1.28008e+02
    5.58587e-04     1.31908e+02     1.31906e+02
    5.76334e-04     1.35923e+02     1.35921e+02
    5.94645e-04     1.40058e+02     1.40056e+02
    6.13538e-04     1.44315e+02     1.44313e+02
    6.33031e-04     1.48697e+02     1.48695e+02
    6.53143e-04     1.53209e+02     1.53207e+02
    6.73894e-04     1.57854e+02     1.57851e+02
    6.95305e-04     1.62634e+02     1.62631e+02
    7.17395e-04     1.67554e+02     1.67551e+02
    7.40188e-04     1.72618e+02     1.72615e+02
    7.63705e-04     1.77829e+02     1.77826e+02
    7.87969e-04     1.83191e+02     1.83188e+02
    8.13004e-04     1.88708e+02     1.88704e+02
    8.38834e-04     1.94383e+02     1.94379e+02
    8.65485e-04     2.00220e+02     2.00216e+02
    8.92982e-04     2.06224e+02     2.06220e+02
    9.21354e-04     2.12399e+02     2.12394e+02
    9.50626e-04     2.18748e+02     2.18743e+02
    9.80829e-04     2.25276e+02     2.25271e+02
    1.01199e-03     2.31987e+02     2.31982e+02
    1.04414e-03     2.38885e+02     2.38879e+02
    1.07732e-03     2.45974e+02     2.45968e+02
    1.11155e-03     2.53259e+02     2.53252e+02
    1.14686e-03     2.60743e+02     2.60736e+02
    1.18330e-03     2.68431e+02     2.68423e+02
    1.22089e-03     2.76327e+02     2.76319e+02
    1.25968e-03     2.84435e+02     2.84427e+02
    1.29970e-03     2.92760e+02     2.92751e+02
    1.34100e-03     3.01306e+02     3.01296e+02
    1.38360e-03     3.10076e+02     3.10066e+02
    1.42756e-03     3.19076e+02     3.19065e+02
    1.47292e-03     3.28309e+02     3.28298e+02
    1.51971e-03     3.37780e+02     3.37768e+02
    1.56800e-03     3.47492e+02     3.47479e+02
    1.61781e-03     3.57451e+02     3.57437e+02
    1.66921e-03     3.67659e+02     3.67645e+02
    1.72225e-03     3.78121e+02     3.78106e+02
    1.77697e-03     3.88841e+02     3.88825e+02
    1.83342e-03     3.99822e+02     3.99804e+02
    1.89167e-03     4.11066e+02     4.11048e+02
    1.95177e-03     4.22579e+02     4.22559e+02
    2.01378e-03     4.34363e+02     4.34342e+02
    2.07777e-03     4.46422e+02     4.46400e+02
    2.14378e-03     4.58758e+02     4.58735e+02
    2.21189e-03     4.71374e+02     4.71349e+02
    2.28216e-03     4.84270e+02     4.84244e+02
    2.35467e-03     4.97450e+02     4.97422e+02
    2.42948e-03     5.10914e+02     5.10885e+02
    2.50667e-03     5.24665e+02     5.24634e+02
    2.58631e-03     5.38704e+02     5.38671e+02
    2.66848e-03     5.53032e+02     5.52997e+02
    2.75326e-03     5.67649e+02     5.67612e+02
    2.84074e-03     5.82553e+02     5.82514e+02
    2.93099e-03     5.97742e+02     5.97701e+02
    3.02411e-03     6.13217e+02     6.13173e+02
    3.12019e-03     6.28974e+02     6.28928e+02
    3.21933e-03     6.45013e+02     6.44964e+02
    3.32161e-03     6.61333e+02     6.61281e+02
    3.42714e-03     6.77928e+02     6.77874e+02
    3.53603e-03     6.94794e+02     6.94736e+02
    3.64837e-03     7.11923e+02     7.11862e+02
    3.76428e-03     7.29310e+02     7.29245e+02
    3.88388e-03     7.46948e+02     7.46880e+02
    4.00728e-03     7.64832e+02     7.64760e+02
    4.13459e-03     7.82954e+02     7.82879e+02
    4.26596e-03     8.01308e+02     8.01228e+02
    4.40149e-03     8.19879e+02     8.19795e+02
    4.54133e-03     8.38655e+02     8.38567e+02
    4.68562e-03     8.57623e+02     8.57530e+02
    4.83448e-03     8.76770e+02     8.76672e+02
    4.98808e-03     8.96082e+02     8.95979e+02
    5.14656e-03     9.15547e+02     9.15438e+02
    5.31007e-03     9.35150e+02     9.35035e+02
    5.47878e-03     9.54870e+02     9.54750e+02
    5.65285e-03     9.74686e+02     9.74559e+02
    5.83245e-03     9.94574e+02     9.94441e+02
    6.01775e-03     1.01451e+03     1.01437e+03
    6.20895e-03     1.03448e+03     1.03433e+03
    6.40621e-03     1.05445e+03     1.05430e+03
    6.60975e-03     1.07440e+03     1.07424e+03
    6.81975e-03     1.09431e+03     1.09415e+03
    7.03642e-03     1.11414e+03     1.11396e+03
    7.25998e-03     1.13385e+03     1.13367e+03
    7.49064e-03     1.15342e+03     1.15323e+03
    7.72863e-03     1.17280e+03     1.17260e+03
    7.97417e-03     1.19197e+03     1.19176e+03
    8.22752e-03     1.21088e+03     1.21067e+03
    8.48892e-03     1.22951e+03     1.22928e+03
    8.75863e-03     1.24780e+03     1.24757e+03
    9.03690e-03     1.26571e+03     1.26547e+03
    9.32402e-03     1.28319e+03     1.28294e+03
    9.62025e-03     1.30018e+03     1.29993e+03
    9.92590e-03     1.31666e+03     1.31639e+03
    1.02413e-02     1.33256e+03     1.33228e+03
    1.05666e-02     1.34783e+03     1.34755e+03
    1.09024e-02     1.36243e+03     1.36214e+03
    1.12487e-02     1.37629e+03     1.37599e+03
    1.16061e-02     1.38934e+03     1.38904e+03
    1.19749e-02     1.40154e+03     1.40123e+03
    1.23553e-02     1.41283e+03     1.41251e+03
    1.27479e-02     1.42314e+03     1.42281e+03
    1.31529e-02     1.43241e+03     1.43208e+03
    1.35708e-02     1.44058e+03     1.44025e+03
    1.40019e-02     1.44760e+03     1.44726e+03
    1.44468e-02     1.45340e+03     1.45306e+03
    1.49058e-02     1.45791e+03     1.45757e+03
    1.53794e-02     1.46108e+03     1.46075e+03
    1.58680e-02     1.46285e+03     1.46252e+03
    1.63721e-02     1.46316e+03     1.46282e+03
    1.68923e-02     1.46194e+03     1.46161e+03
    1.74290e-02     1.45916e+03     1.45884e+03
    1.79827e-02     1.45479e+03     1.45448e+03
    1.85541e-02     1.44879e+03     1.44849e+03
    1.91436e-02     1.44113e+03     1.44084e+03
    1.97518e-02     1.43177e+03     1.43150e+03
    2.03793e-02     1.42069e+03     1.42043e+03
    2.10268e-02     1.40784e+03     1.40760e+03
    2.16949e-02     1.39326e+03     1.39304e+03
    2.23841e-02     1.37698e+03     1.37678e+03
    2.30953e-02     1.35905e+03     1.35888e+03
    2.38291e-02     1.33951e+03     1.33937e+03
    2.45862e-02     1.31842e+03     1.31830e+03
    2.53673e-02     1.29581e+03     1.29572e+03
    2.61732e-02     1.27173e+03     1.27167e+03
    2.70048e-02     1.24627e+03     1.24624e+03
    2.78628e-02     1.21960e+03     1.21961e+03
    2.87480e-02     1.19188e+03     1.19192e+03
    2.96614e-02     1.16328e+03     1.16335e+03
    3.06038e-02     1.13395e+03     1.13407e+03
    3.15761e-02     1.10407e+03     1.10422e+03
    3.25793e-02     1.07380e+03     1.07399e+03
    3.36144e-02     1.04331e+03     1.04353e+03
    3.46824e-02     1.01279e+03     1.01306e+03
    3.57843e-02     9.82464e+02     9.82771e+02
    3.69212e-02     9.52523e+02     9.52870e+02
    3.80942e-02     9.23173e+02     9.23562e+02
    3.93045e-02     8.94619e+02     8.95051e+02
    4.05533e-02     8.67065e+02     8.67542e+02
    4.18417e-02     8.40685e+02     8.41208e+02
    4.31711e-02     8.15568e+02     8.16141e+02
    4.45427e-02     7.91792e+02     7.92417e+02
