# Matter power spectra at z=3.700000.
# D(z)=0.272183, f(z)=0.987033.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     3.29396e+01     3.29396e+01
    1.03177e-04     3.39539e+01     3.39539e+01
    1.06455e-04     3.49993e+01     3.49993e+01
    1.09837e-04     3.60768e+01     3.60768e+01
    1.13327e-04     3.71875e+01     3.71875e+01
    1.16928e-04     3.83324e+01     3.83324e+01
    1.20643e-04     3.95126e+01     3.95126e+01
    1.24476e-04     4.07291e+01     4.07291e+01
    1.28430e-04     4.19829e+01     4.19829e+01
    1.32511e-04     4.32752e+01     4.32752e+01
    1.36721e-04     4.46072e+01     4.46071e+01
    1.41065e-04     4.59801e+01     4.59800e+01
    1.45546e-04     4.73952e+01     4.73951e+01
    1.50171e-04     4.88540e+01     4.88538e+01
    1.54942e-04     5.03576e+01     5.03573e+01
    1.59865e-04     5.19073e+01     5.19070e+01
    1.64944e-04     5.35046e+01     5.35042e+01
    1.70184e-04     5.51507e+01     5.51504e+01
    1.75591e-04     5.68474e+01     5.68470e+01
    1.81170e-04     5.85962e+01     5.85958e+01
    1.86926e-04     6.03988e+01     6.03983e+01
    1.92865e-04     6.22567e+01     6.22562e+01
    1.98992e-04     6.41716e+01     6.41712e+01
    2.05315e-04     6.61452e+01     6.61447e+01
    2.11838e-04     6.81790e+01     6.81785e+01
    2.18568e-04     7.02751e+01     7.02746e+01
    2.25512e-04     7.24355e+01     7.24349e+01
    2.32677e-04     7.46621e+01     7.46614e+01
    2.40070e-04     7.69569e+01     7.69563e+01
    2.47697e-04     7.93220e+01     7.93213e+01
    2.55567e-04     8.17594e+01     8.17586e+01
    2.63686e-04     8.42711e+01     8.42703e+01
    2.72064e-04     8.68593e+01     8.68584e+01
    2.80708e-04     8.95266e+01     8.95257e+01
    2.89626e-04     9.22754e+01     9.22744e+01
    2.98828e-04     9.51081e+01     9.51070e+01
    3.08322e-04     9.80273e+01     9.80261e+01
    3.18118e-04     1.01035e+02     1.01034e+02
    3.28225e-04     1.04135e+02     1.04133e+02
    3.38653e-04     1.07328e+02     1.07327e+02
    3.49413e-04     1.10619e+02     1.10617e+02
    3.60514e-04     1.14009e+02     1.14007e+02
    3.71968e-04     1.17502e+02     1.17501e+02
    3.83786e-04     1.21102e+02     1.21100e+02
    3.95979e-04     1.24810e+02     1.24808e+02
    4.08560e-04     1.28631e+02     1.28629e+02
    4.21541e-04     1.32566e+02     1.32564e+02
    4.34934e-04     1.36620e+02     1.36618e+02
    4.48752e-04     1.40796e+02     1.40794e+02
    4.63010e-04     1.45098e+02     1.45096e+02
    4.77720e-04     1.49530e+02     1.49527e+02
    4.92898e-04     1.54094e+02     1.54091e+02
    5.08558e-04     1.58795e+02     1.58792e+02
    5.24715e-04     1.63637e+02     1.63633e+02
    5.41386e-04     1.68622e+02     1.68619e+02
    5.58587e-04     1.73756e+02     1.73753e+02
    5.76334e-04     1.79043e+02     1.79039e+02
    5.94645e-04     1.84486e+02     1.84482e+02
    6.13538e-04     1.90091e+02     1.90087e+02
    6.33031e-04     1.95862e+02     1.95857e+02
    6.53143e-04     2.01802e+02     2.01797e+02
    6.73894e-04     2.07916e+02     2.07911e+02
    6.95305e-04     2.14209e+02     2.14204e+02
    7.17395e-04     2.20686e+02     2.20681e+02
    7.40188e-04     2.27352e+02     2.27346e+02
    7.63705e-04     2.34211e+02     2.34205e+02
    7.87969e-04     2.41269e+02     2.41262e+02
    8.13004e-04     2.48530e+02     2.48523e+02
    8.38834e-04     2.56000e+02     2.55992e+02
    8.65485e-04     2.63682e+02     2.63674e+02
    8.92982e-04     2.71584e+02     2.71575e+02
    9.21354e-04     2.79710e+02     2.79700e+02
    9.50626e-04     2.88065e+02     2.88055e+02
    9.80829e-04     2.96655e+02     2.96645e+02
    1.01199e-03     3.05486e+02     3.05475e+02
    1.04414e-03     3.14563e+02     3.14550e+02
    1.07732e-03     3.23890e+02     3.23877e+02
    1.11155e-03     3.33475e+02     3.33461e+02
    1.14686e-03     3.43322e+02     3.43307e+02
    1.18330e-03     3.53437e+02     3.53421e+02
    1.22089e-03     3.63825e+02     3.63809e+02
