# Matter power spectra at z=2.900000.
# D(z)=0.326984, f(z)=0.978424.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     4.75980e+01     4.75980e+01
    1.04729e-04     4.97789e+01     4.97789e+01
    1.09682e-04     5.20594e+01     5.20594e+01
    1.14868e-04     5.44444e+01     5.44444e+01
    1.20301e-04     5.69387e+01     5.69387e+01
    1.25990e-04     5.95472e+01     5.95473e+01
    1.31948e-04     6.22749e+01     6.22748e+01
    1.38187e-04     6.51270e+01     6.51269e+01
    1.44722e-04     6.81097e+01     6.81094e+01
    1.51566e-04     7.12290e+01     7.12285e+01
    1.58734e-04     7.44910e+01     7.44903e+01
    1.66240e-04     7.79018e+01     7.79010e+01
    1.74102e-04     8.14681e+01     8.14671e+01
    1.82335e-04     8.51973e+01     8.51963e+01
    1.90957e-04     8.90971e+01     8.90960e+01
    1.99988e-04     9.31749e+01     9.31737e+01
    2.09445e-04     9.74383e+01     9.74371e+01
    2.19350e-04     1.01896e+02     1.01894e+02
    2.29723e-04     1.06556e+02     1.06555e+02
    2.40586e-04     1.11430e+02     1.11428e+02
    2.51964e-04     1.16525e+02     1.16523e+02
    2.63879e-04     1.21851e+02     1.21849e+02
    2.76358e-04     1.27419e+02     1.27417e+02
    2.89427e-04     1.33240e+02     1.33238e+02
    3.03114e-04     1.39325e+02     1.39323e+02
    3.17448e-04     1.45687e+02     1.45684e+02
    3.32460e-04     1.52335e+02     1.52332e+02
    3.48182e-04     1.59284e+02     1.59281e+02
    3.64647e-04     1.66547e+02     1.66543e+02
    3.81891e-04     1.74137e+02     1.74133e+02
    3.99951e-04     1.82070e+02     1.82065e+02
    4.18865e-04     1.90358e+02     1.90353e+02
    4.38673e-04     1.99017e+02     1.99012e+02
    4.59417e-04     2.08064e+02     2.08058e+02
    4.81143e-04     2.17516e+02     2.17510e+02
    5.03896e-04     2.27389e+02     2.27382e+02
    5.27725e-04     2.37701e+02     2.37693e+02
    5.52681e-04     2.48469e+02     2.48460e+02
    5.78818e-04     2.59713e+02     2.59703e+02
    6.06190e-04     2.71452e+02     2.71442e+02
    6.34857e-04     2.83708e+02     2.83697e+02
    6.64879e-04     2.96498e+02     2.96486e+02
    6.96321e-04     3.09845e+02     3.09832e+02
    7.29250e-04     3.23771e+02     3.23757e+02
    7.63736e-04     3.38299e+02     3.38283e+02
    7.99853e-04     3.53451e+02     3.53433e+02
    8.37678e-04     3.69249e+02     3.69230e+02
    8.77291e-04     3.85718e+02     3.85697e+02
    9.18778e-04     4.02883e+02     4.02860e+02
    9.62227e-04     4.20768e+02     4.20743e+02
    1.00773e-03     4.39399e+02     4.39371e+02
    1.05539e-03     4.58800e+02     4.58770e+02
    1.10530e-03     4.78998e+02     4.78965e+02
    1.15756e-03     5.00018e+02     4.99983e+02
    1.21231e-03     5.21887e+02     5.21848e+02
    1.26964e-03     5.44631e+02     5.44589e+02
    1.32968e-03     5.68276e+02     5.68230e+02
    1.39256e-03     5.92848e+02     5.92797e+02
    1.45841e-03     6.18373e+02     6.18318e+02
    1.52738e-03     6.44878e+02     6.44818e+02
    1.59961e-03     6.72388e+02     6.72322e+02
    1.67525e-03     7.00930e+02     7.00858e+02
    1.75447e-03     7.30527e+02     7.30448e+02
    1.83744e-03     7.61200e+02     7.61114e+02
    1.92434e-03     7.92971e+02     7.92877e+02
    2.01534e-03     8.25860e+02     8.25758e+02
    2.11064e-03     8.59889e+02     8.59778e+02
    2.21045e-03     8.95073e+02     8.94952e+02
    2.31499e-03     9.31423e+02     9.31291e+02
    2.42446e-03     9.68949e+02     9.68805e+02
    2.53911e-03     1.00766e+03     1.00750e+03
    2.65919e-03     1.04757e+03     1.04740e+03
    2.78494e-03     1.08867e+03     1.08849e+03
    2.91664e-03     1.13097e+03     1.13077e+03
    3.05457e-03     1.17444e+03     1.17422e+03
    3.19902e-03     1.21909e+03     1.21885e+03
    3.35030e-03     1.26490e+03     1.26464e+03
    3.50873e-03     1.31184e+03     1.31156e+03
    3.67466e-03     1.35989e+03     1.35959e+03
    3.84844e-03     1.40900e+03     1.40867e+03
    4.03043e-03     1.45913e+03     1.45878e+03
    4.22103e-03     1.51025e+03     1.50987e+03
    4.42064e-03     1.56230e+03     1.56188e+03
    4.62969e-03     1.61518e+03     1.61473e+03
    4.84863e-03     1.66882e+03     1.66833e+03
    5.07792e-03     1.72315e+03     1.72262e+03
    5.31805e-03     1.77807e+03     1.77750e+03
    5.56954e-03     1.83348e+03     1.83287e+03
    5.83292e-03     1.88924e+03     1.88857e+03
    6.10876e-03     1.94520e+03     1.94449e+03
    6.39764e-03     2.00123e+03     2.00047e+03
    6.70019e-03     2.05719e+03     2.05637e+03
    7.01704e-03     2.11290e+03     2.11202e+03
    7.34887e-03     2.16814e+03     2.16720e+03
    7.69640e-03     2.22272e+03     2.22171e+03
    8.06036e-03     2.27642e+03     2.27534e+03
    8.44153e-03     2.32903e+03     2.32787e+03
    8.84073e-03     2.38028e+03     2.37905e+03
    9.25881e-03     2.42988e+03     2.42858e+03
    9.69666e-03     2.47755e+03     2.47617e+03
    1.01552e-02     2.52299e+03     2.52152e+03
    1.06354e-02     2.56590e+03     2.56434e+03
    1.11384e-02     2.60594e+03     2.60429e+03
    1.16651e-02     2.64275e+03     2.64102e+03
    1.22168e-02     2.67596e+03     2.67414e+03
    1.27945e-02     2.70522e+03     2.70330e+03
    1.33996e-02     2.73015e+03     2.72815e+03
    1.40332e-02     2.75038e+03     2.74829e+03
    1.46968e-02     2.76554e+03     2.76337e+03
    1.53919e-02     2.77525e+03     2.77299e+03
    1.61197e-02     2.77912e+03     2.77680e+03
    1.68820e-02     2.77681e+03     2.77441e+03
    1.76804e-02     2.76804e+03     2.76558e+03
    1.85165e-02     2.75260e+03     2.75009e+03
    1.93921e-02     2.73028e+03     2.72772e+03
    2.03092e-02     2.70087e+03     2.69828e+03
    2.12696e-02     2.66420e+03     2.66159e+03
    2.22754e-02     2.62039e+03     2.61777e+03
    2.33288e-02     2.56971e+03     2.56711e+03
    2.44320e-02     2.51243e+03     2.50986e+03
    2.55874e-02     2.44883e+03     2.44631e+03
    2.67975e-02     2.37924e+03     2.37678e+03
    2.80647e-02     2.30446e+03     2.30208e+03
    2.93919e-02     2.22548e+03     2.22320e+03
    3.07818e-02     2.14331e+03     2.14115e+03
    3.22375e-02     2.05897e+03     2.05695e+03
    3.37620e-02     1.97348e+03     1.97160e+03
    3.53586e-02     1.88802e+03     1.88631e+03
    3.70307e-02     1.80384e+03     1.80232e+03
    3.87819e-02     1.72219e+03     1.72087e+03
    4.06159e-02     1.64433e+03     1.64321e+03
    4.25366e-02     1.57132e+03     1.57042e+03
    4.45481e-02     1.50372e+03     1.50304e+03
    4.66548e-02     1.44198e+03     1.44154e+03
    4.88611e-02     1.38649e+03     1.38629e+03
    5.11717e-02     1.33692e+03     1.33697e+03
    5.35916e-02     1.29260e+03     1.29291e+03
    5.61260e-02     1.25240e+03     1.25298e+03
    5.87802e-02     1.21478e+03     1.21564e+03
    6.15599e-02     1.17779e+03     1.17896e+03
    6.44710e-02     1.13931e+03     1.14081e+03
    6.75198e-02     1.09725e+03     1.09908e+03
    7.07128e-02     1.04985e+03     1.05203e+03
    7.40568e-02     9.96082e+02     9.98631e+02
    7.75590e-02     9.35971e+02     9.38884e+02
    8.12267e-02     8.70774e+02     8.74048e+02
    8.50679e-02     8.02957e+02     8.06584e+02
    8.90908e-02     7.35875e+02     7.39846e+02
    9.33039e-02     6.73180e+02     6.77487e+02
    9.77162e-02     6.18108e+02     6.22742e+02
    1.02337e-01     5.72776e+02     5.77729e+02
    1.07177e-01     5.37655e+02     5.42923e+02
    1.12245e-01     5.11339e+02     5.16921e+02
    1.17553e-01     4.90622e+02     4.96519e+02
    1.23112e-01     4.71070e+02     4.77278e+02
    1.28934e-01     4.48201e+02     4.54703e+02
    1.35031e-01     4.19165e+02     4.25923e+02
    1.41417e-01     3.84142e+02     3.91110e+02
    1.48105e-01     3.46498e+02     3.53634e+02
    1.55108e-01     3.11290e+02     3.18574e+02
    1.62444e-01     2.82840e+02     2.90271e+02
    1.70125e-01     2.62625e+02     2.70211e+02
    1.78171e-01     2.48587e+02     2.56337e+02
    1.86596e-01     2.36265e+02     2.44170e+02
    1.95420e-01     2.20997e+02     2.29020e+02
    2.04662e-01     2.01427e+02     2.09510e+02
    2.14340e-01     1.80618e+02     1.88720e+02
    2.24476e-01     1.62810e+02     1.70928e+02
    2.35092e-01     1.49992e+02     1.58140e+02
    2.46209e-01     1.40536e+02     1.48721e+02
    2.57852e-01     1.30768e+02     1.38968e+02
    2.70046e-01     1.18990e+02     1.27162e+02
    2.82817e-01     1.06974e+02     1.15090e+02
    2.96191e-01     9.73556e+01     1.05422e+02
    3.10198e-01     8.99897e+01     9.80131e+01
    3.24867e-01     8.27965e+01     9.07613e+01
    3.40230e-01     7.49850e+01     8.28643e+01
    3.56319e-01     6.78581e+01     7.56435e+01
    3.73170e-01     6.20946e+01     6.97896e+01
    3.90817e-01     5.67467e+01     6.43426e+01
    4.09298e-01     5.13987e+01     5.88809e+01
    4.28654e-01     4.66302e+01     5.39947e+01
    4.48925e-01     4.24699e+01     4.97145e+01
    4.70155e-01     3.85197e+01     4.56366e+01
    4.92388e-01     3.48804e+01     4.18644e+01
    5.15673e-01     3.16567e+01     3.85058e+01
    5.40059e-01     2.86601e+01     3.53697e+01
    5.65599e-01     2.59348e+01     3.25021e+01
    5.92346e-01     2.34712e+01     2.98940e+01
    6.20358e-01     2.12135e+01     2.74894e+01
    6.49694e-01     1.91719e+01     2.52995e+01
    6.80418e-01     1.73118e+01     2.32899e+01
    7.12595e-01     1.56243e+01     2.14520e+01
    7.46294e-01     1.40959e+01     1.97728e+01
    7.81586e-01     1.27094e+01     1.82352e+01
    8.18547e-01     1.14530e+01     1.68279e+01
    8.57256e-01     1.03157e+01     1.55401e+01
    8.97795e-01     9.28704e+00     1.43615e+01
    9.40252e-01     8.35676e+00     1.32823e+01
    9.84716e-01     7.51621e+00     1.22939e+01
    1.03128e+00     6.75731e+00     1.13885e+01
    1.08005e+00     6.07205e+00     1.05582e+01
    1.13113e+00     5.45357e+00     9.79644e+00
    1.18462e+00     4.89621e+00     9.09759e+00
