# Matter power spectra at z=3.200000.
# D(z)=0.304067, f(z)=0.982416.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     4.11409e+01     4.11409e+01
    1.04729e-04     4.30259e+01     4.30259e+01
    1.09682e-04     4.49971e+01     4.49971e+01
    1.14868e-04     4.70585e+01     4.70586e+01
    1.20301e-04     4.92145e+01     4.92145e+01
    1.25990e-04     5.14692e+01     5.14692e+01
    1.31948e-04     5.38269e+01     5.38268e+01
    1.38187e-04     5.62921e+01     5.62920e+01
    1.44722e-04     5.88703e+01     5.88700e+01
    1.51566e-04     6.15665e+01     6.15661e+01
    1.58734e-04     6.43860e+01     6.43855e+01
    1.66240e-04     6.73342e+01     6.73336e+01
    1.74102e-04     7.04167e+01     7.04160e+01
    1.82335e-04     7.36401e+01     7.36394e+01
    1.90957e-04     7.70110e+01     7.70102e+01
    1.99988e-04     8.05358e+01     8.05349e+01
    2.09445e-04     8.42210e+01     8.42201e+01
    2.19350e-04     8.80739e+01     8.80730e+01
    2.29723e-04     9.21026e+01     9.21015e+01
    2.40586e-04     9.63150e+01     9.63138e+01
    2.51964e-04     1.00719e+02     1.00718e+02
    2.63879e-04     1.05323e+02     1.05322e+02
    2.76358e-04     1.10136e+02     1.10135e+02
    2.89427e-04     1.15168e+02     1.15166e+02
    3.03114e-04     1.20428e+02     1.20427e+02
    3.17448e-04     1.25927e+02     1.25925e+02
    3.32460e-04     1.31675e+02     1.31672e+02
    3.48182e-04     1.37681e+02     1.37679e+02
    3.64647e-04     1.43960e+02     1.43957e+02
    3.81891e-04     1.50521e+02     1.50519e+02
    3.99951e-04     1.57379e+02     1.57376e+02
    4.18865e-04     1.64544e+02     1.64540e+02
    4.38673e-04     1.72030e+02     1.72026e+02
    4.59417e-04     1.79852e+02     1.79847e+02
    4.81143e-04     1.88023e+02     1.88018e+02
    5.03896e-04     1.96559e+02     1.96554e+02
    5.27725e-04     2.05474e+02     2.05468e+02
    5.52681e-04     2.14784e+02     2.14778e+02
    5.78818e-04     2.24505e+02     2.24498e+02
    6.06190e-04     2.34655e+02     2.34648e+02
    6.34857e-04     2.45252e+02     2.45244e+02
    6.64879e-04     2.56311e+02     2.56303e+02
    6.96321e-04     2.67852e+02     2.67843e+02
