# Matter power spectra at z=4.600000.
# D(z)=0.228857, f(z)=0.991723.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.32548e+01     2.32548e+01
    1.03177e-04     2.39708e+01     2.39708e+01
    1.06455e-04     2.47089e+01     2.47089e+01
    1.09837e-04     2.54696e+01     2.54696e+01
    1.13327e-04     2.62537e+01     2.62537e+01
    1.16928e-04     2.70620e+01     2.70620e+01
    1.20643e-04     2.78952e+01     2.78952e+01
    1.24476e-04     2.87541e+01     2.87541e+01
    1.28430e-04     2.96393e+01     2.96393e+01
    1.32511e-04     3.05517e+01     3.05517e+01
    1.36721e-04     3.14921e+01     3.14920e+01
    1.41065e-04     3.24614e+01     3.24613e+01
    1.45546e-04     3.34605e+01     3.34604e+01
    1.50171e-04     3.44904e+01     3.44903e+01
    1.54942e-04     3.55519e+01     3.55518e+01
    1.59865e-04     3.66461e+01     3.66460e+01
    1.64944e-04     3.77738e+01     3.77737e+01
    1.70184e-04     3.89360e+01     3.89359e+01
    1.75591e-04     4.01340e+01     4.01338e+01
    1.81170e-04     4.13687e+01     4.13685e+01
    1.86926e-04     4.26414e+01     4.26412e+01
    1.92865e-04     4.39532e+01     4.39530e+01
    1.98992e-04     4.53052e+01     4.53050e+01
    2.05315e-04     4.66986e+01     4.66984e+01
    2.11838e-04     4.81347e+01     4.81344e+01
    2.18568e-04     4.96146e+01     4.96144e+01
    2.25512e-04     5.11400e+01     5.11398e+01
    2.32677e-04     5.27122e+01     5.27119e+01
    2.40070e-04     5.43325e+01     5.43322e+01
    2.47697e-04     5.60025e+01     5.60022e+01
    2.55567e-04     5.77235e+01     5.77232e+01
    2.63686e-04     5.94970e+01     5.94967e+01
    2.72064e-04     6.13246e+01     6.13243e+01
    2.80708e-04     6.32081e+01     6.32077e+01
    2.89626e-04     6.51491e+01     6.51487e+01
    2.98828e-04     6.71494e+01     6.71490e+01
    3.08322e-04     6.92108e+01     6.92103e+01
    3.18118e-04     7.13349e+01     7.13345e+01
    3.28225e-04     7.35237e+01     7.35232e+01
    3.38653e-04     7.57788e+01     7.57783e+01
    3.49413e-04     7.81025e+01     7.81020e+01
    3.60514e-04     8.04969e+01     8.04963e+01
    3.71968e-04     8.29640e+01     8.29634e+01
    3.83786e-04     8.55061e+01     8.55054e+01
    3.95979e-04     8.81252e+01     8.81244e+01
    4.08560e-04     9.08234e+01     9.08226e+01
    4.21541e-04     9.36030e+01     9.36022e+01
    4.34934e-04     9.64664e+01     9.64655e+01
