# Matter power spectra at z=1.900000.
# D(z)=0.435392, f(z)=0.950817.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     8.45198e+01     8.45198e+01
    1.03177e-04     8.71222e+01     8.71222e+01
    1.06455e-04     8.98044e+01     8.98045e+01
    1.09837e-04     9.25690e+01     9.25691e+01
    1.13327e-04     9.54187e+01     9.54189e+01
    1.16928e-04     9.83562e+01     9.83564e+01
    1.20643e-04     1.01384e+02     1.01384e+02
    1.24476e-04     1.04505e+02     1.04505e+02
    1.28430e-04     1.07722e+02     1.07722e+02
    1.32511e-04     1.11038e+02     1.11038e+02
    1.36721e-04     1.14455e+02     1.14455e+02
    1.41065e-04     1.17977e+02     1.17976e+02
    1.45546e-04     1.21608e+02     1.21607e+02
    1.50171e-04     1.25350e+02     1.25349e+02
    1.54942e-04     1.29208e+02     1.29206e+02
    1.59865e-04     1.33184e+02     1.33181e+02
    1.64944e-04     1.37281e+02     1.37278e+02
    1.70184e-04     1.41504e+02     1.41501e+02
    1.75591e-04     1.45857e+02     1.45854e+02
    1.81170e-04     1.50343e+02     1.50340e+02
    1.86926e-04     1.54967e+02     1.54964e+02
    1.92865e-04     1.59734e+02     1.59730e+02
    1.98992e-04     1.64646e+02     1.64642e+02
    2.05315e-04     1.69708e+02     1.69704e+02
    2.11838e-04     1.74925e+02     1.74921e+02
    2.18568e-04     1.80302e+02     1.80297e+02
    2.25512e-04     1.85843e+02     1.85838e+02
    2.32677e-04     1.91554e+02     1.91549e+02
    2.40070e-04     1.97440e+02     1.97434e+02
    2.47697e-04     2.03506e+02     2.03500e+02
    2.55567e-04     2.09758e+02     2.09751e+02
    2.63686e-04     2.16199e+02     2.16192e+02
    2.72064e-04     2.22837e+02     2.22829e+02
    2.80708e-04     2.29677e+02     2.29669e+02
    2.89626e-04     2.36726e+02     2.36718e+02
    2.98828e-04     2.43990e+02     2.43981e+02
    3.08322e-04     2.51476e+02     2.51466e+02
    3.18118e-04     2.59189e+02     2.59178e+02
    3.28225e-04     2.67136e+02     2.67125e+02
    3.38653e-04     2.75324e+02     2.75312e+02
    3.49413e-04     2.83759e+02     2.83747e+02
    3.60514e-04     2.92451e+02     2.92438e+02
    3.71968e-04     3.01407e+02     3.01393e+02
    3.83786e-04     3.10633e+02     3.10618e+02
    3.95979e-04     3.20139e+02     3.20123e+02
    4.08560e-04     3.29931e+02     3.29914e+02
    4.21541e-04     3.40017e+02     3.39999e+02
    4.34934e-04     3.50407e+02     3.50388e+02
    4.48752e-04     3.61109e+02     3.61089e+02
    4.63010e-04     3.72133e+02     3.72111e+02
    4.77720e-04     3.83487e+02     3.83464e+02
    4.92898e-04     3.95181e+02     3.95157e+02
    5.08558e-04     4.07225e+02     4.07199e+02
    5.24715e-04     4.19626e+02     4.19599e+02
    5.41386e-04     4.32397e+02     4.32367e+02
    5.58587e-04     4.45546e+02     4.45514e+02
    5.76334e-04     4.59085e+02     4.59052e+02
    5.94645e-04     4.73025e+02     4.72989e+02
    6.13538e-04     4.87376e+02     4.87339e+02
    6.33031e-04     5.02150e+02     5.02110e+02
    6.53143e-04     5.17357e+02     5.17314e+02
    6.73894e-04     5.33008e+02     5.32963e+02
    6.95305e-04     5.49116e+02     5.49068e+02
    7.17395e-04     5.65693e+02     5.65642e+02
    7.40188e-04     5.82751e+02     5.82697e+02
    7.63705e-04     6.00303e+02     6.00245e+02
    7.87969e-04     6.18361e+02     6.18300e+02
    8.13004e-04     6.36937e+02     6.36872e+02
    8.38834e-04     6.56044e+02     6.55975e+02
    8.65485e-04     6.75696e+02     6.75623e+02
    8.92982e-04     6.95906e+02     6.95828e+02
    9.21354e-04     7.16688e+02     7.16605e+02
    9.50626e-04     7.38055e+02     7.37967e+02
    9.80829e-04     7.60023e+02     7.59929e+02
    1.01199e-03     7.82603e+02     7.82504e+02
    1.04414e-03     8.05811e+02     8.05706e+02
    1.07732e-03     8.29661e+02     8.29548e+02
    1.11155e-03     8.54166e+02     8.54047e+02
    1.14686e-03     8.79341e+02     8.79215e+02
    1.18330e-03     9.05202e+02     9.05067e+02
    1.22089e-03     9.31762e+02     9.31619e+02
    1.25968e-03     9.59036e+02     9.58884e+02
    1.29970e-03     9.87038e+02     9.86877e+02
    1.34100e-03     1.01578e+03     1.01561e+03
    1.38360e-03     1.04529e+03     1.04511e+03
    1.42756e-03     1.07556e+03     1.07537e+03
    1.47292e-03     1.10662e+03     1.10642e+03
    1.51971e-03     1.13848e+03     1.13827e+03
    1.56800e-03     1.17116e+03     1.17093e+03
    1.61781e-03     1.20467e+03     1.20442e+03
    1.66921e-03     1.23902e+03     1.23876e+03
    1.72225e-03     1.27422e+03     1.27395e+03
    1.77697e-03     1.31030e+03     1.31001e+03
    1.83342e-03     1.34725e+03     1.34694e+03
    1.89167e-03     1.38510e+03     1.38477e+03
    1.95177e-03     1.42384e+03     1.42350e+03
    2.01378e-03     1.46350e+03     1.46314e+03
    2.07777e-03     1.50409e+03     1.50370e+03
    2.14378e-03     1.54561e+03     1.54520e+03
    2.21189e-03     1.58807e+03     1.58764e+03
    2.28216e-03     1.63148e+03     1.63102e+03
    2.35467e-03     1.67585e+03     1.67536e+03
    2.42948e-03     1.72117e+03     1.72065e+03
    2.50667e-03     1.76745e+03     1.76690e+03
    2.58631e-03     1.81471e+03     1.81413e+03
    2.66848e-03     1.86294e+03     1.86232e+03
    2.75326e-03     1.91214e+03     1.91149e+03
    2.84074e-03     1.96231e+03     1.96162e+03
    2.93099e-03     2.01344e+03     2.01271e+03
    3.02411e-03     2.06554e+03     2.06476e+03
    3.12019e-03     2.11858e+03     2.11776e+03
    3.21933e-03     2.17258e+03     2.17171e+03
    3.32161e-03     2.22751e+03     2.22660e+03
    3.42714e-03     2.28338e+03     2.28242e+03
    3.53603e-03     2.34016e+03     2.33914e+03
    3.64837e-03     2.39783e+03     2.39675e+03
    3.76428e-03     2.45637e+03     2.45522e+03
    3.88388e-03     2.51575e+03     2.51454e+03
    4.00728e-03     2.57596e+03     2.57469e+03
    4.13459e-03     2.63697e+03     2.63563e+03
    4.26596e-03     2.69877e+03     2.69735e+03
    4.40149e-03     2.76129e+03     2.75980e+03
    4.54133e-03     2.82451e+03     2.82293e+03
    4.68562e-03     2.88837e+03     2.88671e+03
    4.83448e-03     2.95284e+03     2.95108e+03
    4.98808e-03     3.01786e+03     3.01601e+03
    5.14656e-03     3.08339e+03     3.08145e+03
    5.31007e-03     3.14939e+03     3.14735e+03
    5.47878e-03     3.21579e+03     3.21363e+03
    5.65285e-03     3.28250e+03     3.28024e+03
    5.83245e-03     3.34946e+03     3.34708e+03
    6.01775e-03     3.41660e+03     3.41409e+03
    6.20895e-03     3.48383e+03     3.48119e+03
