# Matter power spectra at z=2.000000.
# D(z)=0.421549, f(z)=0.955214.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     7.92190e+01     7.92189e+01
    1.04729e-04     8.28486e+01     8.28486e+01
    1.09682e-04     8.66440e+01     8.66441e+01
    1.14868e-04     9.06132e+01     9.06134e+01
    1.20301e-04     9.47644e+01     9.47646e+01
    1.25990e-04     9.91057e+01     9.91058e+01
    1.31948e-04     1.03645e+02     1.03645e+02
    1.38187e-04     1.08392e+02     1.08391e+02
    1.44722e-04     1.13356e+02     1.13355e+02
    1.51566e-04     1.18547e+02     1.18545e+02
    1.58734e-04     1.23975e+02     1.23973e+02
    1.66240e-04     1.29652e+02     1.29649e+02
    1.74102e-04     1.35586e+02     1.35583e+02
    1.82335e-04     1.41792e+02     1.41789e+02
    1.90957e-04     1.48282e+02     1.48278e+02
    1.99988e-04     1.55068e+02     1.55064e+02
    2.09445e-04     1.62162e+02     1.62159e+02
    2.19350e-04     1.69580e+02     1.69576e+02
    2.29723e-04     1.77335e+02     1.77331e+02
    2.40586e-04     1.85444e+02     1.85439e+02
    2.51964e-04     1.93922e+02     1.93917e+02
    2.63879e-04     2.02785e+02     2.02779e+02
    2.76358e-04     2.12049e+02     2.12042e+02
    2.89427e-04     2.21734e+02     2.21727e+02
    3.03114e-04     2.31859e+02     2.31851e+02
    3.17448e-04     2.42442e+02     2.42433e+02
    3.32460e-04     2.53504e+02     2.53494e+02
    3.48182e-04     2.65064e+02     2.65053e+02
    3.64647e-04     2.77145e+02     2.77134e+02
    3.81891e-04     2.89772e+02     2.89759e+02
    3.99951e-04     3.02967e+02     3.02953e+02
    4.18865e-04     3.16753e+02     3.16737e+02
    4.38673e-04     3.31156e+02     3.31139e+02
    4.59417e-04     3.46203e+02     3.46184e+02
    4.81143e-04     3.61922e+02     3.61901e+02
    5.03896e-04     3.78341e+02     3.78318e+02
    5.27725e-04     3.95487e+02     3.95463e+02
    5.52681e-04     4.13392e+02     4.13365e+02
    5.78818e-04     4.32086e+02     4.32057e+02
    6.06190e-04     4.51604e+02     4.51572e+02
    6.34857e-04     4.71977e+02     4.71942e+02
    6.64879e-04     4.93239e+02     4.93201e+02
    6.96321e-04     5.15425e+02     5.15383e+02
    7.29250e-04     5.38571e+02     5.38525e+02
    7.63736e-04     5.62715e+02     5.62665e+02
    7.99853e-04     5.87895e+02     5.87840e+02
    8.37678e-04     6.14148e+02     6.14088e+02
    8.77291e-04     6.41513e+02     6.41448e+02
    9.18778e-04     6.70033e+02     6.69961e+02
    9.62227e-04     6.99749e+02     6.99671e+02
    1.00773e-03     7.30703e+02     7.30617e+02
    1.05539e-03     7.62936e+02     7.62843e+02
    1.10530e-03     7.96492e+02     7.96390e+02
    1.15756e-03     8.31414e+02     8.31302e+02
    1.21231e-03     8.67746e+02     8.67624e+02
    1.26964e-03     9.05532e+02     9.05399e+02
    1.32968e-03     9.44816e+02     9.44670e+02
    1.39256e-03     9.85641e+02     9.85482e+02
    1.45841e-03     1.02805e+03     1.02788e+03
    1.52738e-03     1.07209e+03     1.07190e+03
    1.59961e-03     1.11780e+03     1.11759e+03
    1.67525e-03     1.16523e+03     1.16500e+03
    1.75447e-03     1.21441e+03     1.21416e+03
    1.83744e-03     1.26538e+03     1.26511e+03
    1.92434e-03     1.31818e+03     1.31788e+03
    2.01534e-03     1.37283e+03     1.37251e+03
    2.11064e-03     1.42938e+03     1.42903e+03
    2.21045e-03     1.48785e+03     1.48747e+03
    2.31499e-03     1.54825e+03     1.54784e+03
    2.42446e-03     1.61061e+03     1.61016e+03
    2.53911e-03     1.67494e+03     1.67445e+03
    2.65919e-03     1.74126e+03     1.74073e+03
    2.78494e-03     1.80957e+03     1.80899e+03
    2.91664e-03     1.87986e+03     1.87923e+03
    3.05457e-03     1.95210e+03     1.95142e+03
    3.19902e-03     2.02630e+03     2.02556e+03
    3.35030e-03     2.10243e+03     2.10162e+03
    3.50873e-03     2.18045e+03     2.17957e+03
    3.67466e-03     2.26030e+03     2.25935e+03
    3.84844e-03     2.34192e+03     2.34088e+03
    4.03043e-03     2.42523e+03     2.42412e+03
    4.22103e-03     2.51019e+03     2.50898e+03
    4.42064e-03     2.59668e+03     2.59537e+03
    4.62969e-03     2.68457e+03     2.68316e+03
    4.84863e-03     2.77372e+03     2.77220e+03
    5.07792e-03     2.86401e+03     2.86236e+03
    5.31805e-03     2.95529e+03     2.95351e+03
    5.56954e-03     3.04737e+03     3.04545e+03
    5.83292e-03     3.14003e+03     3.13796e+03
    6.10876e-03     3.23303e+03     3.23080e+03
    6.39764e-03     3.32616e+03     3.32377e+03
    6.70019e-03     3.41919e+03     3.41661e+03
    7.01704e-03     3.51179e+03     3.50903e+03
    7.34887e-03     3.60364e+03     3.60067e+03
    7.69640e-03     3.69436e+03     3.69118e+03
    8.06036e-03     3.78362e+03     3.78022e+03
