# Matter power spectra at z=4.800000.
# D(z)=0.221027, f(z)=0.992392.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.16839e+01     2.16839e+01
    1.04729e-04     2.26775e+01     2.26775e+01
    1.09682e-04     2.37164e+01     2.37164e+01
    1.14868e-04     2.48030e+01     2.48030e+01
    1.20301e-04     2.59394e+01     2.59394e+01
    1.25990e-04     2.71279e+01     2.71279e+01
    1.31948e-04     2.83706e+01     2.83706e+01
    1.38187e-04     2.96701e+01     2.96700e+01
    1.44722e-04     3.10290e+01     3.10290e+01
    1.51566e-04     3.24502e+01     3.24502e+01
    1.58734e-04     3.39365e+01     3.39364e+01
    1.66240e-04     3.54905e+01     3.54904e+01
    1.74102e-04     3.71154e+01     3.71153e+01
    1.82335e-04     3.88147e+01     3.88145e+01
    1.90957e-04     4.05916e+01     4.05915e+01
    1.99988e-04     4.24497e+01     4.24496e+01
    2.09445e-04     4.43925e+01     4.43923e+01
    2.19350e-04     4.64237e+01     4.64235e+01
    2.29723e-04     4.85475e+01     4.85473e+01
    2.40586e-04     5.07683e+01     5.07681e+01
    2.51964e-04     5.30904e+01     5.30901e+01
    2.63879e-04     5.55178e+01     5.55176e+01
    2.76358e-04     5.80555e+01     5.80552e+01
    2.89427e-04     6.07086e+01     6.07082e+01
    3.03114e-04     6.34823e+01     6.34819e+01
    3.17448e-04     6.63819e+01     6.63815e+01
    3.32460e-04     6.94127e+01     6.94123e+01
    3.48182e-04     7.25804e+01     7.25799e+01
    3.64647e-04     7.58915e+01     7.58910e+01
    3.81891e-04     7.93523e+01     7.93517e+01
    3.99951e-04     8.29692e+01     8.29686e+01
    4.18865e-04     8.67486e+01     8.67480e+01
    4.38673e-04     9.06977e+01     9.06970e+01
    4.59417e-04     9.48240e+01     9.48232e+01
    4.81143e-04     9.91353e+01     9.91344e+01
    5.03896e-04     1.03639e+02     1.03638e+02
    5.27725e-04     1.08344e+02     1.08342e+02
    5.52681e-04     1.13257e+02     1.13255e+02
    5.78818e-04     1.18388e+02     1.18386e+02
    6.06190e-04     1.23746e+02     1.23744e+02
    6.34857e-04     1.29340e+02     1.29338e+02
    6.64879e-04     1.35179e+02     1.35177e+02
    6.96321e-04     1.41273e+02     1.41271e+02
    7.29250e-04     1.47632e+02     1.47630e+02
    7.63736e-04     1.54267e+02     1.54265e+02
    7.99853e-04     1.61188e+02     1.61186e+02
    8.37678e-04     1.68406e+02     1.68403e+02
    8.77291e-04     1.75931e+02     1.75928e+02
    9.18778e-04     1.83775e+02     1.83772e+02
    9.62227e-04     1.91950e+02     1.91946e+02
    1.00773e-03     2.00466e+02     2.00462e+02
    1.05539e-03     2.09336e+02     2.09332e+02
    1.10530e-03     2.18571e+02     2.18567e+02
    1.15756e-03     2.28183e+02     2.28178e+02
    1.21231e-03     2.38184e+02     2.38178e+02
    1.26964e-03     2.48585e+02     2.48579e+02
    1.32968e-03     2.59398e+02     2.59392e+02
    1.39256e-03     2.70636e+02     2.70629e+02
    1.45841e-03     2.82310e+02     2.82302e+02
    1.52738e-03     2.94431e+02     2.94422e+02
    1.59961e-03     3.07011e+02     3.07002e+02
    1.67525e-03     3.20062e+02     3.20052e+02
    1.75447e-03     3.33594e+02     3.33583e+02
    1.83744e-03     3.47618e+02     3.47606e+02
    1.92434e-03     3.62142e+02     3.62129e+02
    2.01534e-03     3.77178e+02     3.77164e+02
    2.11064e-03     3.92733e+02     3.92718e+02
    2.21045e-03     4.08816e+02     4.08800e+02
    2.31499e-03     4.25432e+02     4.25413e+02
    2.42446e-03     4.42584e+02     4.42564e+02
