# Matter power spectra at z=2.300000.
# D(z)=0.384667, f(z)=0.965636.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     6.59332e+01     6.59331e+01
    1.03177e-04     6.79633e+01     6.79633e+01
    1.06455e-04     7.00556e+01     7.00557e+01
    1.09837e-04     7.22123e+01     7.22124e+01
    1.13327e-04     7.44354e+01     7.44355e+01
    1.16928e-04     7.67269e+01     7.67271e+01
    1.20643e-04     7.90891e+01     7.90892e+01
    1.24476e-04     8.15239e+01     8.15240e+01
    1.28430e-04     8.40335e+01     8.40335e+01
    1.32511e-04     8.66200e+01     8.66199e+01
    1.36721e-04     8.92858e+01     8.92855e+01
    1.41065e-04     9.20336e+01     9.20331e+01
    1.45546e-04     9.48660e+01     9.48652e+01
    1.50171e-04     9.77855e+01     9.77845e+01
    1.54942e-04     1.00795e+02     1.00794e+02
    1.59865e-04     1.03896e+02     1.03895e+02
    1.64944e-04     1.07093e+02     1.07091e+02
    1.70184e-04     1.10388e+02     1.10386e+02
    1.75591e-04     1.13783e+02     1.13781e+02
    1.81170e-04     1.17283e+02     1.17281e+02
    1.86926e-04     1.20891e+02     1.20888e+02
    1.92865e-04     1.24609e+02     1.24607e+02
    1.98992e-04     1.28441e+02     1.28439e+02
    2.05315e-04     1.32391e+02     1.32388e+02
    2.11838e-04     1.36461e+02     1.36458e+02
    2.18568e-04     1.40655e+02     1.40652e+02
    2.25512e-04     1.44978e+02     1.44975e+02
    2.32677e-04     1.49434e+02     1.49431e+02
    2.40070e-04     1.54026e+02     1.54023e+02
    2.47697e-04     1.58759e+02     1.58755e+02
    2.55567e-04     1.63636e+02     1.63632e+02
    2.63686e-04     1.68662e+02     1.68657e+02
    2.72064e-04     1.73840e+02     1.73836e+02
    2.80708e-04     1.79177e+02     1.79172e+02
    2.89626e-04     1.84677e+02     1.84672e+02
    2.98828e-04     1.90344e+02     1.90339e+02
    3.08322e-04     1.96185e+02     1.96179e+02
    3.18118e-04     2.02203e+02     2.02197e+02
    3.28225e-04     2.08403e+02     2.08397e+02
    3.38653e-04     2.14792e+02     2.14785e+02
    3.49413e-04     2.21374e+02     2.21367e+02
    3.60514e-04     2.28156e+02     2.28148e+02
    3.71968e-04     2.35143e+02     2.35135e+02
    3.83786e-04     2.42343e+02     2.42334e+02
    3.95979e-04     2.49760e+02     2.49751e+02
    4.08560e-04     2.57401e+02     2.57391e+02
    4.21541e-04     2.65271e+02     2.65261e+02
    4.34934e-04     2.73379e+02     2.73368e+02
    4.48752e-04     2.81730e+02     2.81718e+02
    4.63010e-04     2.90333e+02     2.90320e+02
    4.77720e-04     2.99193e+02     2.99180e+02
    4.92898e-04     3.08319e+02     3.08305e+02
    5.08558e-04     3.17718e+02     3.17703e+02
    5.24715e-04     3.27397e+02     3.27380e+02
    5.41386e-04     3.37363e+02     3.37346e+02
    5.58587e-04     3.47625e+02     3.47607e+02
    5.76334e-04     3.58192e+02     3.58173e+02
    5.94645e-04     3.69072e+02     3.69051e+02
    6.13538e-04     3.80273e+02     3.80251e+02
    6.33031e-04     3.91804e+02     3.91781e+02
    6.53143e-04     4.03674e+02     4.03649e+02
    6.73894e-04     4.15890e+02     4.15864e+02
    6.95305e-04     4.28463e+02     4.28436e+02
    7.17395e-04     4.41403e+02     4.41373e+02
    7.40188e-04     4.54719e+02     4.54687e+02
    7.63705e-04     4.68420e+02     4.68386e+02
    7.87969e-04     4.82516e+02     4.82481e+02
    8.13004e-04     4.97018e+02     4.96980e+02
    8.38834e-04     5.11934e+02     5.11894e+02
    8.65485e-04     5.27275e+02     5.27232e+02
    8.92982e-04     5.43052e+02     5.43007e+02
    9.21354e-04     5.59276e+02     5.59228e+02
    9.50626e-04     5.75958e+02     5.75907e+02
    9.80829e-04     5.93108e+02     5.93053e+02
    1.01199e-03     6.10737e+02     6.10679e+02
    1.04414e-03     6.28855e+02     6.28794e+02
    1.07732e-03     6.47474e+02     6.47409e+02
    1.11155e-03     6.66606e+02     6.66537e+02
    1.14686e-03     6.86261e+02     6.86187e+02
    1.18330e-03     7.06450e+02     7.06372e+02
    1.22089e-03     7.27186e+02     7.27103e+02
    1.25968e-03     7.48478e+02     7.48390e+02
    1.29970e-03     7.70339e+02     7.70246e+02
    1.34100e-03     7.92780e+02     7.92681e+02
    1.38360e-03     8.15812e+02     8.15707e+02
    1.42756e-03     8.39447e+02     8.39335e+02
    1.47292e-03     8.63695e+02     8.63576e+02
    1.51971e-03     8.88568e+02     8.88442e+02
    1.56800e-03     9.14077e+02     9.13943e+02
    1.61781e-03     9.40233e+02     9.40092e+02
    1.66921e-03     9.67048e+02     9.66898e+02
    1.72225e-03     9.94531e+02     9.94372e+02
    1.77697e-03     1.02269e+03     1.02252e+03
    1.83342e-03     1.05154e+03     1.05136e+03
    1.89167e-03     1.08108e+03     1.08089e+03
    1.95177e-03     1.11133e+03     1.11113e+03
    2.01378e-03     1.14229e+03     1.14207e+03
    2.07777e-03     1.17397e+03     1.17374e+03
    2.14378e-03     1.20638e+03     1.20614e+03
    2.21189e-03     1.23953e+03     1.23928e+03
    2.28216e-03     1.27342e+03     1.27315e+03
    2.35467e-03     1.30805e+03     1.30776e+03
    2.42948e-03     1.34342e+03     1.34312e+03
    2.50667e-03     1.37956e+03     1.37924e+03
    2.58631e-03     1.41644e+03     1.41611e+03
    2.66848e-03     1.45409e+03     1.45373e+03
    2.75326e-03     1.49250e+03     1.49212e+03
    2.84074e-03     1.53166e+03     1.53126e+03
    2.93099e-03     1.57158e+03     1.57115e+03
    3.02411e-03     1.61224e+03     1.61179e+03
    3.12019e-03     1.65365e+03     1.65317e+03
    3.21933e-03     1.69579e+03     1.69529e+03
    3.32161e-03     1.73868e+03     1.73815e+03
    3.42714e-03     1.78229e+03     1.78173e+03
    3.53603e-03     1.82661e+03     1.82602e+03
    3.64837e-03     1.87163e+03     1.87100e+03
    3.76428e-03     1.91732e+03     1.91665e+03
    3.88388e-03     1.96367e+03     1.96297e+03
    4.00728e-03     2.01067e+03     2.00993e+03
    4.13459e-03     2.05830e+03     2.05752e+03
    4.26596e-03     2.10653e+03     2.10571e+03
    4.40149e-03     2.15534e+03     2.15447e+03
    4.54133e-03     2.20469e+03     2.20377e+03
    4.68562e-03     2.25454e+03     2.25357e+03
    4.83448e-03     2.30486e+03     2.30384e+03
    4.98808e-03     2.35561e+03     2.35454e+03
    5.14656e-03     2.40677e+03     2.40564e+03
    5.31007e-03     2.45828e+03     2.45709e+03
    5.47878e-03     2.51011e+03     2.50886e+03
    5.65285e-03     2.56218e+03     2.56087e+03
    5.83245e-03     2.61445e+03     2.61307e+03
    6.01775e-03     2.66685e+03     2.66540e+03
    6.20895e-03     2.71933e+03     2.71780e+03
    6.40621e-03     2.77183e+03     2.77022e+03
    6.60975e-03     2.82429e+03     2.82260e+03
    6.81975e-03     2.87663e+03     2.87486e+03
    7.03642e-03     2.92876e+03     2.92690e+03
    7.25998e-03     2.98059e+03     2.97864e+03
    7.49064e-03     3.03202e+03     3.02999e+03
    7.72863e-03     3.08298e+03     3.08085e+03
    7.97417e-03     3.13336e+03     3.13113e+03
    8.22752e-03     3.18308e+03     3.18074e+03
    8.48892e-03     3.23203e+03     3.22958e+03
    8.75863e-03     3.28009e+03     3.27754e+03
    9.03690e-03     3.32714e+03     3.32447e+03
    9.32402e-03     3.37305e+03     3.37027e+03
    9.62025e-03     3.41771e+03     3.41481e+03
    9.92590e-03     3.46099e+03     3.45797e+03
    1.02413e-02     3.50276e+03     3.49961e+03
    1.05666e-02     3.54290e+03     3.53962e+03
    1.09024e-02     3.58126e+03     3.57785e+03
    1.12487e-02     3.61768e+03     3.61414e+03
    1.16061e-02     3.65201e+03     3.64833e+03
    1.19749e-02     3.68408e+03     3.68027e+03
    1.23553e-02     3.71374e+03     3.70979e+03
    1.27479e-02     3.74084e+03     3.73675e+03
    1.31529e-02     3.76521e+03     3.76098e+03
    1.35708e-02     3.78670e+03     3.78232e+03
    1.40019e-02     3.80514e+03     3.80063e+03
    1.44468e-02     3.82037e+03     3.81572e+03
    1.49058e-02     3.83224e+03     3.82745e+03
    1.53794e-02     3.84057e+03     3.83565e+03
    1.58680e-02     3.84522e+03     3.84016e+03
    1.63721e-02     3.84601e+03     3.84082e+03
    1.68923e-02     3.84280e+03     3.83749e+03
    1.74290e-02     3.83550e+03     3.83006e+03
    1.79827e-02     3.82401e+03     3.81846e+03
    1.85541e-02     3.80824e+03     3.80259e+03
    1.91436e-02     3.78810e+03     3.78235e+03
    1.97518e-02     3.76351e+03     3.75767e+03
    2.03793e-02     3.73437e+03     3.72845e+03
    2.10268e-02     3.70060e+03     3.69462e+03
    2.16949e-02     3.66226e+03     3.65622e+03
    2.23841e-02     3.61947e+03     3.61339e+03
    2.30953e-02     3.57235e+03     3.56624e+03
    2.38291e-02     3.52100e+03     3.51488e+03
    2.45862e-02     3.46555e+03     3.45944e+03
    2.53673e-02     3.40611e+03     3.40002e+03
    2.61732e-02     3.34281e+03     3.33676e+03
    2.70048e-02     3.27590e+03     3.26991e+03
    2.78628e-02     3.20579e+03     3.19989e+03
    2.87480e-02     3.13293e+03     3.12713e+03
    2.96614e-02     3.05774e+03     3.05206e+03
    3.06038e-02     2.98065e+03     2.97511e+03
    3.15761e-02     2.90211e+03     2.89673e+03
    3.25793e-02     2.82254e+03     2.81733e+03
    3.36144e-02     2.74239e+03     2.73738e+03
    3.46824e-02     2.66218e+03     2.65739e+03
    3.57843e-02     2.58246e+03     2.57790e+03
    3.69212e-02     2.50376e+03     2.49945e+03
    3.80942e-02     2.42661e+03     2.42256e+03
    3.93045e-02     2.35156e+03     2.34777e+03
    4.05533e-02     2.27913e+03     2.27562e+03
    4.18417e-02     2.20979e+03     2.20656e+03
    4.31711e-02     2.14377e+03     2.14082e+03
    4.45427e-02     2.08127e+03     2.07862e+03
    4.59579e-02     2.02249e+03     2.02013e+03
    4.74180e-02     1.96764e+03     1.96556e+03
    4.89246e-02     1.91676e+03     1.91497e+03
    5.04790e-02     1.86963e+03     1.86811e+03
    5.20827e-02     1.82598e+03     1.82473e+03
    5.37375e-02     1.78545e+03     1.78447e+03
    5.54448e-02     1.74749e+03     1.74677e+03
    5.72064e-02     1.71146e+03     1.71100e+03
    5.90239e-02     1.67658e+03     1.67639e+03
    6.08992e-02     1.64200e+03     1.64208e+03
    6.28340e-02     1.60680e+03     1.60715e+03
    6.48303e-02     1.57004e+03     1.57069e+03
    6.68901e-02     1.53085e+03     1.53182e+03
    6.90153e-02     1.48845e+03     1.48978e+03
    7.12080e-02     1.44226e+03     1.44397e+03
    7.34703e-02     1.39196e+03     1.39410e+03
    7.58046e-02     1.33754e+03     1.34016e+03
    7.82130e-02     1.27936e+03     1.28250e+03
    8.06979e-02     1.21816e+03     1.22185e+03
    8.32618e-02     1.15500e+03     1.15928e+03
    8.59072e-02     1.09125e+03     1.09615e+03
    8.86366e-02     1.02846e+03     1.03397e+03
    9.14527e-02     9.68202e+02     9.74333e+02
    9.43582e-02     9.11981e+02     9.18707e+02
    9.73561e-02     8.61034e+02     8.68319e+02
    1.00449e-01     8.16238e+02     8.24032e+02
    1.03641e-01     7.77990e+02     7.86235e+02
    1.06933e-01     7.46152e+02     7.54784e+02
    1.10331e-01     7.20020e+02     7.28980e+02
    1.13836e-01     6.98360e+02     7.07595e+02
    1.17453e-01     6.79478e+02     6.88952e+02
    1.21185e-01     6.61394e+02     6.71090e+02
    1.25035e-01     6.42087e+02     6.52015e+02
    1.29007e-01     6.19838e+02     6.30027e+02
    1.33106e-01     5.93575e+02     6.04073e+02
    1.37335e-01     5.63146e+02     5.74005e+02
    1.41698e-01     5.29411e+02     5.40677e+02
    1.46200e-01     4.94091e+02     5.05791e+02
    1.50845e-01     4.59394e+02     4.71528e+02
    1.55638e-01     4.27525e+02     4.40059e+02
    1.60583e-01     4.00175e+02     4.13048e+02
    1.65685e-01     3.78125e+02     3.91259e+02
    1.70949e-01     3.61112e+02     3.74426e+02
    1.76380e-01     3.47826e+02     3.61259e+02
    1.81984e-01     3.36349e+02     3.49865e+02
    1.87766e-01     3.24467e+02     3.38066e+02
    1.93731e-01     3.10303e+02     3.24020e+02
    1.99886e-01     2.93186e+02     3.07068e+02
    2.06237e-01     2.73929e+02     2.88016e+02
    2.12789e-01     2.54344e+02     2.68645e+02
    2.19550e-01     2.36354e+02     2.50842e+02
    2.26525e-01     2.21281e+02     2.35903e+02
    2.33722e-01     2.09469e+02     2.24160e+02
    2.41148e-01     2.00121e+02     2.14830e+02
    2.48810e-01     1.91614e+02     2.06320e+02
    2.56715e-01     1.82389e+02     1.97105e+02
    2.64871e-01     1.71777e+02     1.86531e+02
    2.73286e-01     1.60238e+02     1.75051e+02
    2.81969e-01     1.49047e+02     1.63914e+02
    2.90927e-01     1.39412e+02     1.54299e+02
    3.00171e-01     1.31580e+02     1.46444e+02
    3.09707e-01     1.24868e+02     1.39680e+02
    3.19547e-01     1.18272e+02     1.33029e+02
    3.29700e-01     1.11163e+02     1.25879e+02
    3.40175e-01     1.03811e+02     1.18493e+02
    3.50983e-01     9.69136e+01     1.11551e+02
    3.62134e-01     9.09482e+01     1.05517e+02
    3.73639e-01     8.57322e+01     1.00211e+02
    3.85510e-01     8.07362e+01     9.51197e+01
    3.97758e-01     7.56781e+01     8.99692e+01
    4.10396e-01     7.07214e+01     8.49186e+01
    4.23435e-01     6.61785e+01     8.02706e+01
    4.36888e-01     6.20958e+01     7.60695e+01
    4.50768e-01     5.82839e+01     7.21318e+01
    4.65090e-01     5.45679e+01     6.82884e+01
    4.79866e-01     5.10039e+01     6.45938e+01
    4.95112e-01     4.77144e+01     6.11659e+01
    5.10843e-01     4.46910e+01     5.79963e+01
    5.27073e-01     4.18078e+01     5.49639e+01
    5.43819e-01     3.90710e+01     5.20744e+01
    5.61097e-01     3.65143e+01     4.93603e+01
    5.78923e-01     3.41381e+01     4.68217e+01
    5.97316e-01     3.18950e+01     4.44132e+01
    6.16294e-01     2.97832e+01     4.21329e+01
    6.35875e-01     2.78133e+01     3.99910e+01
    6.56077e-01     2.59676e+01     3.79704e+01
    6.76922e-01     2.42333e+01     3.60589e+01
    6.98428e-01     2.26092e+01     3.42552e+01
    7.20618e-01     2.10912e+01     3.25553e+01
    7.43513e-01     1.96710e+01     3.09514e+01
    7.67136e-01     1.83413e+01     2.94363e+01
    7.91509e-01     1.70969e+01     2.80052e+01
    8.16656e-01     1.59330e+01     2.66535e+01
    8.42602e-01     1.48451e+01     2.53766e+01
    8.69373e-01     1.38285e+01     2.41703e+01
    8.96994e-01     1.28787e+01     2.30303e+01
    9.25493e-01     1.19914e+01     2.19523e+01
    9.54897e-01     1.11627e+01     2.09328e+01
    9.85235e-01     1.03893e+01     1.99684e+01
    1.01654e+00     9.66750e+00     1.90558e+01
    1.04883e+00     8.99399e+00     1.81918e+01
    1.08216e+00     8.36537e+00     1.73731e+01
    1.11654e+00     7.77892e+00     1.65971e+01
    1.15201e+00     7.23222e+00     1.58617e+01
    1.18861e+00     6.72286e+00     1.51644e+01
    1.22638e+00     6.24843e+00     1.45031e+01
    1.26534e+00     5.80652e+00     1.38754e+01
    1.30554e+00     5.39472e+00     1.32790e+01
    1.34702e+00     5.01084e+00     1.27119e+01
    1.38982e+00     4.65328e+00     1.21726e+01
    1.43398e+00     4.32050e+00     1.16596e+01
    1.47953e+00     4.01097e+00     1.11714e+01
    1.52654e+00     3.72318e+00     1.07068e+01
    1.57504e+00     3.45558e+00     1.02641e+01
    1.62508e+00     3.20666e+00     9.84193e+00
    1.67671e+00     2.97494e+00     9.43896e+00
    1.72999e+00     2.75935e+00     9.05414e+00
    1.78495e+00     2.55894e+00     8.68659e+00
    1.84166e+00     2.37279e+00     8.33543e+00
    1.90017e+00     2.19996e+00     7.99976e+00
    1.96054e+00     2.03950e+00     7.67871e+00
    2.02283e+00     1.89049e+00     7.37139e+00
    2.08710e+00     1.75200e+00     7.07692e+00
    2.15341e+00     1.62328e+00     6.79460e+00
    2.22183e+00     1.50375e+00     6.52387e+00
    2.29242e+00     1.39285e+00     6.26420e+00
    2.36525e+00     1.29001e+00     6.01505e+00
    2.44040e+00     1.19468e+00     5.77587e+00
    2.51793e+00     1.10628e+00     5.54613e+00
    2.59793e+00     1.02424e+00     5.32529e+00
    2.68047e+00     9.48072e-01     5.11287e+00
    2.76563e+00     8.77400e-01     4.90850e+00
    2.85350e+00     8.11891e-01     4.71187e+00
    2.94416e+00     7.51212e-01     4.52264e+00
    3.03770e+00     6.95025e-01     4.34049e+00
    3.13421e+00     6.42995e-01     4.16508e+00
    3.23379e+00     5.94785e-01     3.99610e+00
    3.33653e+00     5.50072e-01     3.83321e+00
    3.44254e+00     5.08616e-01     3.67619e+00
    3.55191e+00     4.70220e-01     3.52482e+00
    3.66476e+00     4.34687e-01     3.37891e+00
    3.78120e+00     4.01819e-01     3.23824e+00
    3.90133e+00     3.71419e-01     3.10263e+00
    4.02528e+00     3.43290e-01     2.97186e+00
    4.15317e+00     3.17235e-01     2.84574e+00
    4.28512e+00     2.93094e-01     2.72409e+00
    4.42127e+00     2.70748e-01     2.60677e+00
    4.56173e+00     2.50084e-01     2.49366e+00
    4.70667e+00     2.30987e-01     2.38463e+00
    4.85620e+00     2.13342e-01     2.27954e+00
    5.01049e+00     1.97035e-01     2.17827e+00
    5.16968e+00     1.81950e-01     2.08067e+00
    5.33393e+00     1.67983e-01     1.98663e+00
    5.50340e+00     1.55062e-01     1.89605e+00
    5.67825e+00     1.43120e-01     1.80883e+00
    5.85865e+00     1.32091e-01     1.72488e+00
    6.04479e+00     1.21910e-01     1.64411e+00
    6.23684e+00     1.12510e-01     1.56641e+00
    6.43499e+00     1.03827e-01     1.49171e+00
    6.63944e+00     9.57952e-02     1.41990e+00
    6.85039e+00     8.83675e-02     1.35090e+00
    7.06803e+00     8.15060e-02     1.28463e+00
    7.29259e+00     7.51732e-02     1.22103e+00
    7.52429e+00     6.93316e-02     1.16001e+00
    7.76335e+00     6.39436e-02     1.10149e+00
    8.01000e+00     5.89715e-02     1.04541e+00
    8.26449e+00     5.43780e-02     9.91675e-01
    8.52706e+00     5.01316e-02     9.40225e-01
    8.79798e+00     4.62102e-02     8.90989e-01
    9.07750e+00     4.25926e-02     8.43900e-01
    9.36591e+00     3.92576e-02     7.98891e-01
    9.66347e+00     3.61839e-02     7.55895e-01
    9.97050e+00     3.33504e-02     7.14844e-01
    1.02873e+01     3.07358e-02     6.75673e-01
    1.06141e+01     2.83202e-02     6.38315e-01
    1.09513e+01     2.60901e-02     6.02710e-01
    1.12993e+01     2.40336e-02     5.68798e-01
    1.16583e+01     2.21386e-02     5.36521e-01
    1.20287e+01     2.03933e-02     5.05820e-01
    1.24108e+01     1.87857e-02     4.76634e-01
