# Matter power spectra at z=3.300000.
# D(z)=0.297115, f(z)=0.983513.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     3.92750e+01     3.92750e+01
    1.03177e-04     4.04843e+01     4.04843e+01
    1.06455e-04     4.17307e+01     4.17307e+01
    1.09837e-04     4.30155e+01     4.30155e+01
    1.13327e-04     4.43397e+01     4.43398e+01
    1.16928e-04     4.57048e+01     4.57049e+01
    1.20643e-04     4.71120e+01     4.71120e+01
    1.24476e-04     4.85624e+01     4.85625e+01
    1.28430e-04     5.00574e+01     5.00574e+01
    1.32511e-04     5.15982e+01     5.15982e+01
    1.36721e-04     5.31863e+01     5.31862e+01
    1.41065e-04     5.48232e+01     5.48231e+01
    1.45546e-04     5.65105e+01     5.65103e+01
    1.50171e-04     5.82498e+01     5.82495e+01
    1.54942e-04     6.00425e+01     6.00421e+01
    1.59865e-04     6.18903e+01     6.18898e+01
    1.64944e-04     6.37947e+01     6.37942e+01
    1.70184e-04     6.57574e+01     6.57568e+01
    1.75591e-04     6.77803e+01     6.77797e+01
    1.81170e-04     6.98653e+01     6.98647e+01
    1.86926e-04     7.20145e+01     7.20138e+01
    1.92865e-04     7.42297e+01     7.42290e+01
    1.98992e-04     7.65128e+01     7.65121e+01
    2.05315e-04     7.88658e+01     7.88650e+01
    2.11838e-04     8.12907e+01     8.12899e+01
    2.18568e-04     8.37898e+01     8.37889e+01
    2.25512e-04     8.63655e+01     8.63645e+01
    2.32677e-04     8.90201e+01     8.90191e+01
    2.40070e-04     9.17561e+01     9.17551e+01
    2.47697e-04     9.45759e+01     9.45748e+01
    2.55567e-04     9.74818e+01     9.74806e+01
    2.63686e-04     1.00476e+02     1.00475e+02
    2.72064e-04     1.03562e+02     1.03561e+02
    2.80708e-04     1.06742e+02     1.06741e+02
    2.89626e-04     1.10019e+02     1.10018e+02
    2.98828e-04     1.13396e+02     1.13395e+02
    3.08322e-04     1.16876e+02     1.16875e+02
    3.18118e-04     1.20463e+02     1.20461e+02
    3.28225e-04     1.24158e+02     1.24156e+02
    3.38653e-04     1.27965e+02     1.27963e+02
    3.49413e-04     1.31887e+02     1.31885e+02
    3.60514e-04     1.35929e+02     1.35927e+02
    3.71968e-04     1.40094e+02     1.40091e+02
    3.83786e-04     1.44385e+02     1.44382e+02
    3.95979e-04     1.48805e+02     1.48802e+02
    4.08560e-04     1.53360e+02     1.53357e+02
    4.21541e-04     1.58051e+02     1.58048e+02
    4.34934e-04     1.62884e+02     1.62880e+02
    4.48752e-04     1.67862e+02     1.67858e+02
    4.63010e-04     1.72990e+02     1.72986e+02
    4.77720e-04     1.78272e+02     1.78268e+02
    4.92898e-04     1.83713e+02     1.83709e+02
    5.08558e-04     1.89316e+02     1.89312e+02
    5.24715e-04     1.95087e+02     1.95082e+02
    5.41386e-04     2.01029e+02     2.01024e+02
    5.58587e-04     2.07149e+02     2.07143e+02
    5.76334e-04     2.13450e+02     2.13444e+02
    5.94645e-04     2.19938e+02     2.19932e+02
    6.13538e-04     2.26618e+02     2.26611e+02
    6.33031e-04     2.33495e+02     2.33488e+02
    6.53143e-04     2.40574e+02     2.40567e+02
    6.73894e-04     2.47861e+02     2.47853e+02
    6.95305e-04     2.55361e+02     2.55353e+02
    7.17395e-04     2.63080e+02     2.63071e+02
    7.40188e-04     2.71023e+02     2.71014e+02
    7.63705e-04     2.79197e+02     2.79187e+02
    7.87969e-04     2.87608e+02     2.87597e+02
    8.13004e-04     2.96260e+02     2.96249e+02
    8.38834e-04     3.05160e+02     3.05148e+02
    8.65485e-04     3.14315e+02     3.14302e+02
    8.92982e-04     3.23730e+02     3.23716e+02
    9.21354e-04     3.33412e+02     3.33397e+02
    9.50626e-04     3.43367e+02     3.43352e+02
    9.80829e-04     3.53602e+02     3.53586e+02
    1.01199e-03     3.64123e+02     3.64106e+02
    1.04414e-03     3.74937e+02     3.74919e+02
    1.07732e-03     3.86051e+02     3.86031e+02
    1.11155e-03     3.97470e+02     3.97449e+02
    1.14686e-03     4.09201e+02     4.09179e+02
    1.18330e-03     4.21252e+02     4.21228e+02
    1.22089e-03     4.33628e+02     4.33603e+02
    1.25968e-03     4.46337e+02     4.46311e+02
