# Matter power spectra at z=0.100000.
# D(z)=0.949665, f(z)=0.571040.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     4.03088e+02     4.03087e+02
    1.04729e-04     4.21555e+02     4.21556e+02
    1.09682e-04     4.40865e+02     4.40868e+02
    1.14868e-04     4.61059e+02     4.61064e+02
    1.20301e-04     4.82178e+02     4.82184e+02
    1.25990e-04     5.04264e+02     5.04268e+02
    1.31948e-04     5.27358e+02     5.27355e+02
    1.38187e-04     5.51506e+02     5.51491e+02
    1.44722e-04     5.76758e+02     5.76729e+02
    1.51566e-04     6.03165e+02     6.03121e+02
    1.58734e-04     6.30780e+02     6.30721e+02
    1.66240e-04     6.59653e+02     6.59582e+02
    1.74102e-04     6.89841e+02     6.89761e+02
    1.82335e-04     7.21407e+02     7.21320e+02
    1.90957e-04     7.54414e+02     7.54321e+02
    1.99988e-04     7.88928e+02     7.88828e+02
    2.09445e-04     8.25010e+02     8.24902e+02
    2.19350e-04     8.62731e+02     8.62614e+02
    2.29723e-04     9.02169e+02     9.02041e+02
    2.40586e-04     9.43404e+02     9.43262e+02
    2.51964e-04     9.86512e+02     9.86357e+02
    2.63879e-04     1.03157e+03     1.03140e+03
    2.76358e-04     1.07867e+03     1.07849e+03
    2.89427e-04     1.12791e+03     1.12770e+03
    3.03114e-04     1.17937e+03     1.17915e+03
    3.17448e-04     1.23317e+03     1.23292e+03
    3.32460e-04     1.28938e+03     1.28912e+03
    3.48182e-04     1.34813e+03     1.34784e+03
    3.64647e-04     1.40952e+03     1.40920e+03
    3.81891e-04     1.47367e+03     1.47332e+03
    3.99951e-04     1.54071e+03     1.54032e+03
    4.18865e-04     1.61074e+03     1.61031e+03
    4.38673e-04     1.68389e+03     1.68343e+03
    4.59417e-04     1.76030e+03     1.75980e+03
    4.81143e-04     1.84012e+03     1.83957e+03
    5.03896e-04     1.92348e+03     1.92288e+03
    5.27725e-04     2.01052e+03     2.00986e+03
    5.52681e-04     2.10140e+03     2.10068e+03
    5.78818e-04     2.19628e+03     2.19549e+03
    6.06190e-04     2.29533e+03     2.29446e+03
    6.34857e-04     2.39870e+03     2.39775e+03
    6.64879e-04     2.50657e+03     2.50553e+03
    6.96321e-04     2.61912e+03     2.61798e+03
    7.29250e-04     2.73652e+03     2.73528e+03
    7.63736e-04     2.85899e+03     2.85763e+03
    7.99853e-04     2.98669e+03     2.98521e+03
    8.37678e-04     3.11984e+03     3.11821e+03
    8.77291e-04     3.25862e+03     3.25684e+03
    9.18778e-04     3.40326e+03     3.40131e+03
    9.62227e-04     3.55396e+03     3.55183e+03
    1.00773e-03     3.71094e+03     3.70862e+03
    1.05539e-03     3.87442e+03     3.87188e+03
    1.10530e-03     4.04461e+03     4.04183e+03
    1.15756e-03     4.22174e+03     4.21871e+03
    1.21231e-03     4.40603e+03     4.40271e+03
    1.26964e-03     4.59771e+03     4.59408e+03
    1.32968e-03     4.79699e+03     4.79303e+03
    1.39256e-03     5.00410e+03     4.99977e+03
    1.45841e-03     5.21926e+03     5.21453e+03
    1.52738e-03     5.44269e+03     5.43753e+03
    1.59961e-03     5.67460e+03     5.66897e+03
    1.67525e-03     5.91523e+03     5.90908e+03
    1.75447e-03     6.16475e+03     6.15804e+03
    1.83744e-03     6.42336e+03     6.41604e+03
    1.92434e-03     6.69123e+03     6.68325e+03
    2.01534e-03     6.96854e+03     6.95983e+03
    2.11064e-03     7.25547e+03     7.24597e+03
    2.21045e-03     7.55213e+03     7.54178e+03
    2.31499e-03     7.85863e+03     7.84735e+03
    2.42446e-03     8.17505e+03     8.16277e+03
    2.53911e-03     8.50148e+03     8.48811e+03
    2.65919e-03     8.83800e+03     8.82345e+03
    2.78494e-03     9.18462e+03     9.16879e+03
    2.91664e-03     9.54127e+03     9.52405e+03
    3.05457e-03     9.90788e+03     9.88916e+03
    3.19902e-03     1.02844e+04     1.02640e+04
    3.35030e-03     1.06707e+04     1.06486e+04
    3.50873e-03     1.10666e+04     1.10426e+04
    3.67466e-03     1.14718e+04     1.14458e+04
    3.84844e-03     1.18860e+04     1.18578e+04
    4.03043e-03     1.23088e+04     1.22782e+04
    4.22103e-03     1.27399e+04     1.27067e+04
    4.42064e-03     1.31788e+04     1.31429e+04
    4.62969e-03     1.36248e+04     1.35859e+04
    4.84863e-03     1.40772e+04     1.40351e+04
    5.07792e-03     1.45353e+04     1.44899e+04
    5.31805e-03     1.49985e+04     1.49494e+04
    5.56954e-03     1.54658e+04     1.54128e+04
    5.83292e-03     1.59360e+04     1.58789e+04
    6.10876e-03     1.64080e+04     1.63464e+04
    6.39764e-03     1.68806e+04     1.68143e+04
    6.70019e-03     1.73527e+04     1.72813e+04
    7.01704e-03     1.78226e+04     1.77459e+04
    7.34887e-03     1.82886e+04     1.82062e+04
    7.69640e-03     1.87490e+04     1.86606e+04
    8.06036e-03     1.92019e+04     1.91072e+04
    8.44153e-03     1.96456e+04     1.95442e+04
    8.84073e-03     2.00778e+04     1.99693e+04
    9.25881e-03     2.04961e+04     2.03803e+04
    9.69666e-03     2.08981e+04     2.07745e+04
    1.01552e-02     2.12813e+04     2.11496e+04
    1.06354e-02     2.16432e+04     2.15031e+04
    1.11384e-02     2.19809e+04     2.18321e+04
    1.16651e-02     2.22915e+04     2.21336e+04
    1.22168e-02     2.25716e+04     2.24045e+04
    1.27945e-02     2.28183e+04     2.26416e+04
    1.33996e-02     2.30285e+04     2.28420e+04
    1.40332e-02     2.31990e+04     2.30026e+04
    1.46968e-02     2.33266e+04     2.31202e+04
    1.53919e-02     2.34083e+04     2.31919e+04
    1.61197e-02     2.34408e+04     2.32144e+04
    1.68820e-02     2.34211e+04     2.31849e+04
    1.76804e-02     2.33471e+04     2.31012e+04
    1.85165e-02     2.32168e+04     2.29617e+04
    1.93921e-02     2.30286e+04     2.27647e+04
    2.03092e-02     2.27806e+04     2.25084e+04
    2.12696e-02     2.24713e+04     2.21917e+04
    2.22754e-02     2.21018e+04     2.18155e+04
    2.33288e-02     2.16744e+04     2.13824e+04
    2.44320e-02     2.11914e+04     2.08948e+04
    2.55874e-02     2.06550e+04     2.03551e+04
    2.67975e-02     2.00681e+04     1.97662e+04
    2.80647e-02     1.94374e+04     1.91350e+04
    2.93919e-02     1.87713e+04     1.84697e+04
    3.07818e-02     1.80784e+04     1.77790e+04
    3.22375e-02     1.73670e+04     1.70714e+04
    3.37620e-02     1.66459e+04     1.63554e+04
    3.53586e-02     1.59251e+04     1.56409e+04
    3.70307e-02     1.52151e+04     1.49383e+04
    3.87819e-02     1.45264e+04     1.42578e+04
    4.06159e-02     1.38696e+04     1.36097e+04
    4.25366e-02     1.32537e+04     1.30029e+04
    4.45481e-02     1.26834e+04     1.24417e+04
    4.66548e-02     1.21626e+04     1.19299e+04
    4.88611e-02     1.16945e+04     1.14703e+04
    5.11717e-02     1.12764e+04     1.10602e+04
    5.35916e-02     1.09025e+04     1.06939e+04
    5.61260e-02     1.05633e+04     1.03620e+04
    5.87802e-02     1.02458e+04     1.00520e+04
    6.15599e-02     9.93430e+03     9.74866e+03
    6.44710e-02     9.60976e+03     9.43394e+03
    6.75198e-02     9.25472e+03     9.09118e+03
    7.07128e-02     8.85491e+03     8.70691e+03
    7.40568e-02     8.40166e+03     8.27308e+03
    7.75590e-02     7.89440e+03     7.78939e+03
    8.12267e-02     7.34450e+03     7.26684e+03
    8.50679e-02     6.77253e+03     6.72516e+03
    8.90908e-02     6.20672e+03     6.19117e+03
    9.33039e-02     5.67802e+03     5.69402e+03
    9.77162e-02     5.21354e+03     5.25902e+03
    1.02337e-01     4.83119e+03     4.90258e+03
    1.07177e-01     4.53494e+03     4.62790e+03
    1.12245e-01     4.31292e+03     4.42339e+03
    1.17553e-01     4.13826e+03     4.26359e+03
    1.23112e-01     3.97320e+03     4.11305e+03
    1.28934e-01     3.78035e+03     3.93676e+03
    1.35031e-01     3.53562e+03     3.71223e+03
    1.41417e-01     3.24001e+03     3.44051e+03
    1.48105e-01     2.92255e+03     3.14894e+03
    1.55108e-01     2.62559e+03     2.87696e+03
    1.62444e-01     2.38570e+03     2.65815e+03
    1.70125e-01     2.21512e+03     2.50325e+03
    1.78171e-01     2.09672e+03     2.39609e+03
    1.86596e-01     1.99275e+03     2.30190e+03
    1.95420e-01     1.86406e+03     2.18475e+03
    2.04662e-01     1.69894e+03     2.03409e+03
    2.14340e-01     1.52342e+03     1.87404e+03
    2.24476e-01     1.37325e+03     1.73710e+03
    2.35092e-01     1.26511e+03     1.63792e+03
    2.46209e-01     1.18534e+03     1.56385e+03
    2.57852e-01     1.10296e+03     1.48709e+03
    2.70046e-01     1.00362e+03     1.39508e+03
    2.82817e-01     9.02277e+02     1.30131e+03
    2.96191e-01     8.21153e+02     1.22524e+03
    3.10198e-01     7.59020e+02     1.16546e+03
    3.24867e-01     6.98343e+02     1.10673e+03
    3.40230e-01     6.32467e+02     1.04351e+03
    3.56319e-01     5.72356e+02     9.85188e+02
    3.73170e-01     5.23742e+02     9.36401e+02
    3.90817e-01     4.78630e+02     8.90433e+02
    4.09298e-01     4.33525e+02     8.44500e+02
    4.28654e-01     3.93303e+02     8.02527e+02
    4.48925e-01     3.58210e+02     7.64612e+02
    4.70155e-01     3.24896e+02     7.28140e+02
    4.92388e-01     2.94204e+02     6.93753e+02
    5.15673e-01     2.67021e+02     6.62060e+02
    5.40059e-01     2.41742e+02     6.31868e+02
    5.65599e-01     2.18748e+02     6.03427e+02
    5.92346e-01     1.97970e+02     5.76657e+02
    6.20358e-01     1.78926e+02     5.51209e+02
    6.49694e-01     1.61707e+02     5.27116e+02
    6.80418e-01     1.46021e+02     5.04169e+02
    7.12595e-01     1.31787e+02     4.82296e+02
    7.46294e-01     1.18892e+02     4.61407e+02
    7.81586e-01     1.07199e+02     4.41404e+02
    8.18547e-01     9.66024e+01     4.22212e+02
    8.57256e-01     8.70092e+01     4.03764e+02
    8.97795e-01     7.83315e+01     3.86002e+02
    9.40252e-01     7.04843e+01     3.68871e+02
    9.84716e-01     6.33947e+01     3.52327e+02
    1.03128e+00     5.69942e+01     3.36331e+02
    1.08005e+00     5.12148e+01     3.20846e+02
    1.13113e+00     4.59986e+01     3.05842e+02
    1.18462e+00     4.12976e+01     2.91300e+02
    1.24064e+00     3.70645e+01     2.77202e+02
    1.29931e+00     3.32521e+01     2.63528e+02
    1.36075e+00     2.98158e+01     2.50262e+02
    1.42510e+00     2.67230e+01     2.37396e+02
    1.49250e+00     2.39435e+01     2.24928e+02
    1.56308e+00     2.14474e+01     2.12852e+02
    1.63699e+00     1.92047e+01     2.01163e+02
    1.71441e+00     1.71875e+01     1.89860e+02
    1.79548e+00     1.53761e+01     1.78941e+02
    1.88039e+00     1.37519e+01     1.68411e+02
    1.96931e+00     1.22965e+01     1.58271e+02
    2.06244e+00     1.09916e+01     1.48522e+02
    2.15997e+00     9.82027e+00     1.39167e+02
    2.26212e+00     8.77049e+00     1.30206e+02
    2.36909e+00     7.83116e+00     1.21638e+02
    2.48113e+00     6.99117e+00     1.13465e+02
    2.59846e+00     6.23942e+00     1.05685e+02
    2.72134e+00     5.56581e+00     9.82983e+01
    2.85003e+00     4.96319e+00     9.12980e+01
    2.98481e+00     4.42497e+00     8.46770e+01
    3.12596e+00     3.94456e+00     7.84284e+01
    3.27379e+00     3.51537e+00     7.25449e+01
    3.42860e+00     3.13143e+00     6.70183e+01
    3.59074e+00     2.78854e+00     6.18363e+01
    3.76055e+00     2.48282e+00     5.69862e+01
    3.93838e+00     2.21039e+00     5.24550e+01
