# Matter power spectra at z=0.500000.
# D(z)=0.773202, f(z)=0.749090.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.67083e+02     2.67082e+02
    1.03177e-04     2.75306e+02     2.75306e+02
    1.06455e-04     2.83781e+02     2.83781e+02
    1.09837e-04     2.92516e+02     2.92518e+02
    1.13327e-04     3.01520e+02     3.01523e+02
    1.16928e-04     3.10802e+02     3.10805e+02
    1.20643e-04     3.20369e+02     3.20372e+02
    1.24476e-04     3.30231e+02     3.30233e+02
    1.28430e-04     3.40395e+02     3.40396e+02
    1.32511e-04     3.50871e+02     3.50869e+02
    1.36721e-04     3.61668e+02     3.61663e+02
    1.41065e-04     3.72797e+02     3.72787e+02
    1.45546e-04     3.84268e+02     3.84254e+02
    1.50171e-04     3.96092e+02     3.96073e+02
    1.54942e-04     4.08279e+02     4.08256e+02
    1.59865e-04     4.20841e+02     4.20813e+02
    1.64944e-04     4.33786e+02     4.33755e+02
    1.70184e-04     4.47128e+02     4.47094e+02
    1.75591e-04     4.60879e+02     4.60842e+02
    1.81170e-04     4.75052e+02     4.75013e+02
    1.86926e-04     4.89660e+02     4.89619e+02
    1.92865e-04     5.04716e+02     5.04673e+02
    1.98992e-04     5.20234e+02     5.20189e+02
    2.05315e-04     5.36226e+02     5.36179e+02
    2.11838e-04     5.52706e+02     5.52656e+02
    2.18568e-04     5.69689e+02     5.69636e+02
    2.25512e-04     5.87193e+02     5.87136e+02
    2.32677e-04     6.05232e+02     6.05172e+02
    2.40070e-04     6.23823e+02     6.23759e+02
    2.47697e-04     6.42982e+02     6.42914e+02
    2.55567e-04     6.62726e+02     6.62653e+02
    2.63686e-04     6.83070e+02     6.82992e+02
    2.72064e-04     7.04033e+02     7.03950e+02
    2.80708e-04     7.25634e+02     7.25547e+02
    2.89626e-04     7.47895e+02     7.47801e+02
    2.98828e-04     7.70833e+02     7.70734e+02
    3.08322e-04     7.94469e+02     7.94364e+02
    3.18118e-04     8.18823e+02     8.18711e+02
    3.28225e-04     8.43915e+02     8.43796e+02
    3.38653e-04     8.69765e+02     8.69638e+02
    3.49413e-04     8.96398e+02     8.96263e+02
    3.60514e-04     9.23837e+02     9.23694e+02
    3.71968e-04     9.52107e+02     9.51955e+02
    3.83786e-04     9.81231e+02     9.81070e+02
    3.95979e-04     1.01123e+03     1.01106e+03
    4.08560e-04     1.04214e+03     1.04196e+03
    4.21541e-04     1.07397e+03     1.07378e+03
    4.34934e-04     1.10676e+03     1.10655e+03
    4.48752e-04     1.14053e+03     1.14031e+03
    4.63010e-04     1.17532e+03     1.17508e+03
    4.77720e-04     1.21114e+03     1.21089e+03
    4.92898e-04     1.24804e+03     1.24777e+03
    5.08558e-04     1.28603e+03     1.28575e+03
    5.24715e-04     1.32515e+03     1.32486e+03
    5.41386e-04     1.36543e+03     1.36512e+03
    5.58587e-04     1.40691e+03     1.40657e+03
    5.76334e-04     1.44961e+03     1.44925e+03
    5.94645e-04     1.49357e+03     1.49319e+03
    6.13538e-04     1.53883e+03     1.53843e+03
