# Matter power spectra at z=3.400000.
# D(z)=0.290469, f(z)=0.984514.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     3.75318e+01     3.75318e+01
    1.03177e-04     3.86874e+01     3.86874e+01
    1.06455e-04     3.98786e+01     3.98786e+01
    1.09837e-04     4.11063e+01     4.11063e+01
    1.13327e-04     4.23718e+01     4.23718e+01
    1.16928e-04     4.36763e+01     4.36763e+01
    1.20643e-04     4.50210e+01     4.50210e+01
    1.24476e-04     4.64070e+01     4.64071e+01
    1.28430e-04     4.78357e+01     4.78357e+01
    1.32511e-04     4.93081e+01     4.93081e+01
    1.36721e-04     5.08257e+01     5.08257e+01
    1.41065e-04     5.23900e+01     5.23899e+01
    1.45546e-04     5.40024e+01     5.40022e+01
    1.50171e-04     5.56645e+01     5.56642e+01
    1.54942e-04     5.73777e+01     5.73773e+01
    1.59865e-04     5.91434e+01     5.91430e+01
    1.64944e-04     6.09633e+01     6.09629e+01
    1.70184e-04     6.28389e+01     6.28384e+01
    1.75591e-04     6.47721e+01     6.47715e+01
    1.81170e-04     6.67646e+01     6.67640e+01
    1.86926e-04     6.88184e+01     6.88178e+01
    1.92865e-04     7.09353e+01     7.09347e+01
    1.98992e-04     7.31171e+01     7.31164e+01
    2.05315e-04     7.53657e+01     7.53650e+01
    2.11838e-04     7.76830e+01     7.76823e+01
    2.18568e-04     8.00712e+01     8.00704e+01
    2.25512e-04     8.25326e+01     8.25318e+01
    2.32677e-04     8.50695e+01     8.50686e+01
    2.40070e-04     8.76841e+01     8.76832e+01
    2.47697e-04     9.03788e+01     9.03778e+01
    2.55567e-04     9.31558e+01     9.31547e+01
    2.63686e-04     9.60174e+01     9.60163e+01
    2.72064e-04     9.89663e+01     9.89651e+01
    2.80708e-04     1.02005e+02     1.02004e+02
    2.89626e-04     1.05137e+02     1.05136e+02
    2.98828e-04     1.08364e+02     1.08363e+02
    3.08322e-04     1.11690e+02     1.11689e+02
    3.18118e-04     1.15117e+02     1.15116e+02
    3.28225e-04     1.18648e+02     1.18647e+02
    3.38653e-04     1.22287e+02     1.22285e+02
    3.49413e-04     1.26035e+02     1.26033e+02
    3.60514e-04     1.29898e+02     1.29896e+02
    3.71968e-04     1.33878e+02     1.33876e+02
    3.83786e-04     1.37978e+02     1.37976e+02
    3.95979e-04     1.42203e+02     1.42201e+02
    4.08560e-04     1.46555e+02     1.46553e+02
    4.21541e-04     1.51039e+02     1.51036e+02
    4.34934e-04     1.55657e+02     1.55654e+02
    4.48752e-04     1.60415e+02     1.60412e+02
    4.63010e-04     1.65316e+02     1.65312e+02
    4.77720e-04     1.70364e+02     1.70360e+02
    4.92898e-04     1.75563e+02     1.75560e+02
    5.08558e-04     1.80919e+02     1.80915e+02
    5.24715e-04     1.86434e+02     1.86429e+02
    5.41386e-04     1.92113e+02     1.92108e+02
    5.58587e-04     1.97961e+02     1.97956e+02
