# Matter power spectra at z=0.000000.
# D(z)=1.000000, f(z)=0.512776.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     4.46993e+02     4.46992e+02
    1.04729e-04     4.67471e+02     4.67472e+02
    1.09682e-04     4.88884e+02     4.88889e+02
    1.14868e-04     5.11278e+02     5.11285e+02
    1.20301e-04     5.34697e+02     5.34705e+02
    1.25990e-04     5.59189e+02     5.59193e+02
    1.31948e-04     5.84798e+02     5.84794e+02
    1.38187e-04     6.11576e+02     6.11558e+02
    1.44722e-04     6.39578e+02     6.39542e+02
    1.51566e-04     6.68861e+02     6.68808e+02
    1.58734e-04     6.99483e+02     6.99412e+02
    1.66240e-04     7.31500e+02     7.31415e+02
    1.74102e-04     7.64976e+02     7.64879e+02
    1.82335e-04     7.99979e+02     7.99874e+02
    1.90957e-04     8.36581e+02     8.36469e+02
    1.99988e-04     8.74853e+02     8.74732e+02
    2.09445e-04     9.14864e+02     9.14733e+02
    2.19350e-04     9.56692e+02     9.56551e+02
    2.29723e-04     1.00043e+03     1.00027e+03
    2.40586e-04     1.04615e+03     1.04598e+03
    2.51964e-04     1.09395e+03     1.09376e+03
    2.63879e-04     1.14392e+03     1.14371e+03
    2.76358e-04     1.19615e+03     1.19592e+03
    2.89427e-04     1.25074e+03     1.25049e+03
    3.03114e-04     1.30781e+03     1.30754e+03
    3.17448e-04     1.36746e+03     1.36716e+03
    3.32460e-04     1.42979e+03     1.42947e+03
    3.48182e-04     1.49493e+03     1.49458e+03
    3.64647e-04     1.56301e+03     1.56262e+03
    3.81891e-04     1.63414e+03     1.63372e+03
    3.99951e-04     1.70847e+03     1.70800e+03
    4.18865e-04     1.78612e+03     1.78561e+03
    4.38673e-04     1.86723e+03     1.86667e+03
    4.59417e-04     1.95196e+03     1.95135e+03
    4.81143e-04     2.04046e+03     2.03979e+03
    5.03896e-04     2.13289e+03     2.13216e+03
    5.27725e-04     2.22941e+03     2.22861e+03
    5.52681e-04     2.33017e+03     2.32930e+03
    5.78818e-04     2.43537e+03     2.43441e+03
    6.06190e-04     2.54519e+03     2.54414e+03
    6.34857e-04     2.65981e+03     2.65866e+03
    6.64879e-04     2.77942e+03     2.77816e+03
    6.96321e-04     2.90420e+03     2.90283e+03
    7.29250e-04     3.03438e+03     3.03288e+03
    7.63736e-04     3.17017e+03     3.16852e+03
    7.99853e-04     3.31177e+03     3.30996e+03
    8.37678e-04     3.45939e+03     3.45742e+03
    8.77291e-04     3.61328e+03     3.61112e+03
    9.18778e-04     3.77365e+03     3.77129e+03
    9.62227e-04     3.94074e+03     3.93817e+03
    1.00773e-03     4.11481e+03     4.11199e+03
    1.05539e-03     4.29607e+03     4.29299e+03
    1.10530e-03     4.48478e+03     4.48141e+03
    1.15756e-03     4.68118e+03     4.67750e+03
    1.21231e-03     4.88552e+03     4.88150e+03
    1.26964e-03     5.09805e+03     5.09366e+03
    1.32968e-03     5.31902e+03     5.31421e+03
    1.39256e-03     5.54866e+03     5.54342e+03
    1.45841e-03     5.78723e+03     5.78150e+03
    1.52738e-03     6.03497e+03     6.02871e+03
    1.59961e-03     6.29212e+03     6.28529e+03
    1.67525e-03     6.55892e+03     6.55147e+03
    1.75447e-03     6.83560e+03     6.82746e+03
    1.83744e-03     7.12235e+03     7.11347e+03
    1.92434e-03     7.41936e+03     7.40968e+03
    2.01534e-03     7.72684e+03     7.71629e+03
    2.11064e-03     8.04499e+03     8.03348e+03
    2.21045e-03     8.37393e+03     8.36139e+03
    2.31499e-03     8.71378e+03     8.70011e+03
    2.42446e-03     9.06462e+03     9.04974e+03
    2.53911e-03     9.42657e+03     9.41037e+03
    2.65919e-03     9.79972e+03     9.78208e+03
    2.78494e-03     1.01841e+04     1.01649e+04
    2.91664e-03     1.05795e+04     1.05586e+04
    3.05457e-03     1.09860e+04     1.09633e+04
    3.19902e-03     1.14035e+04     1.13788e+04
    3.35030e-03     1.18318e+04     1.18050e+04
    3.50873e-03     1.22709e+04     1.22418e+04
    3.67466e-03     1.27201e+04     1.26886e+04
    3.84844e-03     1.31794e+04     1.31451e+04
    4.03043e-03     1.36482e+04     1.36111e+04
    4.22103e-03     1.41262e+04     1.40860e+04
    4.42064e-03     1.46129e+04     1.45693e+04
    4.62969e-03     1.51074e+04     1.50602e+04
    4.84863e-03     1.56090e+04     1.55580e+04
    5.07792e-03     1.61170e+04     1.60618e+04
    5.31805e-03     1.66306e+04     1.65710e+04
    5.56954e-03     1.71487e+04     1.70844e+04
    5.83292e-03     1.76701e+04     1.76007e+04
    6.10876e-03     1.81934e+04     1.81187e+04
    6.39764e-03     1.87174e+04     1.86369e+04
    6.70019e-03     1.92408e+04     1.91542e+04
    7.01704e-03     1.97619e+04     1.96688e+04
    7.34887e-03     2.02786e+04     2.01787e+04
    7.69640e-03     2.07891e+04     2.06819e+04
    8.06036e-03     2.12913e+04     2.11765e+04
    8.44153e-03     2.17833e+04     2.16603e+04
    8.84073e-03     2.22625e+04     2.21310e+04
    9.25881e-03     2.27264e+04     2.25859e+04
    9.69666e-03     2.31721e+04     2.30223e+04
    1.01552e-02     2.35969e+04     2.34374e+04
    1.06354e-02     2.39982e+04     2.38285e+04
    1.11384e-02     2.43728e+04     2.41925e+04
    1.16651e-02     2.47171e+04     2.45259e+04
    1.22168e-02     2.50277e+04     2.48254e+04
    1.27945e-02     2.53013e+04     2.50875e+04
    1.33996e-02     2.55343e+04     2.53088e+04
    1.40332e-02     2.57233e+04     2.54859e+04
    1.46968e-02     2.58648e+04     2.56155e+04
    1.53919e-02     2.59554e+04     2.56940e+04
    1.61197e-02     2.59914e+04     2.57182e+04
    1.68820e-02     2.59697e+04     2.56848e+04
    1.76804e-02     2.58876e+04     2.55913e+04
    1.85165e-02     2.57432e+04     2.54359e+04
    1.93921e-02     2.55346e+04     2.52169e+04
    2.03092e-02     2.52596e+04     2.49323e+04
    2.12696e-02     2.49167e+04     2.45806e+04
    2.22754e-02     2.45070e+04     2.41631e+04
    2.33288e-02     2.40330e+04     2.36826e+04
    2.44320e-02     2.34974e+04     2.31417e+04
    2.55874e-02     2.29027e+04     2.25432e+04
    2.67975e-02     2.22519e+04     2.18903e+04
    2.80647e-02     2.15525e+04     2.11904e+04
    2.93919e-02     2.08139e+04     2.04530e+04
    3.07818e-02     2.00456e+04     1.96874e+04
    3.22375e-02     1.92568e+04     1.89031e+04
    3.37620e-02     1.84572e+04     1.81097e+04
    3.53586e-02     1.76580e+04     1.73180e+04
    3.70307e-02     1.68707e+04     1.65395e+04
    3.87819e-02     1.61071e+04     1.57855e+04
    4.06159e-02     1.53788e+04     1.50676e+04
    4.25366e-02     1.46959e+04     1.43955e+04
    4.45481e-02     1.40635e+04     1.37742e+04
    4.66548e-02     1.34861e+04     1.32076e+04
    4.88611e-02     1.29670e+04     1.26991e+04
    5.11717e-02     1.25034e+04     1.22456e+04
    5.35916e-02     1.20889e+04     1.18410e+04
    5.61260e-02     1.17128e+04     1.14747e+04
    5.87802e-02     1.13608e+04     1.11330e+04
    6.15599e-02     1.10153e+04     1.07990e+04
    6.44710e-02     1.06554e+04     1.04524e+04
    6.75198e-02     1.02618e+04     1.00750e+04
    7.07128e-02     9.81844e+03     9.65151e+03
    7.40568e-02     9.31585e+03     9.17285e+03
    7.75590e-02     8.75344e+03     8.63863e+03
