# Matter power spectra at z=2.200000.
# D(z)=0.396250, f(z)=0.962560.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     6.99744e+01     6.99743e+01
    1.04729e-04     7.31804e+01     7.31804e+01
    1.09682e-04     7.65329e+01     7.65330e+01
    1.14868e-04     8.00390e+01     8.00392e+01
    1.20301e-04     8.37058e+01     8.37060e+01
    1.25990e-04     8.75405e+01     8.75406e+01
    1.31948e-04     9.15503e+01     9.15502e+01
    1.38187e-04     9.57431e+01     9.57427e+01
    1.44722e-04     1.00128e+02     1.00127e+02
    1.51566e-04     1.04713e+02     1.04712e+02
    1.58734e-04     1.09508e+02     1.09507e+02
    1.66240e-04     1.14522e+02     1.14520e+02
    1.74102e-04     1.19765e+02     1.19762e+02
    1.82335e-04     1.25246e+02     1.25244e+02
    1.90957e-04     1.30979e+02     1.30976e+02
    1.99988e-04     1.36973e+02     1.36970e+02
    2.09445e-04     1.43240e+02     1.43237e+02
    2.19350e-04     1.49792e+02     1.49789e+02
    2.29723e-04     1.56643e+02     1.56639e+02
    2.40586e-04     1.63806e+02     1.63802e+02
    2.51964e-04     1.71295e+02     1.71291e+02
    2.63879e-04     1.79124e+02     1.79119e+02
    2.76358e-04     1.87308e+02     1.87303e+02
    2.89427e-04     1.95863e+02     1.95858e+02
    3.03114e-04     2.04807e+02     2.04801e+02
    3.17448e-04     2.14156e+02     2.14149e+02
    3.32460e-04     2.23928e+02     2.23920e+02
    3.48182e-04     2.34140e+02     2.34131e+02
    3.64647e-04     2.44813e+02     2.44804e+02
    3.81891e-04     2.55967e+02     2.55957e+02
    3.99951e-04     2.67624e+02     2.67613e+02
    4.18865e-04     2.79803e+02     2.79791e+02
    4.38673e-04     2.92527e+02     2.92514e+02
    4.59417e-04     3.05820e+02     3.05806e+02
    4.81143e-04     3.19707e+02     3.19692e+02
    5.03896e-04     3.34213e+02     3.34196e+02
    5.27725e-04     3.49362e+02     3.49343e+02
    5.52681e-04     3.65180e+02     3.65160e+02
    5.78818e-04     3.81697e+02     3.81675e+02
    6.06190e-04     3.98942e+02     3.98918e+02
    6.34857e-04     4.16943e+02     4.16916e+02
    6.64879e-04     4.35729e+02     4.35700e+02
    6.96321e-04     4.55331e+02     4.55299e+02
    7.29250e-04     4.75782e+02     4.75747e+02
    7.63736e-04     4.97116e+02     4.97078e+02
    7.99853e-04     5.19365e+02     5.19323e+02
    8.37678e-04     5.42563e+02     5.42517e+02
    8.77291e-04     5.66744e+02     5.66694e+02
    9.18778e-04     5.91945e+02     5.91890e+02
    9.62227e-04     6.18203e+02     6.18144e+02
    1.00773e-03     6.45556e+02     6.45490e+02
    1.05539e-03     6.74039e+02     6.73967e+02
    1.10530e-03     7.03690e+02     7.03612e+02
    1.15756e-03     7.34549e+02     7.34464e+02
    1.21231e-03     7.66654e+02     7.66561e+02
    1.26964e-03     8.00044e+02     7.99942e+02
    1.32968e-03     8.34756e+02     8.34645e+02
    1.39256e-03     8.70831e+02     8.70709e+02
    1.45841e-03     9.08306e+02     9.08173e+02
    1.52738e-03     9.47220e+02     9.47075e+02
    1.59961e-03     9.87611e+02     9.87453e+02
    1.67525e-03     1.02952e+03     1.02935e+03
    1.75447e-03     1.07297e+03     1.07279e+03
    1.83744e-03     1.11801e+03     1.11781e+03
    1.92434e-03     1.16466e+03     1.16444e+03
    2.01534e-03     1.21295e+03     1.21271e+03
    2.11064e-03     1.26292e+03     1.26266e+03
    2.21045e-03     1.31458e+03     1.31429e+03
    2.31499e-03     1.36796e+03     1.36764e+03
    2.42446e-03     1.42306e+03     1.42271e+03
    2.53911e-03     1.47990e+03     1.47953e+03
    2.65919e-03     1.53850e+03     1.53809e+03
    2.78494e-03     1.59886e+03     1.59842e+03
    2.91664e-03     1.66096e+03     1.66048e+03
    3.05457e-03     1.72480e+03     1.72428e+03
    3.19902e-03     1.79036e+03     1.78979e+03
    3.35030e-03     1.85763e+03     1.85701e+03
    3.50873e-03     1.92656e+03     1.92589e+03
    3.67466e-03     1.99712e+03     1.99639e+03
    3.84844e-03     2.06923e+03     2.06845e+03
    4.03043e-03     2.14285e+03     2.14200e+03
    4.22103e-03     2.21792e+03     2.21700e+03
    4.42064e-03     2.29434e+03     2.29334e+03
    4.62969e-03     2.37200e+03     2.37092e+03
    4.84863e-03     2.45077e+03     2.44961e+03
    5.07792e-03     2.53055e+03     2.52929e+03
    5.31805e-03     2.61120e+03     2.60984e+03
    5.56954e-03     2.69255e+03     2.69109e+03
    5.83292e-03     2.77442e+03     2.77285e+03
    6.10876e-03     2.85660e+03     2.85490e+03
    6.39764e-03     2.93889e+03     2.93707e+03
    6.70019e-03     3.02109e+03     3.01913e+03
    7.01704e-03     3.10292e+03     3.10082e+03
    7.34887e-03     3.18408e+03     3.18182e+03
    7.69640e-03     3.26425e+03     3.26183e+03
    8.06036e-03     3.34312e+03     3.34053e+03
    8.44153e-03     3.42037e+03     3.41760e+03
    8.84073e-03     3.49561e+03     3.49266e+03
    9.25881e-03     3.56843e+03     3.56528e+03
    9.69666e-03     3.63840e+03     3.63505e+03
    1.01552e-02     3.70509e+03     3.70154e+03
    1.06354e-02     3.76809e+03     3.76431e+03
    1.11384e-02     3.82688e+03     3.82289e+03
    1.16651e-02     3.88094e+03     3.87671e+03
    1.22168e-02     3.92972e+03     3.92526e+03
    1.27945e-02     3.97269e+03     3.96799e+03
    1.33996e-02     4.00930e+03     4.00436e+03
    1.40332e-02     4.03901e+03     4.03383e+03
    1.46968e-02     4.06127e+03     4.05586e+03
