# Matter power spectra at z=1.000000.
# D(z)=0.611857, f(z)=0.869012.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     1.67136e+02     1.67136e+02
    1.03177e-04     1.72282e+02     1.72282e+02
    1.06455e-04     1.77586e+02     1.77586e+02
    1.09837e-04     1.83052e+02     1.83053e+02
    1.13327e-04     1.88687e+02     1.88688e+02
    1.16928e-04     1.94496e+02     1.94497e+02
    1.20643e-04     2.00483e+02     2.00484e+02
    1.24476e-04     2.06655e+02     2.06656e+02
    1.28430e-04     2.13016e+02     2.13016e+02
    1.32511e-04     2.19572e+02     2.19571e+02
    1.36721e-04     2.26329e+02     2.26327e+02
    1.41065e-04     2.33293e+02     2.33290e+02
    1.45546e-04     2.40472e+02     2.40467e+02
    1.50171e-04     2.47872e+02     2.47865e+02
    1.54942e-04     2.55499e+02     2.55490e+02
    1.59865e-04     2.63360e+02     2.63350e+02
    1.64944e-04     2.71462e+02     2.71450e+02
    1.70184e-04     2.79812e+02     2.79799e+02
    1.75591e-04     2.88418e+02     2.88404e+02
    1.81170e-04     2.97288e+02     2.97273e+02
    1.86926e-04     3.06431e+02     3.06415e+02
    1.92865e-04     3.15854e+02     3.15837e+02
    1.98992e-04     3.25566e+02     3.25548e+02
    2.05315e-04     3.35575e+02     3.35556e+02
    2.11838e-04     3.45889e+02     3.45870e+02
    2.18568e-04     3.56519e+02     3.56498e+02
    2.25512e-04     3.67474e+02     3.67452e+02
    2.32677e-04     3.78765e+02     3.78741e+02
    2.40070e-04     3.90401e+02     3.90376e+02
    2.47697e-04     4.02393e+02     4.02366e+02
    2.55567e-04     4.14750e+02     4.14722e+02
    2.63686e-04     4.27484e+02     4.27454e+02
    2.72064e-04     4.40606e+02     4.40573e+02
    2.80708e-04     4.54127e+02     4.54093e+02
    2.89626e-04     4.68061e+02     4.68024e+02
    2.98828e-04     4.82419e+02     4.82380e+02
    3.08322e-04     4.97215e+02     4.97173e+02
    3.18118e-04     5.12460e+02     5.12416e+02
    3.28225e-04     5.28167e+02     5.28120e+02
    3.38653e-04     5.44349e+02     5.44300e+02
    3.49413e-04     5.61022e+02     5.60969e+02
    3.60514e-04     5.78199e+02     5.78144e+02
    3.71968e-04     5.95897e+02     5.95838e+02
    3.83786e-04     6.14131e+02     6.14068e+02
    3.95979e-04     6.32915e+02     6.32847e+02
    4.08560e-04     6.52264e+02     6.52192e+02
    4.21541e-04     6.72194e+02     6.72118e+02
    4.34934e-04     6.92723e+02     6.92642e+02
    4.48752e-04     7.13868e+02     7.13782e+02
    4.63010e-04     7.35647e+02     7.35556e+02
    4.77720e-04     7.58079e+02     7.57982e+02
    4.92898e-04     7.81182e+02     7.81079e+02
    5.08558e-04     8.04973e+02     8.04863e+02
    5.24715e-04     8.29471e+02     8.29354e+02
    5.41386e-04     8.54695e+02     8.54571e+02
    5.58587e-04     8.80667e+02     8.80536e+02
    5.76334e-04     9.07409e+02     9.07268e+02
    5.94645e-04     9.34940e+02     9.34791e+02
    6.13538e-04     9.63283e+02     9.63125e+02
    6.33031e-04     9.92459e+02     9.92290e+02
    6.53143e-04     1.02249e+03     1.02231e+03
    6.73894e-04     1.05339e+03     1.05320e+03
    6.95305e-04     1.08520e+03     1.08500e+03
    7.17395e-04     1.11793e+03     1.11772e+03
    7.40188e-04     1.15161e+03     1.15138e+03
    7.63705e-04     1.18627e+03     1.18602e+03
    7.87969e-04     1.22192e+03     1.22166e+03
    8.13004e-04     1.25859e+03     1.25832e+03
    8.38834e-04     1.29631e+03     1.29602e+03
    8.65485e-04     1.33511e+03     1.33480e+03
    8.92982e-04     1.37501e+03     1.37468e+03
    9.21354e-04     1.41603e+03     1.41568e+03
    9.50626e-04     1.45821e+03     1.45784e+03
    9.80829e-04     1.50158e+03     1.50119e+03
    1.01199e-03     1.54616e+03     1.54574e+03
    1.04414e-03     1.59197e+03     1.59153e+03
    1.07732e-03     1.63905e+03     1.63858e+03
    1.11155e-03     1.68743e+03     1.68693e+03
    1.14686e-03     1.73713e+03     1.73660e+03
    1.18330e-03     1.78818e+03     1.78762e+03
    1.22089e-03     1.84062e+03     1.84002e+03
    1.25968e-03     1.89447e+03     1.89383e+03
    1.29970e-03     1.94975e+03     1.94908e+03
    1.34100e-03     2.00651e+03     2.00579e+03
    1.38360e-03     2.06476e+03     2.06400e+03
    1.42756e-03     2.12454e+03     2.12373e+03
    1.47292e-03     2.18587e+03     2.18501e+03
    1.51971e-03     2.24878e+03     2.24787e+03
    1.56800e-03     2.31330e+03     2.31234e+03
    1.61781e-03     2.37946e+03     2.37844e+03
    1.66921e-03     2.44729e+03     2.44620e+03
    1.72225e-03     2.51680e+03     2.51565e+03
    1.77697e-03     2.58803e+03     2.58681e+03
    1.83342e-03     2.66100e+03     2.65970e+03
    1.89167e-03     2.73573e+03     2.73435e+03
    1.95177e-03     2.81223e+03     2.81078e+03
    2.01378e-03     2.89055e+03     2.88900e+03
    2.07777e-03     2.97069e+03     2.96906e+03
    2.14378e-03     3.05268e+03     3.05095e+03
    2.21189e-03     3.13653e+03     3.13469e+03
    2.28216e-03     3.22225e+03     3.22030e+03
    2.35467e-03     3.30985e+03     3.30779e+03
    2.42948e-03     3.39934e+03     3.39716e+03
    2.50667e-03     3.49074e+03     3.48843e+03
    2.58631e-03     3.58406e+03     3.58161e+03
    2.66848e-03     3.67930e+03     3.67670e+03
    2.75326e-03     3.77646e+03     3.77371e+03
    2.84074e-03     3.87553e+03     3.87262e+03
    2.93099e-03     3.97650e+03     3.97342e+03
    3.02411e-03     4.07936e+03     4.07611e+03
    3.12019e-03     4.18411e+03     4.18067e+03
    3.21933e-03     4.29074e+03     4.28709e+03
    3.32161e-03     4.39923e+03     4.39538e+03
    3.42714e-03     4.50956e+03     4.50549e+03
    3.53603e-03     4.62168e+03     4.61738e+03
    3.64837e-03     4.73557e+03     4.73102e+03
    3.76428e-03     4.85116e+03     4.84636e+03
    3.88388e-03     4.96843e+03     4.96335e+03
    4.00728e-03     5.08732e+03     5.08197e+03
    4.13459e-03     5.20781e+03     5.20216e+03
    4.26596e-03     5.32983e+03     5.32386e+03
    4.40149e-03     5.45330e+03     5.44700e+03
    4.54133e-03     5.57813e+03     5.57149e+03
    4.68562e-03     5.70424e+03     5.69724e+03
