# Matter power spectra at z=3.000000.
# D(z)=0.318978, f(z)=0.979885.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     4.52886e+01     4.52886e+01
    1.04729e-04     4.73637e+01     4.73637e+01
    1.09682e-04     4.95336e+01     4.95336e+01
    1.14868e-04     5.18028e+01     5.18029e+01
    1.20301e-04     5.41761e+01     5.41762e+01
    1.25990e-04     5.66581e+01     5.66582e+01
    1.31948e-04     5.92535e+01     5.92534e+01
    1.38187e-04     6.19672e+01     6.19671e+01
    1.44722e-04     6.48053e+01     6.48049e+01
    1.51566e-04     6.77732e+01     6.77728e+01
    1.58734e-04     7.08770e+01     7.08764e+01
    1.66240e-04     7.41223e+01     7.41216e+01
    1.74102e-04     7.75156e+01     7.75147e+01
    1.82335e-04     8.10639e+01     8.10630e+01
    1.90957e-04     8.47745e+01     8.47735e+01
    1.99988e-04     8.86545e+01     8.86535e+01
    2.09445e-04     9.27112e+01     9.27101e+01
    2.19350e-04     9.69524e+01     9.69512e+01
    2.29723e-04     1.01387e+02     1.01386e+02
    2.40586e-04     1.06024e+02     1.06022e+02
    2.51964e-04     1.10872e+02     1.10870e+02
    2.63879e-04     1.15940e+02     1.15938e+02
    2.76358e-04     1.21238e+02     1.21236e+02
    2.89427e-04     1.26777e+02     1.26775e+02
    3.03114e-04     1.32567e+02     1.32565e+02
    3.17448e-04     1.38620e+02     1.38617e+02
    3.32460e-04     1.44946e+02     1.44943e+02
    3.48182e-04     1.51558e+02     1.51555e+02
    3.64647e-04     1.58469e+02     1.58465e+02
    3.81891e-04     1.65691e+02     1.65688e+02
    3.99951e-04     1.73239e+02     1.73235e+02
    4.18865e-04     1.81126e+02     1.81121e+02
    4.38673e-04     1.89365e+02     1.89361e+02
    4.59417e-04     1.97974e+02     1.97969e+02
    4.81143e-04     2.06968e+02     2.06963e+02
    5.03896e-04     2.16363e+02     2.16357e+02
    5.27725e-04     2.26175e+02     2.26168e+02
    5.52681e-04     2.36422e+02     2.36414e+02
    5.78818e-04     2.47121e+02     2.47113e+02
    6.06190e-04     2.58292e+02     2.58283e+02
    6.34857e-04     2.69955e+02     2.69945e+02
    6.64879e-04     2.82126e+02     2.82115e+02
    6.96321e-04     2.94827e+02     2.94815e+02
    7.29250e-04     3.08079e+02     3.08066e+02
    7.63736e-04     3.21904e+02     3.21890e+02
    7.99853e-04     3.36323e+02     3.36308e+02
    8.37678e-04     3.51357e+02     3.51340e+02
    8.77291e-04     3.67030e+02     3.67011e+02
    9.18778e-04     3.83365e+02     3.83344e+02
