# Matter power spectra at z=5.020000.
# D(z)=0.213007, f(z)=0.993024.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.01319e+01     2.01319e+01
    1.04729e-04     2.10544e+01     2.10544e+01
    1.09682e-04     2.20190e+01     2.20190e+01
    1.14868e-04     2.30278e+01     2.30278e+01
    1.20301e-04     2.40829e+01     2.40829e+01
    1.25990e-04     2.51863e+01     2.51863e+01
    1.31948e-04     2.63401e+01     2.63401e+01
    1.38187e-04     2.75466e+01     2.75465e+01
    1.44722e-04     2.88083e+01     2.88082e+01
    1.51566e-04     3.01278e+01     3.01277e+01
    1.58734e-04     3.15077e+01     3.15076e+01
    1.66240e-04     3.29505e+01     3.29504e+01
    1.74102e-04     3.44592e+01     3.44590e+01
    1.82335e-04     3.60368e+01     3.60367e+01
    1.90957e-04     3.76866e+01     3.76865e+01
    1.99988e-04     3.94118e+01     3.94116e+01
    2.09445e-04     4.12155e+01     4.12154e+01
    2.19350e-04     4.31014e+01     4.31012e+01
    2.29723e-04     4.50733e+01     4.50731e+01
    2.40586e-04     4.71352e+01     4.71350e+01
    2.51964e-04     4.92911e+01     4.92909e+01
    2.63879e-04     5.15449e+01     5.15447e+01
    2.76358e-04     5.39010e+01     5.39008e+01
    2.89427e-04     5.63643e+01     5.63641e+01
    3.03114e-04     5.89397e+01     5.89394e+01
    3.17448e-04     6.16319e+01     6.16316e+01
    3.32460e-04     6.44459e+01     6.44456e+01
    3.48182e-04     6.73871e+01     6.73868e+01
    3.64647e-04     7.04614e+01     7.04610e+01
    3.81891e-04     7.36748e+01     7.36743e+01
    3.99951e-04     7.70331e+01     7.70326e+01
    4.18865e-04     8.05424e+01     8.05419e+01
    4.38673e-04     8.42092e+01     8.42086e+01
    4.59417e-04     8.80406e+01     8.80399e+01
    4.81143e-04     9.20438e+01     9.20430e+01
    5.03896e-04     9.62259e+01     9.62251e+01
    5.27725e-04     1.00594e+02     1.00593e+02
    5.52681e-04     1.05156e+02     1.05155e+02
    5.78818e-04     1.09921e+02     1.09920e+02
    6.06190e-04     1.14896e+02     1.14895e+02
    6.34857e-04     1.20091e+02     1.20090e+02
    6.64879e-04     1.25513e+02     1.25512e+02
    6.96321e-04     1.31172e+02     1.31171e+02
    7.29250e-04     1.37078e+02     1.37076e+02
    7.63736e-04     1.43240e+02     1.43238e+02
    7.99853e-04     1.49667e+02     1.49665e+02
    8.37678e-04     1.56370e+02     1.56368e+02
    8.77291e-04     1.63359e+02     1.63357e+02
    9.18778e-04     1.70644e+02     1.70641e+02
    9.62227e-04     1.78236e+02     1.78233e+02
    1.00773e-03     1.86146e+02     1.86143e+02
    1.05539e-03     1.94384e+02     1.94381e+02
    1.10530e-03     2.02962e+02     2.02958e+02
    1.15756e-03     2.11889e+02     2.11885e+02
    1.21231e-03     2.21178e+02     2.21174e+02
    1.26964e-03     2.30839e+02     2.30834e+02
    1.32968e-03     2.40883e+02     2.40878e+02
    1.39256e-03     2.51321e+02     2.51315e+02
    1.45841e-03     2.62164e+02     2.62158e+02
    1.52738e-03     2.73423e+02     2.73416e+02
    1.59961e-03     2.85108e+02     2.85101e+02
